atom_id,graph_id,atom_features
0,0,0
1,0,1
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,1
10,0,0
11,0,0
12,0,2
13,0,0
14,0,0
15,0,2
16,0,5
17,0,1
18,0,1
19,0,0
20,0,0
21,0,2
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
0,1,0
1,1,0
2,1,0
3,1,8
4,1,0
5,1,0
6,1,2
7,1,0
8,1,1
9,1,2
10,1,0
11,1,0
12,1,2
13,1,0
14,1,1
15,1,0
16,1,0
17,1,0
18,1,2
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
0,2,0
1,2,2
2,2,0
3,2,0
4,2,0
5,2,0
6,2,0
7,2,6
8,2,0
9,2,0
10,2,0
11,2,1
12,2,2
13,2,0
14,2,0
15,2,0
0,3,0
1,3,0
2,3,0
3,3,0
4,3,2
5,3,0
6,3,0
7,3,0
8,3,0
9,3,0
10,3,0
11,3,0
12,3,5
13,3,0
14,3,0
15,3,2
16,3,0
17,3,0
18,3,0
19,3,2
20,3,0
21,3,2
22,3,2
23,3,0
24,3,7
25,3,0
26,3,8
0,4,0
1,4,0
2,4,0
3,4,0
4,4,0
5,4,0
6,4,1
7,4,0
8,4,0
9,4,0
10,4,0
11,4,0
12,4,0
13,4,0
14,4,0
15,4,0
16,4,0
17,4,0
18,4,8
19,4,0
20,4,0
0,5,0
1,5,4
2,5,2
3,5,0
4,5,1
5,5,2
6,5,2
7,5,0
8,5,0
9,5,0
10,5,0
11,5,2
12,5,0
13,5,0
14,5,0
15,5,2
16,5,2
17,5,2
18,5,0
19,5,0
20,5,0
21,5,0
22,5,0
23,5,0
24,5,0
25,5,3
26,5,3
27,5,3
0,6,0
1,6,0
2,6,2
3,6,2
4,6,0
5,6,0
6,6,6
7,6,0
8,6,0
9,6,11
10,6,0
11,6,0
12,6,0
13,6,1
14,6,0
15,6,0
16,6,0
17,6,0
18,6,0
0,7,0
1,7,0
2,7,1
3,7,0
4,7,7
5,7,0
6,7,0
7,7,2
8,7,0
9,7,1
10,7,0
11,7,0
12,7,0
13,7,0
14,7,0
15,7,0
0,8,0
1,8,0
2,8,0
3,8,4
4,8,1
5,8,0
6,8,0
7,8,2
8,8,0
9,8,1
10,8,2
11,8,0
12,8,2
13,8,1
14,8,0
15,8,0
16,8,0
17,8,0
18,8,0
19,8,0
20,8,0
21,8,0
0,9,0
1,9,4
2,9,0
3,9,1
4,9,2
5,9,4
6,9,0
7,9,0
8,9,0
9,9,0
10,9,0
11,9,0
12,9,0
13,9,0
14,9,0
15,9,5
16,9,0
17,9,0
0,10,0
1,10,0
2,10,0
3,10,0
4,10,0
5,10,0
6,10,0
7,10,2
8,10,0
9,10,1
10,10,0
11,10,5
12,10,0
13,10,0
14,10,0
15,10,0
16,10,0
17,10,0
18,10,2
19,10,0
20,10,0
21,10,0
22,10,0
0,11,0
1,11,4
2,11,0
3,11,0
4,11,0
5,11,2
6,11,0
7,11,1
8,11,2
9,11,0
10,11,2
11,11,2
12,11,0
13,11,2
14,11,0
15,11,0
16,11,0
17,11,0
18,11,6
19,11,0
20,11,0
21,11,4
22,11,0
23,11,1
0,12,1
1,12,4
2,12,0
3,12,0
4,12,0
5,12,0
6,12,0
7,12,3
8,12,0
9,12,0
10,12,6
11,12,4
12,12,0
13,12,5
14,12,0
15,12,0
16,12,1
0,13,0
1,13,1
2,13,0
3,13,0
4,13,0
5,13,0
6,13,0
7,13,0
8,13,0
9,13,0
10,13,0
11,13,2
12,13,0
13,13,1
14,13,0
15,13,0
16,13,0
0,14,0
1,14,0
2,14,0
3,14,4
4,14,0
