bond_id,graph_id,start_atom,end_atom,bond_features
0,0,0,1,1
1,0,1,0,1
2,0,1,2,1
3,0,2,1,1
4,0,2,3,2
5,0,2,28,1
6,0,3,2,2
7,0,3,4,1
8,0,4,3,1
9,0,4,5,2
10,0,5,4,2
11,0,5,6,1
12,0,5,27,1
13,0,6,5,1
14,0,6,7,2
15,0,7,6,2
16,0,7,8,1
17,0,8,7,1
18,0,8,9,1
19,0,8,10,2
20,0,9,8,1
21,0,10,8,2
22,0,10,11,1
23,0,10,27,1
24,0,11,10,1
25,0,11,12,1
26,0,12,11,1
27,0,12,13,1
28,0,12,26,1
29,0,13,12,1
30,0,13,14,1
31,0,14,13,1
32,0,14,15,1
33,0,15,14,1
34,0,15,16,1
35,0,15,25,1
36,0,16,15,1
37,0,16,17,2
38,0,16,18,2
39,0,16,19,1
40,0,17,16,2
41,0,18,16,2
42,0,19,16,1
43,0,19,20,2
44,0,19,24,1
45,0,20,19,2
46,0,20,21,1
47,0,21,20,1
48,0,21,22,1
49,0,21,23,1
50,0,22,21,1
51,0,23,21,1
52,0,23,24,2
53,0,24,19,1
54,0,24,23,2
55,0,25,15,1
56,0,25,26,1
57,0,26,12,1
58,0,26,25,1
59,0,27,5,1
60,0,27,10,1
61,0,27,28,2
62,0,28,2,1
63,0,28,27,2
0,1,0,1,1
1,1,1,0,1
2,1,1,2,1
3,1,1,3,1
4,1,2,1,2
5,1,3,1,1
6,1,3,4,2
7,1,3,23,1
8,1,4,3,1
9,1,4,5,2
10,1,5,4,2
11,1,5,6,1
12,1,6,5,1
13,1,6,7,1
14,1,7,6,2
15,1,7,8,2
16,1,7,9,1
17,1,8,7,1
18,1,9,7,1
19,1,9,10,2
20,1,9,22,1
21,1,10,9,2
22,1,10,11,1
23,1,11,10,1
24,1,11,12,1
25,1,12,11,1
26,1,12,13,1
27,1,12,21,1
28,1,13,12,1
29,1,13,14,1
30,1,13,15,1
31,1,14,13,1
32,1,15,13,1
33,1,15,16,1
34,1,15,20,1
35,1,16,15,1
36,1,16,17,1
37,1,17,16,2
38,1,17,18,2
39,1,18,17,1
40,1,18,19,2
41,1,19,18,2
42,1,19,20,1
43,1,20,15,2
44,1,20,19,1
45,1,21,12,2
46,1,21,22,1
47,1,22,9,1
48,1,22,21,1
49,1,23,3,1
50,1,23,24,1
51,1,23,25,1
52,1,24,23,2
53,1,24,25,1
54,1,25,23,2
55,1,25,24,1
0,2,0,1,1
1,2,1,0,1
2,2,1,2,1
3,2,1,10,1
4,2,2,1,2
5,2,2,3,1
6,2,3,2,2
7,2,3,4,1
8,2,3,9,1
9,2,4,3,2
10,2,4,5,2
11,2,5,4,1
12,2,5,6,1
13,2,6,5,1
14,2,6,7,2
15,2,6,8,2
