bond_id,graph_id,start_atom,end_atom,bond_features
0,20,0,1,1
1,20,1,0,1
2,20,1,2,1
3,20,2,1,1
4,20,2,3,2
5,20,2,6,1
6,20,3,2,2
7,20,3,4,1
8,20,4,3,1
9,20,4,5,2
10,20,5,4,2
11,20,5,6,1
12,20,6,2,1
13,20,6,5,1
14,20,6,7,1
15,20,7,6,1
16,20,7,8,1
17,20,8,7,1
18,20,8,9,1
19,20,9,8,1
20,20,9,10,1
21,20,10,9,1
22,20,10,11,1
23,20,10,12,1
24,20,11,10,1
25,20,12,10,1
26,20,12,13,1
27,20,13,12,1
28,20,13,14,1
29,20,13,18,1
30,20,14,13,1
31,20,14,15,2
32,20,15,14,2
33,20,15,16,1
34,20,16,15,1
35,20,16,17,1
36,20,16,18,2
37,20,17,16,1
38,20,18,13,1
39,20,18,16,2
40,20,18,19,1
41,20,19,18,1
0,21,0,1,1
1,21,1,0,1
2,21,1,2,1
3,21,2,1,1
4,21,2,3,2
5,21,2,26,1
6,21,3,2,2
7,21,3,4,1
8,21,4,3,1
9,21,4,5,2
10,21,4,22,2
11,21,5,4,1
12,21,5,6,1
13,21,5,21,1
14,21,6,5,1
15,21,6,7,1
16,21,7,6,1
17,21,7,8,1
18,21,7,19,1
19,21,8,7,1
20,21,8,9,1
21,21,9,8,1
22,21,9,10,1
23,21,9,14,1
24,21,10,9,1
25,21,10,11,1
26,21,11,10,1
27,21,11,12,1
28,21,12,11,1
29,21,12,13,1
30,21,13,12,1
31,21,13,14,2
32,21,14,9,2
33,21,14,13,1
34,21,14,15,1
35,21,15,14,1
36,21,15,16,2
37,21,15,17,1
38,21,15,18,1
39,21,16,15,2
40,21,17,15,1
41,21,18,15,1
42,21,19,7,1
43,21,19,20,1
44,21,19,21,1
45,21,20,19,1
46,21,21,5,2
47,21,21,19,1
48,21,22,4,2
49,21,22,23,1
50,21,23,22,1
51,21,23,24,1
52,21,23,26,2
53,21,24,23,1
54,21,24,25,2
55,21,25,24,1
56,21,26,2,2
57,21,26,23,1
58,21,26,27,1
59,21,27,26,2
60,21,27,28,1
61,21,28,27,2
0,22,0,1,1
1,22,1,0,1
2,22,1,2,1
3,22,2,1,1
4,22,2,3,2
5,22,2,5,1
6,22,3,2,2
7,22,3,4,1
8,22,4,3,1
9,22,5,2,2
10,22,5,6,2
11,22,5,7,1
12,22,5,9,1
13,22,6,5,1
14,22,7,5,1
15,22,7,8,1
16,22,8,7,1
17,22,9,5,1
18,22,9,10,1
19,22,9,11,1
20,22,10,9,1
21,22,11,9,1
0,23,0,1,1
1,23,1,0,1
2,23,1,2,1
3,23,1,7,1
4,23,2,1,2
5,23,2,3,1
6,23,3,2,2
7,23,3,4,1
8,23,4,3,1
9,23,4,5,2
10,23,5,4,2
11,23,5,6,1
12,23,5,7,1
13,23,6,5,1
14,23,7,1,1
15,23,7,5,1
16,23,7,8,1
17,23,8,7,1
18,23,8,9,1
19,23,8,10,1
20,23,9,8,1
21,23,10,8,1
22,23,10,11,1
23,23,10,19,1
24,23,11,10,1
25,23,11,12,1
26,23,12,11,1
27,23,12,13,1
28,23,13,12,1
29,23,13,14,1
30,23,13,18,1
31,23,14,13,2
32,23,14,15,2
33,23,15,14,1
34,23,15,16,1
35,23,16,15,1
36,23,16,17,2
37,23,17,16,1
38,23,17,18,1
39,23,18,13,2
40,23,18,17,1
41,23,18,19,1
42,23,19,10,1
43,23,19,18,1
0,24,0,1,1
1,24,1,0,1
2,24,1,2,1
3,24,2,1,1
4,24,2,3,2
5,24,2,22,1
6,24,3,2,2
7,24,3,4,1
8,24,4,3,1
9,24,4,5,2
10,24,4,18,2
11,24,5,4,1
12,24,5,6,1
13,24,5,17,1
14,24,6,5,1
15,24,6,7,1
16,24,7,6,1
17,24,7,8,1
18,24,8,7,1
19,24,8,9,1
20,24,8,17,1
21,24,9,8,1
22,24,9,10,1
23,24,10,9,1
24,24,10,11,1
25,24,11,10,1
26,24,11,12,1
27,24,11,16,1
28,24,12,11,1
29,24,12,13,1
30,24,13,12,1
31,24,13,14,2
32,24,14,13,2
33,24,14,15,1
34,24,14,16,1
35,24,15,14,1
36,24,16,11,2
37,24,16,14,1
38,24,17,5,1
39,24,17,8,2
40,24,18,4,1
41,24,18,19,1
42,24,19,18,1
43,24,19,20,1
44,24,19,22,1
45,24,20,19,1
46,24,20,21,2
47,24,21,20,1
48,24,22,2,2
49,24,22,19,1
50,24,22,23,1
51,24,23,22,1
52,24,23,24,2
53,24,24,23,1
0,25,0,1,1
1,25,1,0,1
2,25,1,2,1
3,25,1,22,1
4,25,2,1,2
5,25,2,3,1
6,25,3,2,2
7,25,3,4,1
8,25,4,3,1
9,25,4,5,2
10,25,4,21,2
11,25,5,4,1
12,25,5,6,1
13,25,6,5,1
14,25,6,7,1
15,25,6,8,1
16,25,7,6,1
17,25,8,6,1
18,25,8,9,1
19,25,9,8,1
20,25,9,10,1
21,25,9,11,1
22,25,10,9,1
23,25,11,9,1
24,25,11,12,1
25,25,12,11,1
26,25,12,13,1
27,25,12,14,1
28,25,13,12,1
29,25,14,12,1
30,25,14,15,1
31,25,15,14,2
32,25,15,16,2
33,25,15,20,1
34,25,16,15,1
35,25,16,17,1
36,25,17,16,2
37,25,17,18,1
38,25,18,17,1
39,25,18,19,2
40,25,19,18,1
41,25,19,20,1
42,25,20,15,1
43,25,20,19,1
44,25,21,4,1
45,25,21,22,1
46,25,22,1,2
47,25,22,21,1
48,25,22,23,2
49,25,23,22,1
0,26,0,1,1
1,26,1,0,1
2,26,1,2,1
3,26,1,21,1
4,26,2,1,2
5,26,2,3,1
6,26,3,2,2
7,26,3,4,1
8,26,3,20,1
9,26,4,3,2
10,26,4,5,2
11,26,5,4,1
12,26,5,6,1
13,26,6,5,1
14,26,6,7,1
15,26,6,19,1
16,26,7,6,1
17,26,7,8,1
18,26,8,7,1
19,26,8,9,1
20,26,8,10,1
21,26,9,8,1
22,26,10,8,1
23,26,10,11,1
24,26,10,18,1
25,26,11,10,1
26,26,11,12,1
27,26,12,11,1
28,26,12,13,1
29,26,13,12,1
30,26,13,14,1
31,26,13,17,2
32,26,14,13,2
33,26,14,15,1
34,26,15,14,1
35,26,15,16,1
36,26,16,15,2
37,26,16,17,1
38,26,17,13,1
39,26,17,16,2
40,26,17,18,1
41,26,18,10,1
42,26,18,17,1
43,26,19,6,1
44,26,19,20,1
45,26,20,3,1
46,26,20,19,2
47,26,21,1,1
48,26,21,22,2
49,26,22,21,1
50,26,22,23,1
51,26,23,22,1
52,26,23,24,2
53,26,23,25,1
54,26,23,26,2
55,26,24,23,1
56,26,25,23,2
57,26,26,23,1
0,27,0,1,1
1,27,1,0,1
2,27,1,2,1
3,27,1,30,1
4,27,2,1,2
5,27,2,3,1
6,27,3,2,2
7,27,3,4,1
8,27,4,3,1
9,27,4,5,2
10,27,5,4,2
11,27,5,6,1
12,27,5,30,1
13,27,6,5,1
14,27,6,7,1
15,27,6,26,1
16,27,7,6,1
17,27,7,8,1
18,27,8,7,1
19,27,8,9,1
20,27,9,8,1
21,27,9,10,1
22,27,9,25,1
23,27,10,9,1
24,27,10,11,1
25,27,10,12,1
26,27,11,10,1
27,27,12,10,1
28,27,12,13,1
29,27,13,12,1
30,27,13,14,1
31,27,13,24,2
32,27,14,13,2
33,27,14,15,1
34,27,15,14,1
35,27,15,16,1
36,27,16,15,2
37,27,16,17,1
38,27,16,23,1
39,27,17,16,2
40,27,17,18,1
41,27,17,22,1
42,27,18,17,1
43,27,18,19,1
44,27,19,18,1
45,27,19,20,1
46,27,20,19,2
47,27,20,21,1
48,27,21,20,2
49,27,21,22,1
50,27,22,17,1
51,27,22,21,1
52,27,23,16,2
53,27,23,24,1
54,27,24,13,2
55,27,24,23,1
56,27,25,9,2
57,27,25,26,1
58,27,26,6,1
59,27,26,25,2
60,27,26,27,1
61,27,27,26,2
62,27,27,28,1
63,27,27,29,1
64,27,28,27,2
65,27,29,27,1
66,27,30,1,2
67,27,30,5,1
0,28,0,1,1
1,28,1,0,1
2,28,1,2,1
3,28,1,3,1
4,28,2,1,2
5,28,3,1,1
6,28,3,4,2
7,28,3,22,1
8,28,4,3,1
9,28,4,5,2
10,28,5,4,2
11,28,5,6,1
12,28,6,5,1
13,28,6,7,1
14,28,6,21,1
15,28,7,6,1
16,28,7,8,1
17,28,8,7,1
18,28,8,9,1
19,28,8,10,1
20,28,9,8,1
21,28,10,8,1
22,28,10,11,1
23,28,11,10,1
24,28,11,12,1
25,28,11,19,1
26,28,12,11,1
27,28,12,13,1
28,28,13,12,1
29,28,13,14,1
30,28,13,15,1
31,28,14,13,2
32,28,15,13,2
33,28,15,16,1
34,28,15,17,1
35,28,16,15,1
36,28,17,15,2
37,28,17,18,1
38,28,17,19,1
39,28,18,17,2
40,28,19,11,1
41,28,19,17,1
42,28,19,20,1
43,28,20,19,1
44,28,21,6,1
45,28,21,22,1
46,28,22,3,2
47,28,22,21,1
0,29,0,1,1
1,29,1,0,1
2,29,1,2,1
3,29,1,11,1
4,29,2,1,2
5,29,2,3,1
6,29,3,2,2
7,29,3,4,1
8,29,3,9,1
9,29,4,3,2
10,29,4,5,2
11,29,5,4,1
12,29,5,6,1
13,29,6,5,1
14,29,6,7,1
15,29,6,8,1
16,29,7,6,1
17,29,8,6,1
18,29,8,9,1
19,29,9,3,1
20,29,9,8,1
21,29,9,10,1
22,29,10,9,1
23,29,11,1,1
24,29,11,12,1
25,29,11,23,1
26,29,12,11,1
27,29,12,13,1
28,29,13,12,1
29,29,13,14,1
30,29,14,13,1
31,29,14,15,2
32,29,14,22,2
33,29,15,14,1
34,29,15,16,1
35,29,15,21,1
36,29,16,15,2
37,29,16,17,1
38,29,17,16,1
39,29,17,18,2
40,29,18,17,1
41,29,18,19,1
42,29,18,20,1
43,29,19,18,1
44,29,20,18,1
45,29,20,21,1
46,29,21,15,2
47,29,21,20,1
48,29,22,14,2
49,29,22,23,1
50,29,23,11,1
51,29,23,22,1
0,30,0,1,1
1,30,1,0,1
2,30,1,2,1
3,30,1,8,1
4,30,2,1,2
5,30,2,3,1
6,30,2,7,2
7,30,3,2,1
8,30,3,4,1
9,30,4,3,2
10,30,4,5,2
11,30,5,4,1
12,30,5,6,1
13,30,6,5,1
14,30,6,7,1
15,30,7,2,1
16,30,7,6,1
17,30,8,1,1
18,30,8,9,1
19,30,8,19,1
20,30,9,8,1
21,30,9,10,1
22,30,10,9,1
23,30,10,11,1
24,30,11,10,1
25,30,11,12,1
26,30,11,18,1
27,30,12,11,1
28,30,12,13,1
29,30,13,12,1
30,30,13,14,1
31,30,13,17,2
32,30,14,13,2
33,30,14,15,1
34,30,15,14,1
35,30,15,16,1
36,30,16,15,2
37,30,16,17,1
38,30,17,13,1
39,30,17,16,2
40,30,18,11,1
41,30,18,19,1
42,30,19,8,1
43,30,19,18,1
0,31,0,1,1
1,31,1,0,1
2,31,1,2,1
3,31,1,3,1
4,31,2,1,2
5,31,3,1,1
6,31,3,4,2
7,31,4,3,1
8,31,4,5,1
