clique_id,atoms,bonds,clique_features
882,1415;1416;1417;1418;1423,1415:1416;1415:1423;1416:1415;1416:1417;1417:1416;1417:1418;1418:1417;1418:1423;1423:1415;1423:1418,0
883,1424;1425;1426;1427;1428;1429,1424:1425;1424:1429;1425:1424;1425:1426;1426:1425;1426:1427;1427:1426;1427:1428;1428:1427;1428:1429;1429:1424;1429:1428,0
884,1411;1412,1411:1412;1412:1411,1
885,1412;1413,1412:1413;1413:1412,1
886,1412;1424,1412:1424;1424:1412,1
887,1413;1414,1413:1414;1414:1413,1
888,1414;1415,1414:1415;1415:1414,1
889,1418;1419,1418:1419;1419:1418,1
890,1419;1420,1419:1420;1420:1419,1
891,1419;1421,1419:1421;1421:1419,1
892,1419;1422,1419:1422;1422:1419,1
893,1429;1430,1429:1430;1430:1429,1
894,1412,,3
895,1419,,3
896,1439;1440;1441;1442;1446;1447,1439:1440;1439:1447;1440:1439;1440:1441;1441:1440;1441:1442;1442:1441;1442:1446;1446:1442;1446:1447;1447:1439;1447:1446,0
897,1442;1443;1444;1445;1446,1442:1443;1442:1446;1443:1442;1443:1444;1444:1443;1444:1445;1445:1444;1445:1446;1446:1442;1446:1445,0
898,1435;1448;1449;1450,1435:1448;1435:1450;1448:1435;1448:1449;1449:1448;1449:1450;1450:1435;1450:1449,0
899,1431;1432,1431:1432;1432:1431,1
900,1432;1433,1432:1433;1433:1432,1
901,1432;1434,1432:1434;1434:1432,1
902,1434;1435,1434:1435;1435:1434,1
903,1435;1436,1435:1436;1436:1435,1
904,1436;1437,1436:1437;1437:1436,1
905,1437;1438,1437:1438;1438:1437,1
906,1437;1439,1437:1439;1439:1437,1
907,1432,,3
908,1435,,3
909,1437,,3
910,1455;1456;1457;1458;1474;1475,1455:1456;1455:1475;1456:1455;1456:1457;1457:1456;1457:1458;1458:1457;1458:1474;1474:1458;1474:1475;1475:1455;1475:1474,0
911,1462;1463;1464;1465;1466;1467,1462:1463;1462:1467;1463:1462;1463:1464;1464:1463;1464:1465;1465:1464;1465:1466;1466:1465;1466:1467;1467:1462;1467:1466,0
912,1468;1469;1470;1471;1472;1473,1468:1469;1468:1473;1469:1468;1469:1470;1470:1469;1470:1471;1471:1470;1471:1472;1472:1471;1472:1473;1473:1468;1473:1472,0
913,1451;1452,1451:1452;1452:1451,1
914,1452;1453,1452:1453;1453:1452,1
915,1452;1454,1452:1454;1454:1452,1
916,1452;1455,1452:1455;1455:1452,1
917,1458;1459,1458:1459;1459:1458,1
918,1459;1460,1459:1460;1460:1459,1
919,1460;1461,1460:1461;1461:1460,1
920,1461;1462,1461:1462;1462:1461,1
921,1461;1468,1461:1468;1468:1461,1
922,1452,,3
923,1461,,3
924,1483;1484;1485;1488;1489;1490,1483:1484;1483:1490;1484:1483;1484:1485;1485:1484;1485:1488;1488:1485;1488:1489;1489:1488;1489:1490;1490:1483;1490:1489,0
925,1476;1477,1476:1477;1477:1476,1
926,1477;1478,1477:1478;1478:1477,1
927,1478;1479,1478:1479;1479:1478,1
928,1478;1480,1478:1480;1480:1478,1
929,1480;1481,1480:1481;1481:1480,1
930,1480;1483,1480:1483;1483:1480,1
931,1481;1482,1481:1482;1482:1481,1
932,1485;1486,1485:1486;1486:1485,1
933,1486;1487,1486:1487;1487:1486,1
934,1490;1491,1490:1491;1491:1490,1
935,1491;1492,1491:1492;1492:1491,1
936,1478,,3
937,1480,,3
938,1494;1495;1514;1515;1516,1494:1495;1494:1516;1495:1494;1495:1514;1514:1495;1514:1515;1515:1514;1515:1516;1516:1494;1516:1515,0
939,1500;1501;1502;1503;1512;1513,1500:1501;1500:1513;1501:1500;1501:1502;1502:1501;1502:1503;1503:1502;1503:1512;1512:1503;1512:1513;1513:1500;1513:1512,0
940,1506;1507;1508;1509;1510;1511,1506:1507;1506:1511;1507:1506;1507:1508;1508:1507;1508:1509;1509:1508;1509:1510;1510:1509;1510:1511;1511:1506;1511:1510,0
941,1493;1494,1493:1494;1494:1493,1
942,1495;1496,1495:1496;1496:1495,1
943,1496;1497,1496:1497;1497:1496,1
944,1497;1498,1497:1498;1498:1497,1
945,1498;1499,1498:1499;1499:1498,1
946,1498;1500,1498:1500;1500:1498,1
947,1503;1504,1503:1504;1504:1503,1
948,1504;1505,1504:1505;1505:1504,1
949,1505;1506,1505:1506;1506:1505,1
950,1498,,3
951,1522;1523;1524;1525;1526;1527,1522:1523;1522:1527;1523:1522;1523:1524;1524:1523;1524:1525;1525:1524;1525:1526;1526:1525;1526:1527;1527:1522;1527:1526,0
952,1531;1532;1533;1534;1535,1531:1532;1531:1535;1532:1531;1532:1533;1533:1532;1533:1534;1534:1533;1534:1535;1535:1531;1535:1534,0
953,1536;1537;1539;1540;1541,1536:1537;1536:1541;1537:1536;1537:1539;1539:1537;1539:1540;1540:1539;1540:1541;1541:1536;1541:1540,0
954,1517;1518,1517:1518;1518:1517,1
955,1518;1519,1518:1519;1519:1518,1
956,1519;1520,1519:1520;1520:1519,1
957,1520;1521,1520:1521;1521:1520,1
958,1520;1528,1520:1528;1528:1520,1
959,1521;1522,1521:1522;1522:1521,1
960,1528;1529,1528:1529;1529:1528,1
961,1529;1530,1529:1530;1530:1529,1
962,1529;1531,1529:1531;1531:1529,1
963,1535;1536,1535:1536;1536:1535,1
964,1537;1538,1537:1538;1538:1537,1
965,1541;1542,1541:1542;1542:1541,1
966,1520,,3
967,1529,,3
968,1548;1549;1550;1551;1566;1567,1548:1549;1548:1567;1549:1548;1549:1550;1550:1549;1550:1551;1551:1550;1551:1566;1566:1551;1566:1567;1567:1548;1567:1566,0
969,1555;1556;1557;1564;1565,1555:1556;1555:1565;1556:1555;1556:1557;1557:1556;1557:1564;1564:1557;1564:1565;1565:1555;1565:1564,0
970,1558;1559;1560;1561;1562;1563,1558:1559;1558:1563;1559:1558;1559:1560;1560:1559;1560:1561;1561:1560;1561:1562;1562:1561;1562:1563;1563:1558;1563:1562,0
971,1543;1544,1543:1544;1544:1543,1
972,1544;1545,1544:1545;1545:1544,1
973,1544;1546,1544:1546;1546:1544,1
974,1546;1547,1546:1547;1547:1546,1
975,1547;1548,1547:1548;1548:1547,1
976,1551;1552,1551:1552;1552:1551,1
977,1552;1553,1552:1553;1553:1552,1
978,1552;1554,1552:1554;1554:1552,1
979,1554;1555,1554:1555;1555:1554,1
980,1557;1558,1557:1558;1558:1557,1
981,1544,,3
982,1552,,3
983,1569;1570;1571;1573;1574;1576,1569:1570;1569:1576;1570:1569;1570:1571;1571:1570;1571:1573;1573:1571;1573:1574;1574:1573;1574:1576;1576:1569;1576:1574,0
984,1582;1583;1584;1585;1587;1588,1582:1583;1582:1588;1583:1582;1583:1584;1584:1583;1584:1585;1585:1584;1585:1587;1587:1585;1587:1588;1588:1582;1588:1587,0
985,1568;1569,1568:1569;1569:1568,1
986,1571;1572,1571:1572;1572:1571,1
987,1574;1575,1574:1575;1575:1574,1
988,1576;1577,1576:1577;1577:1576,1
989,1577;1578,1577:1578;1578:1577,1
990,1578;1579,1578:1579;1579:1578,1
991,1579;1580,1579:1580;1580:1579,1
992,1579;1581,1579:1581;1581:1579,1
