bond_id,graph_id,start_atom,end_atom,bond_features
0,0,0,1,1
1,0,1,0,1
2,0,1,2,2
3,0,1,15,1
4,0,2,1,2
5,0,2,3,1
6,0,3,2,1
7,0,3,4,2
8,0,4,3,2
9,0,4,5,1
10,0,4,14,1
11,0,5,4,1
12,0,5,6,1
13,0,6,5,1
14,0,6,7,1
15,0,7,6,1
16,0,7,8,2
17,0,7,12,1
18,0,8,7,2
19,0,8,9,1
20,0,9,8,1
21,0,9,10,2
22,0,10,9,2
23,0,10,11,1
24,0,11,10,1
25,0,11,12,2
26,0,12,7,1
27,0,12,11,2
28,0,12,13,1
29,0,13,12,1
30,0,14,4,1
31,0,14,15,2
32,0,15,1,1
33,0,15,14,2
0,1,0,1,1
1,1,1,0,1
2,1,1,2,2
3,1,1,17,1
4,1,2,1,2
5,1,2,3,1
6,1,3,2,1
7,1,3,4,2
8,1,4,3,2
9,1,4,5,1
10,1,5,4,1
11,1,5,6,1
12,1,6,5,1
13,1,6,7,1
14,1,6,8,1
15,1,6,9,1
16,1,7,6,2
17,1,8,6,1
18,1,9,6,2
19,1,9,10,1
20,1,9,15,1
21,1,10,9,2
22,1,10,11,2
23,1,11,10,1
24,1,11,12,1
25,1,12,11,2
26,1,12,13,1
27,1,13,12,2
28,1,13,14,1
29,1,13,15,1
30,1,14,13,1
31,1,15,9,2
32,1,15,13,1
33,1,15,16,2
34,1,16,15,2
35,1,17,1,2
36,1,17,18,1
37,1,17,22,1
38,1,18,17,1
39,1,18,19,1
40,1,19,18,1
41,1,19,20,1
42,1,20,19,1
43,1,20,21,1
44,1,21,20,1
45,1,21,22,1
46,1,22,17,1
47,1,22,21,2
0,2,0,1,1
1,2,1,0,1
2,2,1,2,2
3,2,1,23,1
4,2,2,1,2
5,2,2,3,1
6,2,2,17,1
7,2,3,2,2
8,2,3,4,2
9,2,4,3,1
10,2,4,5,1
11,2,4,6,1
12,2,5,4,1
13,2,6,4,1
14,2,6,7,1
15,2,7,6,1
16,2,7,8,2
17,2,7,11,1
18,2,8,7,2
19,2,8,9,1
20,2,8,10,1
21,2,9,8,2
22,2,10,8,2
23,2,11,7,1
24,2,11,12,1
25,2,11,16,2
26,2,12,11,1
27,2,12,13,2
28,2,13,12,1
29,2,13,14,1
30,2,14,13,1
31,2,14,15,2
32,2,15,14,1
33,2,15,16,2
34,2,16,11,2
35,2,16,15,2
36,2,17,2,1
37,2,17,18,1
38,2,17,22,1
39,2,18,17,1
40,2,18,19,1
41,2,19,18,1
42,2,19,20,1
43,2,20,19,1
44,2,20,21,1
45,2,21,20,1
46,2,21,22,1
47,2,22,17,2
48,2,22,21,2
49,2,22,23,1
50,2,23,1,2
51,2,23,22,2
0,3,0,1,1
1,3,1,0,1
2,3,1,2,2
3,3,1,3,1
4,3,2,1,2
5,3,3,1,1
6,3,3,4,1
7,3,4,3,2
8,3,4,5,2
9,3,4,20,1
10,3,5,4,1
11,3,5,6,1
12,3,5,7,1
13,3,6,5,1
14,3,7,5,1
15,3,7,8,1
16,3,8,7,2
17,3,8,9,1
18,3,8,19,2
19,3,9,8,1
20,3,9,10,1
21,3,10,9,2
22,3,10,11,2
23,3,10,12,1
24,3,11,10,1
25,3,12,10,2
26,3,12,13,1
27,3,13,12,2
28,3,13,14,1
29,3,13,15,1
30,3,14,13,1
31,3,15,13,2
32,3,15,16,1
33,3,15,17,2
34,3,16,15,2
35,3,17,15,2
36,3,17,18,1
37,3,18,17,1
38,3,19,8,1
39,3,19,20,1
40,3,20,4,1
41,3,20,19,1
42,3,20,21,1
43,3,21,20,1
0,4,0,1,1
1,4,1,0,1
2,4,1,2,2
3,4,2,1,1
4,4,2,3,2
5,4,3,2,1
6,4,3,4,1
7,4,3,14,2
8,4,4,3,2
9,4,4,5,1
10,4,5,4,1
11,4,5,6,1
12,4,5,13,1
13,4,6,5,1
14,4,6,7,1
15,4,7,6,1
16,4,7,8,2
17,4,8,7,1
18,4,8,9,2
19,4,8,12,1
20,4,9,8,1
21,4,9,10,2
22,4,10,9,2
23,4,10,11,1
24,4,11,10,1
25,4,11,12,2
26,4,12,8,1
27,4,12,11,2
28,4,12,13,1
29,4,13,5,1
30,4,13,12,1
31,4,14,3,2
32,4,14,15,1
33,4,14,19,2
34,4,15,14,2
35,4,15,16,2
36,4,16,15,1
37,4,16,17,1
38,4,17,16,1
39,4,17,18,1
40,4,18,17,1
41,4,18,19,1
42,4,19,14,1
43,4,19,18,1
