clique_id,graph_id,atoms,bonds,clique_features
0,0,1;2;3;4;14;15,1:2;1:15;2:1;2:3;3:2;3:4;4:3;4:14;14:4;14:15;15:1;15:14,0
1,0,7;8;9;10;11;12,7:8;7:12;8:7;8:9;9:8;9:10;10:9;10:11;11:10;11:12;12:7;12:11,0
2,0,0;1,0:1;1:0,1
3,0,4;5,4:5;5:4,1
4,0,5;6,5:6;6:5,1
5,0,6;7,6:7;7:6,1
6,0,12;13,12:13;13:12,1
0,1,9;10;11;12;13;15,9:10;9:15;10:9;10:11;11:10;11:12;12:11;12:13;13:12;13:15;15:9;15:13,0
1,1,17;18;19;20;21;22,17:18;17:22;18:17;18:19;19:18;19:20;20:19;20:21;21:20;21:22;22:17;22:21,0
2,1,0;1,0:1;1:0,1
3,1,1;2,1:2;2:1,1
4,1,1;17,1:17;17:1,1
5,1,2;3,2:3;3:2,1
6,1,3;4,3:4;4:3,1
7,1,4;5,4:5;5:4,1
8,1,5;6,5:6;6:5,1
9,1,6;7,6:7;7:6,1
10,1,6;8,6:8;8:6,1
11,1,6;9,6:9;9:6,1
12,1,13;14,13:14;14:13,1
13,1,15;16,15:16;16:15,1
14,1,1,,3
15,1,6,,3
0,2,1;2;17;22;23,1:2;1:23;2:1;2:17;17:2;17:22;22:17;22:23;23:1;23:22,0
1,2,11;12;13;14;15;16,11:12;11:16;12:11;12:13;13:12;13:14;14:13;14:15;15:14;15:16;16:11;16:15,0
2,2,17;18;19;20;21;22,17:18;17:22;18:17;18:19;19:18;19:20;20:19;20:21;21:20;21:22;22:17;22:21,0
3,2,0;1,0:1;1:0,1
4,2,2;3,2:3;3:2,1
5,2,3;4,3:4;4:3,1
6,2,4;5,4:5;5:4,1
7,2,4;6,4:6;6:4,1
8,2,6;7,6:7;7:6,1
9,2,7;8,7:8;8:7,1
10,2,7;11,7:11;11:7,1
11,2,8;9,8:9;9:8,1
12,2,8;10,8:10;10:8,1
13,2,4,,3
14,2,7,,3
15,2,8,,3
0,3,4;5;7;8;19;20,4:5;4:20;5:4;5:7;7:5;7:8;8:7;8:19;19:8;19:20;20:4;20:19,0
1,3,0;1,0:1;1:0,1
2,3,1;2,1:2;2:1,1
3,3,1;3,1:3;3:1,1
4,3,3;4,3:4;4:3,1
5,3,5;6,5:6;6:5,1
6,3,8;9,8:9;9:8,1
7,3,9;10,9:10;10:9,1
8,3,10;11,10:11;11:10,1
9,3,10;12,10:12;12:10,1
10,3,12;13,12:13;13:12,1
11,3,13;14,13:14;14:13,1
12,3,13;15,13:15;15:13,1
13,3,15;16,15:16;16:15,1
14,3,15;17,15:17;17:15,1
15,3,17;18,17:18;18:17,1
16,3,20;21,20:21;21:20,1
17,3,1,,3
18,3,10,,3
19,3,13,,3
20,3,15,,3
0,4,5;6;7;8;12;13,5:6;5:13;6:5;6:7;7:6;7:8;8:7;8:12;12:8;12:13;13:5;13:12,0
1,4,8;9;10;11;12,8:9;8:12;9:8;9:10;10:9;10:11;11:10;11:12;12:8;12:11,0
2,4,14;15;16;17;18;19,14:15;14:19;15:14;15:16;16:15;16:17;17:16;17:18;18:17;18:19;19:14;19:18,0
3,4,0;1,0:1;1:0,1
4,4,1;2,1:2;2:1,1
5,4,2;3,2:3;3:2,1
6,4,3;4,3:4;4:3,1
7,4,3;14,3:14;14:3,1
8,4,4;5,4:5;5:4,1
9,4,3,,3
