tree_edge_id,graph_id,start_clique,end_clique
0,5,0,1
1,5,0,4
2,5,1,0
3,5,1,5
4,5,1,6
5,5,2,10
6,5,2,11
7,5,3,4
8,5,4,0
9,5,4,3
10,5,5,1
11,5,6,1
12,5,6,7
13,5,7,6
14,5,7,13
15,5,8,13
16,5,9,10
17,5,9,13
18,5,10,2
19,5,10,9
20,5,11,2
21,5,11,12
22,5,12,11
23,5,13,7
24,5,13,8
25,5,13,9
0,6,0,1
1,6,0,4
2,6,1,0
3,6,1,5
4,6,2,5
5,6,3,4
6,6,4,0
7,6,4,3
8,6,5,1
9,6,5,2
0,7,0,1
1,7,0,6
2,7,0,7
3,7,1,0
4,7,2,10
5,7,3,4
6,7,4,3
7,7,4,11
8,7,5,11
9,7,6,0
10,7,6,11
11,7,7,0
12,7,7,12
13,7,8,12
14,7,9,12
15,7,10,2
16,7,10,12
17,7,11,4
18,7,11,5
19,7,11,6
20,7,12,7
21,7,12,8
22,7,12,9
23,7,12,10
0,8,0,4
1,8,0,5
2,8,1,2
3,8,1,5
4,8,2,1
5,8,2,6
6,8,3,4
7,8,4,0
8,8,4,3
9,8,5,0
10,8,5,1
11,8,6,2
0,9,0,6
1,9,0,7
2,9,0,10
3,9,1,11
4,9,2,12
5,9,3,5
6,9,3,12
7,9,4,11
8,9,4,12
9,9,5,3
10,9,5,6
11,9,6,0
12,9,6,5
13,9,7,0
14,9,7,13
15,9,8,13
16,9,9,13
17,9,10,0
18,9,11,1
19,9,11,4
20,9,12,2
21,9,12,3
22,9,12,4
23,9,13,7
24,9,13,8
25,9,13,9
