atom_id,graph_id,atom_features
0,240,0
1,240,0
2,240,0
3,240,0
4,240,0
5,240,0
6,240,0
7,240,2
8,240,0
9,240,0
10,240,0
11,240,0
12,240,1
13,240,2
14,240,0
15,240,0
16,240,0
17,240,0
18,240,1
19,240,0
20,240,0
21,240,1
22,240,0
23,240,0
0,241,0
1,241,4
2,241,0
3,241,2
4,241,0
5,241,2
6,241,0
7,241,1
8,241,0
9,241,0
10,241,0
11,241,0
12,241,0
13,241,1
14,241,0
15,241,0
16,241,0
17,241,0
18,241,0
19,241,0
20,241,3
21,241,3
22,241,3
23,241,0
24,241,0
0,242,0
1,242,0
2,242,0
3,242,0
4,242,1
5,242,2
6,242,0
7,242,0
8,242,0
9,242,4
10,242,0
11,242,1
12,242,2
13,242,0
14,242,0
15,242,0
16,242,0
17,242,0
18,242,1
19,242,0
20,242,3
21,242,3
22,242,3
23,242,0
24,242,0
0,243,0
1,243,0
2,243,0
3,243,2
4,243,0
5,243,0
6,243,1
7,243,4
8,243,0
9,243,5
10,243,0
11,243,2
12,243,0
13,243,1
14,243,0
15,243,0
16,243,5
17,243,0
18,243,0
19,243,0
20,243,0
21,243,0
22,243,1
0,244,1
1,244,0
2,244,0
3,244,0
4,244,0
5,244,0
6,244,0
7,244,2
8,244,0
9,244,0
10,244,0
11,244,4
12,244,8
13,244,0
14,244,0
15,244,0
16,244,0
17,244,1
18,244,0
19,244,0
20,244,0
0,245,0
1,245,0
2,245,0
3,245,11
4,245,0
5,245,0
6,245,1
7,245,2
8,245,0
9,245,0
10,245,0
11,245,0
12,245,0
13,245,0
14,245,2
15,245,2
16,245,0
17,245,2
18,245,0
19,245,0
0,246,0
1,246,0
2,246,0
3,246,0
4,246,2
5,246,0
6,246,0
7,246,0
8,246,0
9,246,12
10,246,1
11,246,7
12,246,0
13,246,0
14,246,0
15,246,1
16,246,2
17,246,0
18,246,0
19,246,0
20,246,0
21,246,0
22,246,1
23,246,0
24,246,0
25,246,1
26,246,0
27,246,0
28,246,0
29,246,0
0,247,0
1,247,0
2,247,2
3,247,5
4,247,1
5,247,1
6,247,4
7,247,0
8,247,0
9,247,2
10,247,0
11,247,1
12,247,0
13,247,0
14,247,2
15,247,0
16,247,0
17,247,0
18,247,0
19,247,0
20,247,0
21,247,0
22,247,2
23,247,0
24,247,0
0,248,0
1,248,0
2,248,0
3,248,2
4,248,0
5,248,1
6,248,0
7,248,0
8,248,0
9,248,0
10,248,2
11,248,0
12,248,0
13,248,8
14,248,0
15,248,0
16,248,0
17,248,0
18,248,0
19,248,0
20,248,0
21,248,0
22,248,0
23,248,0
24,248,2
25,248,0
0,249,0
1,249,1
2,249,0
3,249,0
4,249,0
5,249,0
6,249,0
7,249,0
8,249,0
9,249,2
10,249,0
11,249,1
12,249,0
13,249,2
14,249,0
15,249,4
16,249,0
17,249,1
18,249,0
19,249,0
20,249,0
21,249,0
0,250,1
1,250,0
2,250,0
3,250,0
4,250,0
5,250,2
6,250,0
7,250,1
8,250,0
9,250,2
10,250,0
11,250,1
12,250,2
13,250,4
14,250,0
15,250,0
16,250,2
17,250,0
18,250,0
19,250,3
20,250,0
21,250,0
22,250,0
23,250,0
24,250,3
25,250,0
0,251,0
1,251,1
2,251,0
3,251,0
4,251,0
5,251,0
6,251,0
7,251,0
8,251,1
9,251,0
10,251,0
11,251,1
12,251,2
13,251,0
14,251,0
15,251,0
16,251,0
17,251,0
18,251,2
19,251,0
20,251,0
21,251,0
22,251,0
23,251,2
24,251,0
25,251,1
26,251,0
27,251,0
28,251,2
29,251,0
30,251,5
31,251,0
0,252,0
1,252,2
2,252,0
3,252,1
4,252,0
5,252,0
6,252,1
7,252,0
8,252,0
9,252,0
10,252,0
11,252,0
12,252,0
13,252,2
14,252,1
15,252,0
16,252,4
17,252,0
18,252,0
19,252,0
20,252,8
21,252,0
22,252,0
0,253,0
1,253,0
2,253,0
3,253,0
4,253,0
5,253,2
6,253,0
7,253,1
8,253,0
9,253,8
10,253,0
11,253,0
12,253,5
13,253,0
14,253,0
15,253,0
16,253,0
17,253,0
18,253,12
19,253,1
20,253,7
21,253,0
0,254,0
1,254,4
2,254,0
3,254,0
4,254,0
5,254,0
6,254,3
7,254,0
8,254,3
9,254,0
10,254,2
11,254,0
12,254,0
13,254,1
14,254,0
15,254,0
16,254,0
17,254,0
18,254,0
19,254,0
20,254,1
21,254,0
22,254,0
23,254,2
24,254,0
25,254,0
0,255,0
1,255,0
2,255,0
3,255,0
4,255,0
5,255,1
6,255,2
7,255,0
8,255,5
9,255,2
10,255,0
11,255,0
12,255,0
13,255,0
14,255,0
15,255,0
16,255,0
17,255,1
18,255,2
19,255,0
20,255,0
21,255,1
22,255,0
23,255,0
0,256,0
1,256,0
2,256,0
3,256,0
4,256,0
5,256,2
6,256,5
7,256,1
8,256,1
9,256,0
10,256,0
11,256,0
12,256,0
13,256,6
14,256,0
15,256,0
16,256,12
17,256,1
18,256,7
19,256,0
20,256,0
21,256,0
22,256,0
23,256,0
24,256,0
25,256,1
0,257,0
1,257,4
2,257,0
3,257,0
4,257,0
5,257,2
6,257,0
7,257,1
8,257,0
9,257,2
10,257,0
11,257,0
12,257,3
13,257,0
14,257,0
15,257,0
16,257,0
17,257,3
18,257,0
0,258,0
1,258,1
2,258,0
3,258,0
4,258,0
5,258,0
6,258,1
7,258,0
8,258,0
9,258,2
10,258,0
11,258,1
12,258,0
13,258,4
14,258,0
15,258,0
16,258,0
17,258,0
18,258,0
19,258,0
20,258,3
21,258,0
22,258,0
23,258,0
0,259,1
1,259,0
2,259,2
3,259,0
4,259,0
5,259,0
6,259,0
7,259,0
8,259,0
9,259,4
10,259,0
11,259,0
12,259,0
13,259,2
14,259,0
15,259,2
16,259,2
17,259,0
18,259,2
19,259,2
20,259,0
21,259,0
22,259,3
23,259,3
24,259,3
25,259,0
26,259,0
27,259,0
