bond_id,graph_id,start_atom,end_atom,bond_features
0,200,0,1,2
1,200,1,0,2
2,200,1,2,1
3,200,1,14,1
4,200,2,1,1
5,200,2,3,1
6,200,3,2,1
7,200,3,4,1
8,200,4,3,1
9,200,4,5,1
10,200,5,4,1
11,200,5,6,2
12,200,5,13,1
13,200,6,5,2
14,200,6,7,1
15,200,7,6,1
16,200,7,8,2
17,200,7,12,1
18,200,8,7,2
19,200,8,9,1
20,200,9,8,1
21,200,9,10,2
22,200,10,9,2
23,200,10,11,1
24,200,11,10,1
25,200,11,12,2
26,200,12,7,1
27,200,12,11,2
28,200,12,13,1
29,200,13,5,1
30,200,13,12,1
31,200,14,1,1
32,200,14,15,1
33,200,14,28,1
34,200,15,14,1
35,200,15,16,1
36,200,16,15,1
37,200,16,17,1
38,200,17,16,1
39,200,17,18,1
40,200,18,17,1
41,200,18,19,1
42,200,18,27,1
43,200,19,18,1
44,200,19,20,1
45,200,20,19,1
46,200,20,21,2
47,200,20,26,1
48,200,21,20,2
49,200,21,22,1
50,200,22,21,1
51,200,22,23,2
52,200,23,22,2
53,200,23,24,1
54,200,23,25,1
55,200,24,23,1
56,200,25,23,1
57,200,25,26,2
58,200,26,20,1
59,200,26,25,2
60,200,27,18,1
61,200,27,28,1
62,200,28,14,1
63,200,28,27,1
0,201,0,1,1
1,201,1,0,1
2,201,1,2,1
3,201,2,1,1
4,201,2,3,2
5,201,2,26,1
6,201,3,2,2
7,201,3,4,1
8,201,4,3,1
9,201,4,5,2
10,201,5,4,2
11,201,5,6,1
12,201,6,5,1
13,201,6,7,1
14,201,6,26,2
15,201,7,6,1
16,201,7,8,1
17,201,8,7,1
18,201,8,9,1
19,201,9,8,1
20,201,9,10,1
21,201,10,9,1
22,201,10,11,2
23,201,10,12,1
24,201,11,10,2
25,201,12,10,1
26,201,12,13,1
27,201,13,12,1
28,201,13,14,1
29,201,13,25,1
30,201,14,13,1
31,201,14,15,1
32,201,15,14,1
33,201,15,16,1
34,201,16,15,1
35,201,16,17,1
36,201,16,24,1
37,201,17,16,1
38,201,17,18,2
39,201,17,22,1
40,201,18,17,2
41,201,18,19,1
42,201,19,18,1
43,201,19,20,2
44,201,20,19,2
45,201,20,21,1
46,201,21,20,1
47,201,21,22,2
48,201,22,17,1
49,201,22,21,2
50,201,22,23,1
51,201,23,22,1
52,201,24,16,1
53,201,24,25,1
54,201,25,13,1
55,201,25,24,1
56,201,26,2,1
57,201,26,6,2
0,202,0,1,1
1,202,1,0,1
2,202,1,2,1
3,202,2,1,1
4,202,2,3,2
5,202,2,4,1
6,202,3,2,2
7,202,4,2,1
8,202,4,5,1
9,202,4,9,1
10,202,5,4,1
11,202,5,6,1
12,202,6,5,1
13,202,6,7,1
14,202,7,6,1
15,202,7,8,1
16,202,8,7,1
17,202,8,9,1
18,202,9,4,1
19,202,9,8,1
20,202,9,10,1
21,202,10,9,1
22,202,10,11,2
23,202,10,12,1
24,202,11,10,2
25,202,12,10,1
26,202,12,13,1
27,202,13,12,1
28,202,13,14,1
29,202,14,13,1
30,202,14,15,1
31,202,14,18,1
32,202,15,14,1
33,202,15,16,1
34,202,15,17,1
35,202,16,15,1
36,202,16,17,1
37,202,17,15,1
38,202,17,16,1
39,202,18,14,1
40,202,18,19,1
41,202,18,20,1
42,202,19,18,1
43,202,20,18,1
0,203,0,1,1
1,203,1,0,1
2,203,1,2,1
3,203,2,1,1
4,203,2,3,1
5,203,2,5,1
6,203,3,2,1
7,203,3,4,1
8,203,4,3,1
9,203,5,2,1
10,203,5,6,2
11,203,5,7,1
12,203,6,5,2
13,203,7,5,1
14,203,7,8,1
15,203,7,25,1
16,203,8,7,1
17,203,8,9,1
18,203,9,8,1
19,203,9,10,1
20,203,10,9,1
21,203,10,11,1
22,203,10,24,1
23,203,11,10,1
24,203,11,12,1
25,203,12,11,1
26,203,12,13,2
27,203,12,14,1
28,203,13,12,2
29,203,14,12,1
30,203,14,15,1
31,203,15,14,1
32,203,15,16,2
33,203,15,22,1
34,203,16,15,2
35,203,16,17,1
36,203,17,16,1
37,203,17,18,2
38,203,18,17,2
39,203,18,19,1
40,203,18,21,1
41,203,19,18,1
42,203,19,20,1
43,203,20,19,1
44,203,21,18,1
45,203,21,22,2
46,203,22,15,1
47,203,22,21,2
48,203,22,23,1
49,203,23,22,1
50,203,24,10,1
51,203,24,25,1
52,203,25,7,1
53,203,25,24,1
0,204,0,1,1
1,204,1,0,1
2,204,1,2,1
3,204,2,1,1
4,204,2,3,1
5,204,2,5,1
6,204,3,2,1
7,204,3,4,1
8,204,4,3,1
9,204,5,2,1
10,204,5,6,2
11,204,5,7,1
12,204,6,5,2
13,204,7,5,1
14,204,7,8,1
15,204,7,9,1
16,204,8,7,1
17,204,9,7,1
18,204,9,10,1
19,204,10,9,1
0,205,0,1,1
1,205,1,0,1
2,205,1,2,2
3,205,1,21,1
4,205,2,1,2
5,205,2,3,1
6,205,3,2,1
7,205,3,4,1
8,205,4,3,1
9,205,4,5,1
10,205,4,21,2
11,205,5,4,1
12,205,5,6,1
13,205,6,5,1
14,205,6,7,1
15,205,6,20,1
16,205,7,6,1
17,205,7,8,1
18,205,8,7,1
19,205,8,9,1
20,205,9,8,1
21,205,9,10,1
22,205,9,20,1
23,205,10,9,1
24,205,10,11,1
25,205,11,10,1
26,205,11,12,1
27,205,12,11,1
28,205,12,13,1
29,205,13,12,1
30,205,13,14,1
31,205,14,13,1
32,205,14,15,2
33,205,14,19,1
34,205,15,14,2
35,205,15,16,1
36,205,16,15,1
37,205,16,17,2
38,205,17,16,2
39,205,17,18,1
40,205,18,17,1
41,205,18,19,2
42,205,19,14,1
43,205,19,18,2
44,205,20,6,1
45,205,20,9,1
46,205,21,1,1
47,205,21,4,2
0,206,0,1,1
1,206,1,0,1
2,206,1,2,2
3,206,1,26,1
4,206,2,1,2
5,206,2,3,1
6,206,3,2,1
7,206,3,4,2
8,206,4,3,2
9,206,4,5,1
10,206,4,26,1
11,206,5,4,1
12,206,5,6,1
13,206,6,5,1
14,206,6,7,1
15,206,6,25,1
16,206,7,6,1
17,206,7,8,1
18,206,8,7,1
19,206,8,9,1
20,206,9,8,1
21,206,9,10,1
22,206,9,24,1
23,206,10,9,1
24,206,10,11,1
25,206,10,23,1
26,206,11,10,1
27,206,11,12,1
28,206,12,11,1
29,206,12,13,1
30,206,13,12,1
31,206,13,14,1
32,206,13,22,1
33,206,14,13,1
34,206,14,15,2
35,206,14,16,1
36,206,15,14,2
37,206,16,14,1
38,206,16,17,1
39,206,16,21,1
40,206,17,16,1
41,206,17,18,1
42,206,18,17,1
43,206,18,19,1
44,206,19,18,1
45,206,19,20,1
46,206,20,19,1
47,206,20,21,1
48,206,21,16,1
49,206,21,20,1
50,206,22,13,1
51,206,22,23,1
52,206,23,10,1
53,206,23,22,1
54,206,24,9,1
55,206,24,25,1
56,206,25,6,1
57,206,25,24,1
58,206,26,1,1
59,206,26,4,1
0,207,0,1,1
1,207,1,0,1
2,207,1,2,1
3,207,1,3,1
4,207,2,1,1
5,207,3,1,1
6,207,3,4,1
7,207,4,3,1
8,207,4,5,1
9,207,5,4,1
10,207,5,6,1
11,207,5,13,1
12,207,6,5,1
13,207,6,7,2
14,207,6,8,1
15,207,7,6,2
16,207,8,6,1
17,207,8,9,2
18,207,8,12,1
19,207,9,8,2
20,207,9,10,1
21,207,10,9,1
22,207,10,11,2
23,207,11,10,2
24,207,11,12,1
25,207,12,8,1
26,207,12,11,1
27,207,13,5,1
28,207,13,14,2
29,207,13,25,1
30,207,14,13,2
31,207,14,15,1
32,207,15,14,1
33,207,15,16,2
34,207,15,24,1
35,207,16,15,2
36,207,16,17,1
37,207,17,16,1
38,207,17,18,2
39,207,18,17,2
40,207,18,19,1
41,207,18,23,1
42,207,19,18,1
43,207,19,20,1
44,207,19,21,2
45,207,19,22,2
46,207,20,19,1
47,207,21,19,2
48,207,22,19,2
49,207,23,18,1
50,207,23,24,2
51,207,24,15,1
52,207,24,23,2
53,207,24,25,1
54,207,25,13,1
55,207,25,24,1
0,208,0,1,1
1,208,1,0,1
2,208,1,2,2
3,208,1,21,1
4,208,2,1,2
5,208,2,3,1
6,208,3,2,1
7,208,3,4,2
8,208,4,3,2
9,208,4,5,1
10,208,4,19,1
11,208,5,4,1
12,208,5,6,1
13,208,6,5,1
14,208,6,7,2
15,208,6,8,1
16,208,7,6,2
17,208,8,6,1
18,208,8,9,2
19,208,8,18,1
20,208,9,8,2
21,208,9,10,1
22,208,10,9,1
23,208,10,11,1
24,208,10,17,1
25,208,11,10,1
26,208,11,12,2
27,208,11,16,1
28,208,12,11,2
29,208,12,13,1
30,208,13,12,1
31,208,13,14,2
32,208,14,13,2
33,208,14,15,1
34,208,15,14,1
35,208,15,16,2
36,208,16,11,1
37,208,16,15,2
38,208,17,10,1
39,208,17,18,2
40,208,18,8,1
41,208,18,17,2
42,208,19,4,1
43,208,19,20,1
44,208,19,21,2
45,208,20,19,1
46,208,21,1,1
47,208,21,19,2
0,209,0,1,1
1,209,1,0,1
2,209,1,2,2
3,209,1,16,1
4,209,2,1,2
5,209,2,3,1
6,209,3,2,1
7,209,3,4,2
8,209,4,3,2
9,209,4,5,1
10,209,4,6,1
11,209,5,4,1
12,209,6,4,1
13,209,6,7,1
14,209,6,16,2
15,209,7,6,1
16,209,7,8,1
17,209,8,7,1
18,209,8,9,1
19,209,9,8,1
20,209,9,10,1
21,209,10,9,1
22,209,10,11,1
23,209,11,10,1
24,209,11,12,1
25,209,12,11,1
26,209,12,13,1
27,209,12,14,1
28,209,13,12,1
29,209,14,12,1
30,209,14,15,1
31,209,15,14,1
32,209,16,1,1
33,209,16,6,2
0,210,0,1,1
1,210,1,0,1
2,210,1,2,2
3,210,1,6,1
4,210,2,1,2
5,210,2,3,1
6,210,3,2,1
7,210,3,4,2
8,210,4,3,2
9,210,4,5,1
10,210,5,4,1
11,210,5,6,2
12,210,6,1,1
13,210,6,5,2
14,210,6,7,1
15,210,7,6,1
16,210,7,8,1
17,210,8,7,1
18,210,8,9,1
19,210,9,8,1
20,210,9,10,2
21,210,9,18,1
22,210,10,9,2
23,210,10,11,1
24,210,11,10,1
25,210,11,12,1
26,210,12,11,1
27,210,12,13,1
28,210,12,18,2
29,210,13,12,1
30,210,13,14,2
31,210,13,17,1
32,210,14,13,2
33,210,14,15,1
34,210,15,14,1
35,210,15,16,2
36,210,16,15,2
37,210,16,17,1
38,210,17,13,1
39,210,17,16,1
40,210,18,9,1
41,210,18,12,2
0,211,0,1,1
1,211,1,0,1
2,211,1,2,1
3,211,1,9,1
4,211,2,1,1
5,211,2,3,2
6,211,2,7,1
7,211,3,2,2
8,211,3,4,1
9,211,4,3,1
10,211,4,5,2
11,211,5,4,2
12,211,5,6,1
13,211,6,5,1
14,211,6,7,2
15,211,7,2,1
16,211,7,6,2
17,211,7,8,1
18,211,8,7,1
19,211,8,9,2
20,211,9,1,1
21,211,9,8,2
22,211,9,10,1
23,211,10,9,1
24,211,10,11,1
25,211,11,10,1
26,211,11,12,1
27,211,12,11,1
28,211,12,13,2
29,211,12,14,1
30,211,13,12,2
31,211,14,12,1
32,211,14,15,2
33,211,14,23,1
34,211,15,14,2
35,211,15,16,1
36,211,16,15,1
37,211,16,17,2
38,211,17,16,2
39,211,17,18,1
40,211,18,17,1
41,211,18,19,1
42,211,18,23,2
43,211,19,18,1
44,211,19,20,1
45,211,19,21,1
46,211,19,22,1
47,211,20,19,1
48,211,21,19,1
49,211,22,19,1
50,211,23,14,1
51,211,23,18,2
0,212,0,1,1
1,212,1,0,1
2,212,1,2,1
3,212,2,1,1
4,212,2,3,2
5,212,2,4,1
6,212,3,2,2
7,212,4,2,1
8,212,4,5,1
9,212,5,4,1
10,212,5,6,2
11,212,5,21,1
12,212,6,5,2
13,212,6,7,1
14,212,7,6,1
15,212,7,8,1
16,212,7,20,2
17,212,8,7,1
18,212,8,9,1
19,212,9,8,1
20,212,9,10,1
21,212,10,9,1
22,212,10,11,1
23,212,10,17,1
24,212,11,10,1
25,212,11,12,2
26,212,11,16,1
27,212,12,11,2
28,212,12,13,1
29,212,13,12,1
30,212,13,14,2
31,212,14,13,2
32,212,14,15,1
33,212,15,14,1
34,212,15,16,2
35,212,16,11,1
36,212,16,15,2
37,212,17,10,1
38,212,17,18,1
39,212,17,19,1
40,212,18,17,1
41,212,19,17,1
42,212,20,7,2
43,212,20,21,1
44,212,21,5,1
45,212,21,20,1
0,213,0,1,1
1,213,1,0,1
2,213,1,2,1
3,213,2,1,1
4,213,2,3,1
5,213,3,2,1
6,213,3,4,2
7,213,3,13,1
8,213,4,3,2
9,213,4,5,1
10,213,5,4,1
11,213,5,6,2
12,213,6,5,2
13,213,6,7,1
14,213,6,11,1
15,213,7,6,1
16,213,7,8,1
17,213,7,9,2
18,213,7,10,2
19,213,8,7,1
20,213,9,7,2
21,213,10,7,2
22,213,11,6,1
23,213,11,12,1
24,213,11,13,2
25,213,12,11,1
26,213,13,3,1
27,213,13,11,2
0,214,0,1,1
1,214,1,0,1
2,214,1,2,2
3,214,1,23,1
4,214,2,1,2
5,214,2,3,1
6,214,3,2,1
7,214,3,4,1
8,214,3,22,2
9,214,4,3,1
10,214,4,5,1
11,214,5,4,1
12,214,5,6,2
13,214,5,7,1
14,214,6,5,2
15,214,7,5,1
16,214,7,8,1
17,214,8,7,1
18,214,8,9,2
19,214,8,21,1
20,214,9,8,2
21,214,9,10,1
22,214,10,9,1
23,214,10,11,2
24,214,11,10,2
25,214,11,12,1
26,214,11,16,1
27,214,12,11,1
28,214,12,13,1
29,214,13,12,1
30,214,13,14,1
31,214,13,15,1
32,214,14,13,1
33,214,15,13,1
34,214,16,11,1
35,214,16,17,2
36,214,16,21,1
37,214,17,16,2
38,214,17,18,1
39,214,18,17,1
40,214,18,19,2
41,214,19,18,2
42,214,19,20,1
43,214,20,19,1
44,214,20,21,2
45,214,21,8,1
46,214,21,16,1
47,214,21,20,2
48,214,22,3,2
49,214,22,23,1
50,214,23,1,1
51,214,23,22,1
0,215,0,1,2
1,215,1,0,2
2,215,1,2,1
3,215,1,16,1
4,215,2,1,1
5,215,2,3,1
6,215,3,2,1
7,215,3,4,1
8,215,4,3,1
9,215,4,5,1
10,215,5,4,1
11,215,5,6,2
12,215,5,15,1
13,215,6,5,2
14,215,6,7,1
15,215,7,6,1
16,215,7,8,1
17,215,7,14,2
18,215,8,7,1
19,215,8,9,2
20,215,8,13,1
21,215,9,8,2
22,215,9,10,1
23,215,10,9,1
24,215,10,11,2
25,215,11,10,2
26,215,11,12,1
27,215,12,11,1
28,215,12,13,2
29,215,13,8,1
30,215,13,12,2
31,215,14,7,2
32,215,14,15,1
33,215,15,5,1
34,215,15,14,1
35,215,16,1,1
36,215,16,17,1
37,215,16,28,1
38,215,17,16,1
39,215,17,18,1
40,215,18,17,1
41,215,18,19,1
42,215,19,18,1
43,215,19,20,1
44,215,20,19,1
45,215,20,21,1
46,215,20,28,1
47,215,21,20,1
48,215,21,22,1
49,215,22,21,1
50,215,22,23,2
51,215,22,27,1
52,215,23,22,2
53,215,23,24,1
54,215,24,23,1
55,215,24,25,2
56,215,25,24,2
57,215,25,26,1
58,215,26,25,1
59,215,26,27,2
60,215,27,22,1
61,215,27,26,2
62,215,28,16,1
63,215,28,20,1
0,216,0,1,1
1,216,1,0,1
2,216,1,2,2
3,216,1,23,1
4,216,2,1,2
5,216,2,3,1
6,216,3,2,1
7,216,3,4,1
8,216,3,22,1
9,216,4,3,1
10,216,4,5,1
11,216,5,4,1
12,216,5,6,1
13,216,5,20,1
14,216,6,5,1
15,216,6,7,1
16,216,7,6,1
17,216,7,8,2
18,216,7,9,1
19,216,8,7,2
20,216,9,7,1
21,216,9,10,1
22,216,10,9,1
23,216,10,11,1
24,216,10,19,1
25,216,11,10,1
26,216,11,12,1
27,216,12,11,1
28,216,12,13,1
29,216,13,12,1
30,216,13,14,1
31,216,14,13,1
32,216,14,15,2
33,216,14,19,1
34,216,15,14,2
35,216,15,16,1
36,216,16,15,1
37,216,16,17,2
38,216,17,16,2
39,216,17,18,1
40,216,18,17,1
41,216,18,19,2
42,216,19,10,1
43,216,19,14,1
44,216,19,18,2
45,216,20,5,1
46,216,20,21,1
47,216,21,20,1
48,216,21,22,1
49,216,22,3,1
50,216,22,21,1
51,216,22,23,2
52,216,23,1,1
53,216,23,22,2
0,217,0,1,1
1,217,1,0,1
2,217,1,2,2
3,217,1,10,1
4,217,2,1,2
5,217,2,3,1
6,217,2,4,1
7,217,3,2,1
8,217,4,2,1
9,217,4,5,2
10,217,4,9,1
11,217,5,4,2
12,217,5,6,1
13,217,6,5,1
14,217,6,7,2
15,217,6,29,1
16,217,7,6,2
17,217,7,8,1
18,217,7,11,1
19,217,8,7,1
20,217,8,9,2
21,217,9,4,1
22,217,9,8,2
23,217,9,10,1
24,217,10,1,1
25,217,10,9,1
26,217,11,7,1
27,217,11,12,1
