clique_id,graph_id,atoms,bonds,clique_features
0,320,3;4;5;6;7,3:4;3:7;4:3;4:5;5:4;5:6;6:5;6:7;7:3;7:6,0
1,320,11;12;13,11:12;11:13;12:11;12:13;13:11;13:12,0
2,320,14;15;16;17;18;20,14:15;14:20;15:14;15:16;16:15;16:17;17:16;17:18;18:17;18:20;20:14;20:18,0
3,320,0;1,0:1;1:0,1
4,320,1;2,1:2;2:1,1
5,320,1;9,1:9;9:1,1
6,320,2;3,2:3;3:2,1
7,320,7;8,7:8;8:7,1
8,320,9;10,9:10;10:9,1
9,320,9;11,9:11;11:9,1
10,320,13;14,13:14;14:13,1
11,320,18;19,18:19;19:18,1
12,320,20;21,20:21;21:20,1
13,320,1,,3
14,320,9,,3
0,321,1;2;3;4;5,1:2;1:5;2:1;2:3;3:2;3:4;4:3;4:5;5:1;5:4,0
1,321,7;8;9;10;25;26,7:8;7:26;8:7;8:9;9:8;9:10;10:9;10:25;25:10;25:26;26:7;26:25,0
2,321,14;15;16;17;18;24,14:15;14:24;15:14;15:16;16:15;16:17;17:16;17:18;18:17;18:24;24:14;24:18,0
3,321,19;20;21;22;23,19:20;19:23;20:19;20:21;21:20;21:22;22:21;22:23;23:19;23:22,0
4,321,0;1,0:1;1:0,1
5,321,5;6,5:6;6:5,1
6,321,6;7,6:7;7:6,1
7,321,10;11,10:11;11:10,1
8,321,11;12,11:12;12:11,1
9,321,12;13,12:13;13:12,1
10,321,12;14,12:14;14:12,1
11,321,18;19,18:19;19:18,1
12,321,12,,3
0,322,1;2;3;10;12,1:2;1:12;2:1;2:3;3:2;3:10;10:3;10:12;12:1;12:10,0
1,322,4;5;6;7;8;9,4:5;4:9;5:4;5:6;6:5;6:7;7:6;7:8;8:7;8:9;9:4;9:8,0
2,322,13;14;15;16;17;18,13:14;13:18;14:13;14:15;15:14;15:16;16:15;16:17;17:16;17:18;18:13;18:17,0
3,322,19;20;21;22;23;24,19:20;19:24;20:19;20:21;21:20;21:22;22:21;22:23;23:22;23:24;24:19;24:23,0
4,322,0;1,0:1;1:0,1
5,322,3;4,3:4;4:3,1
6,322,10;11,10:11;11:10,1
7,322,12;13,12:13;13:12,1
8,322,12;19,12:19;19:12,1
9,322,12,,3
0,323,3;4;5;18;19,3:4;3:19;4:3;4:5;5:4;5:18;18:5;18:19;19:3;19:18,0
1,323,11;12;13;14;15;17,11:12;11:17;12:11;12:13;13:12;13:14;14:13;14:15;15:14;15:17;17:11;17:15,0
2,323,0;1,0:1;1:0,1
3,323,1;2,1:2;2:1,1
4,323,1;3,1:3;3:1,1
5,323,5;6,5:6;6:5,1
6,323,6;7,6:7;7:6,1
7,323,7;8,7:8;8:7,1
8,323,8;9,8:9;9:8,1
9,323,8;10,8:10;10:8,1
10,323,8;11,8:11;11:8,1
