atom_id,graph_id,atom_features
0,140,0
1,140,1
2,140,0
3,140,0
4,140,0
5,140,0
6,140,0
7,140,0
8,140,0
9,140,2
10,140,4
11,140,0
12,140,0
13,140,1
14,140,2
15,140,0
16,140,0
17,140,0
18,140,0
19,140,0
20,140,0
0,141,0
1,141,4
2,141,1
3,141,0
4,141,0
5,141,0
6,141,0
7,141,3
8,141,0
9,141,0
10,141,1
11,141,0
12,141,0
13,141,2
14,141,0
15,141,0
16,141,0
17,141,0
18,141,0
19,141,0
20,141,5
0,142,1
1,142,4
2,142,0
3,142,0
4,142,4
5,142,0
6,142,0
7,142,0
8,142,0
9,142,0
10,142,0
11,142,0
12,142,0
13,142,0
14,142,0
0,143,0
1,143,0
2,143,1
3,143,0
4,143,0
5,143,0
6,143,0
7,143,0
8,143,0
9,143,2
10,143,2
11,143,2
12,143,0
13,143,0
14,143,0
15,143,0
16,143,0
17,143,0
18,143,0
19,143,0
20,143,5
21,143,0
22,143,2
23,143,0
24,143,1
25,143,0
26,143,0
27,143,0
28,143,1
29,143,5
30,143,0
31,143,1
32,143,1
0,144,0
1,144,1
2,144,0
3,144,0
4,144,0
5,144,0
6,144,1
7,144,0
8,144,0
9,144,4
10,144,1
11,144,0
12,144,0
13,144,8
14,144,0
15,144,0
16,144,2
17,144,0
18,144,0
0,145,0
1,145,1
2,145,0
3,145,0
4,145,0
5,145,0
6,145,0
7,145,0
8,145,0
9,145,2
10,145,0
11,145,4
12,145,0
13,145,1
14,145,2
15,145,0
16,145,0
17,145,2
18,145,1
19,145,0
20,145,0
21,145,0
22,145,0
23,145,0
24,145,0
25,145,0
26,145,2
27,145,0
28,145,0
29,145,0
30,145,1
0,146,0
1,146,1
2,146,0
3,146,0
4,146,0
5,146,0
6,146,0
7,146,0
8,146,2
9,146,0
10,146,1
11,146,0
12,146,0
13,146,0
14,146,2
15,146,0
16,146,0
17,146,0
18,146,0
19,146,0
20,146,0
21,146,0
22,146,0
23,146,1
24,146,0
0,147,1
1,147,0
2,147,0
3,147,0
4,147,6
5,147,5
6,147,0
7,147,6
8,147,0
9,147,2
10,147,0
11,147,0
12,147,2
13,147,0
14,147,0
15,147,0
16,147,8
17,147,0
18,147,0
19,147,0
20,147,0
0,148,0
1,148,0
2,148,0
3,148,0
4,148,0
5,148,0
6,148,0
7,148,1
8,148,2
9,148,0
10,148,0
11,148,0
12,148,2
13,148,1
14,148,0
15,148,0
16,148,0
17,148,0
18,148,5
19,148,5
0,149,2
1,149,0
2,149,0
3,149,0
4,149,5
5,149,0
6,149,0
7,149,1
8,149,2
9,149,0
10,149,0
11,149,0
12,149,0
13,149,0
14,149,6
15,149,0
16,149,2
17,149,0
18,149,7
19,149,4
20,149,0
21,149,2
22,149,0
23,149,0
24,149,0
25,149,0
26,149,0
27,149,0
0,150,0
1,150,0
2,150,4
3,150,2
4,150,0
5,150,1
6,150,0
7,150,1
8,150,2
9,150,0
10,150,0
11,150,0
12,150,0
13,150,0
14,150,0
15,150,3
16,150,0
17,150,0
18,150,0
19,150,0
20,150,1
21,150,0
22,150,0
23,150,0
0,151,0
1,151,0
2,151,0
3,151,0
4,151,0
5,151,0
6,151,10
7,151,2
8,151,0
9,151,1
10,151,2
11,151,4
12,151,0
13,151,0
14,151,1
15,151,0
16,151,0
17,151,0
0,152,0
1,152,0
2,152,1
3,152,0
4,152,1
5,152,0
6,152,0
7,152,0
8,152,0
9,152,2
10,152,0
11,152,0
12,152,0
13,152,0
14,152,0
15,152,2
16,152,0
17,152,1
18,152,2
19,152,0
20,152,4
21,152,0
22,152,0
23,152,0
24,152,1
25,152,0
26,152,2
27,152,0
28,152,1
29,152,0
30,152,0
31,152,0
32,152,0
33,152,0
34,152,0
35,152,3
0,153,0
1,153,1
2,153,0
3,153,0
4,153,0
5,153,2
6,153,0
7,153,1
8,153,4
9,153,0
10,153,5
11,153,0
12,153,0
13,153,0
14,153,0
15,153,0
16,153,0
17,153,6
18,153,0
19,153,0
20,153,1
21,153,0
22,153,0
0,154,0
1,154,4
2,154,2
3,154,0
4,154,1
5,154,4
6,154,0
7,154,0
8,154,0
9,154,2
10,154,5
11,154,0
12,154,1
13,154,1
14,154,0
15,154,0
16,154,0
17,154,0
18,154,1
19,154,0
20,154,1
21,154,0
22,154,0
0,155,0
1,155,0
2,155,0
3,155,0
4,155,1
5,155,2
6,155,0
7,155,0
8,155,0
9,155,1
10,155,0
11,155,0
12,155,0
13,155,0
14,155,2
15,155,2
16,155,2
17,155,0
18,155,0
19,155,0
20,155,0
21,155,2
22,155,0
23,155,0
24,155,0
25,155,0
26,155,0
0,156,0
1,156,0
2,156,0
3,156,0
4,156,0
5,156,2
6,156,0
7,156,2
8,156,0
9,156,1
10,156,0
11,156,0
12,156,0
13,156,2
14,156,0
15,156,1
16,156,0
17,156,0
18,156,0
19,156,0
20,156,0
21,156,0
22,156,0
23,156,1
24,156,2
0,157,1
1,157,5
2,157,1
3,157,2
4,157,0
5,157,0
6,157,0
7,157,0
8,157,0
9,157,0
10,157,0
11,157,0
12,157,2
13,157,0
14,157,0
15,157,0
16,157,0
17,157,0
18,157,0
19,157,2
20,157,2
21,157,0
22,157,0
23,157,0
24,157,0
25,157,0
26,157,0
27,157,3
28,157,0
29,157,0
30,157,3
0,158,0
1,158,0
2,158,2
3,158,0
4,158,4
5,158,0
6,158,0
7,158,1
8,158,0
9,158,0
10,158,1
11,158,2
12,158,0
13,158,0
14,158,0
15,158,0
16,158,0
17,158,0
18,158,6
19,158,1
