bond_id,graph_id,start_atom,end_atom,bond_features
0,180,0,1,1
1,180,1,0,1
2,180,1,2,2
3,180,1,12,1
4,180,2,1,2
5,180,2,3,1
6,180,3,2,1
7,180,3,4,1
8,180,4,3,1
9,180,4,5,1
10,180,4,12,2
11,180,5,4,1
12,180,5,6,1
13,180,6,5,1
14,180,6,7,2
15,180,6,11,1
16,180,7,6,2
17,180,7,8,1
18,180,8,7,1
19,180,8,9,2
20,180,8,10,1
21,180,9,8,2
22,180,10,8,1
23,180,10,11,1
24,180,11,6,1
25,180,11,10,1
26,180,12,1,1
27,180,12,4,2
0,181,0,1,1
1,181,1,0,1
2,181,1,2,2
3,181,1,3,1
4,181,1,20,2
5,181,2,1,1
6,181,3,1,1
7,181,3,4,1
8,181,4,3,1
9,181,4,5,1
10,181,5,4,2
11,181,5,6,1
12,181,6,5,1
13,181,6,7,1
14,181,6,20,2
15,181,7,6,1
16,181,7,8,2
17,181,8,7,1
18,181,8,9,1
19,181,8,14,2
20,181,9,8,1
21,181,9,10,2
22,181,10,9,1
23,181,10,11,1
24,181,10,12,1
25,181,11,10,1
26,181,12,10,1
27,181,12,13,2
28,181,13,12,1
29,181,13,14,1
30,181,14,8,1
31,181,14,13,1
32,181,14,15,1
33,181,15,14,1
34,181,15,16,1
35,181,15,19,1
36,181,16,15,1
37,181,16,17,1
38,181,17,16,1
39,181,17,18,1
40,181,18,17,1
41,181,18,19,1
42,181,19,15,1
43,181,19,18,1
44,181,20,1,1
45,181,20,6,1
0,182,0,1,1
1,182,1,0,1
2,182,1,2,2
3,182,1,3,1
4,182,1,7,2
5,182,2,1,1
6,182,3,1,1
7,182,3,4,1
8,182,4,3,1
9,182,4,5,1
10,182,5,4,2
11,182,5,6,1
12,182,5,17,1
13,182,6,5,1
14,182,6,7,2
15,182,6,8,1
16,182,7,1,2
17,182,7,6,1
18,182,8,6,1
19,182,8,9,2
20,182,8,16,1
21,182,9,8,2
22,182,9,10,1
23,182,9,11,1
24,182,10,9,1
25,182,11,9,1
26,182,11,12,1
27,182,11,13,2
28,182,12,11,1
29,182,13,11,1
30,182,13,14,1
31,182,13,15,1
32,182,14,13,1
33,182,15,13,1
34,182,15,16,1
35,182,16,8,1
36,182,16,15,1
37,182,16,17,1
38,182,17,5,1
39,182,17,16,1
0,183,0,1,1
1,183,1,0,1
2,183,1,2,2
3,183,1,15,1
4,183,2,1,2
5,183,2,3,1
6,183,3,2,1
7,183,3,4,1
8,183,4,3,1
9,183,4,5,1
10,183,4,14,2
11,183,5,4,1
12,183,5,6,1
13,183,6,5,1
14,183,6,7,2
15,183,7,6,1
16,183,7,8,2
17,183,8,7,1
18,183,8,9,1
19,183,8,14,2
20,183,9,8,1
21,183,9,10,2
22,183,10,9,1
23,183,10,11,1
24,183,11,10,1
25,183,11,12,1
26,183,11,13,1
27,183,12,11,2
28,183,13,11,1
29,183,13,14,1
30,183,14,4,1
31,183,14,8,1
32,183,14,13,1
33,183,15,1,1
34,183,15,16,1
35,183,16,15,1
36,183,16,17,1
37,183,16,21,1
38,183,17,16,1
39,183,17,18,1
40,183,18,17,1
41,183,18,19,1
42,183,19,18,1
43,183,19,20,1
44,183,20,19,1
45,183,20,21,1
46,183,21,16,2
47,183,21,20,1
48,183,21,22,2
49,183,22,21,1
0,184,0,1,1
1,184,1,0,1
2,184,1,2,2
3,184,1,10,1
4,184,2,1,2
5,184,2,3,1
6,184,3,2,1
7,184,3,4,1
8,184,4,3,1
9,184,4,5,1
10,184,4,9,2
11,184,5,4,1
12,184,5,6,1
13,184,6,5,1
14,184,6,7,2
15,184,7,6,1
16,184,7,8,2
17,184,8,7,1
18,184,8,9,1
19,184,9,4,2
20,184,9,8,1
21,184,10,1,2
22,184,10,11,1
23,184,11,10,1
24,184,11,12,1
25,184,12,11,1
26,184,12,13,1
27,184,12,18,2
28,184,13,12,1
29,184,13,14,1
30,184,14,13,1
31,184,14,15,1
32,184,15,14,1
33,184,15,16,1
34,184,15,17,1
35,184,16,15,1
36,184,17,15,1
37,184,17,18,1
38,184,18,12,1
39,184,18,17,1
0,185,0,1,1
1,185,1,0,1
2,185,1,2,2
3,185,2,1,1
4,185,2,3,2
5,185,2,13,1
6,185,3,2,1
7,185,3,4,1
8,185,3,5,1
9,185,4,3,1
10,185,5,3,2
11,185,5,6,1
12,185,6,5,1
13,185,6,7,1
14,185,6,12,2
15,185,7,6,1
16,185,7,8,2
17,185,7,13,1
18,185,8,7,1
19,185,8,9,2
20,185,8,10,1
21,185,9,8,2
22,185,10,8,1
23,185,10,11,1
24,185,11,10,1
25,185,11,12,1
26,185,12,6,1
27,185,12,11,2
28,185,13,2,1
29,185,13,7,1
30,185,13,14,1
31,185,14,13,1
32,185,14,15,1
33,185,14,19,1
34,185,15,14,1
35,185,15,16,1
36,185,16,15,1
37,185,16,17,1
38,185,17,16,1
39,185,17,18,1
40,185,18,17,1
41,185,18,19,1
