clique_id,graph_id,atoms,bonds,clique_features
0,160,1;2;3;4;22,1:2;1:22;2:1;2:3;3:2;3:4;4:3;4:22;22:1;22:4,0
1,160,11;12;13,11:12;11:13;12:11;12:13;13:11;13:12,0
2,160,14;15;17;18;19;20,14:15;14:20;15:14;15:17;17:15;17:18;18:17;18:19;19:18;19:20;20:14;20:19,0
3,160,0;1,0:1;1:0,1
4,160,4;5,4:5;5:4,1
5,160,5;6,5:6;6:5,1
6,160,6;7,6:7;7:6,1
7,160,7;8,7:8;8:7,1
8,160,8;9,8:9;9:8,1
9,160,9;10,9:10;10:9,1
10,160,9;11,9:11;11:9,1
11,160,13;14,13:14;14:13,1
12,160,15;16,15:16;16:15,1
13,160,20;21,20:21;21:20,1
14,160,9,,3
0,161,1;2;3;4;5;24,1:2;1:24;2:1;2:3;3:2;3:4;4:3;4:5;5:4;5:24;24:1;24:5,0
1,161,5;6;8;22;23;24,5:6;5:24;6:5;6:8;8:6;8:22;22:8;22:23;23:22;23:24;24:5;24:23,0
2,161,12;13;14;15;21,12:13;12:21;13:12;13:14;14:13;14:15;15:14;15:21;21:12;21:15,0
3,161,0;1,0:1;1:0,1
4,161,6;7,6:7;7:6,1
5,161,8;9,8:9;9:8,1
6,161,9;10,9:10;10:9,1
7,161,9;11,9:11;11:9,1
8,161,11;12,11:12;12:11,1
9,161,15;16,15:16;16:15,1
10,161,16;17,16:17;17:16,1
11,161,16;18,16:18;18:16,1
12,161,18;19,18:19;19:18,1
13,161,18;20,18:20;20:18,1
14,161,9,,3
15,161,16,,3
16,161,18,,3
0,162,5;6;7;8;28;29,5:6;5:29;6:5;6:7;7:6;7:8;8:7;8:28;28:8;28:29;29:5;29:28,0
1,162,11;12;13;14;26;27,11:12;11:27;12:11;12:13;13:12;13:14;14:13;14:26;26:14;26:27;27:11;27:26,0
2,162,18;19;20;22;23;25,18:19;18:25;19:18;19:20;20:19;20:22;22:20;22:23;23:22;23:25;25:18;25:23,0
3,162,0;1,0:1;1:0,1
4,162,1;2,1:2;2:1,1
5,162,2;3,2:3;3:2,1
6,162,3;4,3:4;4:3,1
7,162,4;5,4:5;5:4,1
8,162,8;9,8:9;9:8,1
9,162,9;10,9:10;10:9,1
10,162,9;11,9:11;11:9,1
11,162,14;15,14:15;15:14,1
12,162,15;16,15:16;16:15,1
13,162,15;17,15:17;17:15,1
14,162,15;18,15:18;18:15,1
15,162,20;21,20:21;21:20,1
16,162,23;24,23:24;24:23,1
17,162,9,,3
18,162,15,,3
