tree_edge_id,graph_id,start_clique,end_clique
0,180,0,2
1,180,0,3
2,180,1,4
3,180,1,5
4,180,2,0
5,180,3,0
6,180,3,4
7,180,4,1
8,180,4,3
9,180,5,1
0,181,0,5
1,181,0,9
2,181,1,6
3,181,1,7
4,181,1,8
5,181,2,8
6,181,3,9
7,181,4,9
8,181,5,0
9,181,5,6
10,181,6,1
11,181,6,5
12,181,7,1
13,181,8,1
14,181,8,2
15,181,9,0
16,181,9,3
17,181,9,4
0,182,0,2
1,182,0,8
2,182,1,2
3,182,1,5
4,182,1,6
5,182,1,7
6,182,2,0
7,182,2,1
8,182,3,8
9,182,4,8
10,182,5,1
11,182,6,1
12,182,7,1
13,182,8,0
14,182,8,3
15,182,8,4
0,183,0,1
1,183,0,7
2,183,1,0
3,183,1,8
4,183,2,9
5,183,2,10
6,183,3,11
7,183,4,6
8,183,4,11
9,183,5,9
10,183,5,11
11,183,6,4
12,183,6,7
13,183,7,0
14,183,7,6
15,183,8,1
16,183,9,2
17,183,9,5
18,183,10,2
19,183,11,3
20,183,11,4
21,183,11,5
0,184,0,6
1,184,1,8
2,184,1,9
3,184,2,10
4,184,3,5
5,184,3,10
6,184,4,7
7,184,4,10
8,184,5,3
9,184,5,6
10,184,6,0
11,184,6,5
12,184,7,4
13,184,7,8
14,184,8,1
15,184,8,7
16,184,9,1
17,184,10,2
18,184,10,3
19,184,10,4
0,185,0,1
1,185,0,4
2,185,0,5
3,185,0,7
4,185,1,0
5,185,1,6
6,185,2,7
7,185,3,4
8,185,4,0
9,185,4,3
10,185,5,0
11,185,6,1
12,185,7,0
13,185,7,2
0,186,0,3
1,186,0,4
2,186,0,6
3,186,1,4
4,186,1,5
5,186,2,9
6,186,2,10
7,186,2,13
8,186,3,0
9,186,4,0
10,186,4,1
11,186,5,1
12,186,6,0
13,186,6,7
14,186,7,6
15,186,7,14
16,186,8,14
17,186,9,2
18,186,9,14
19,186,10,2
20,186,10,15
21,186,11,15
22,186,12,15
23,186,13,2
24,186,14,7
25,186,14,8
26,186,14,9
27,186,15,10
28,186,15,11
29,186,15,12
0,187,0,4
1,187,0,5
2,187,1,9
3,187,2,4
4,187,2,9
5,187,3,6
6,187,3,9
7,187,4,0
8,187,4,2
9,187,5,0
10,187,6,3
11,187,6,10
12,187,7,10
13,187,8,10
14,187,9,1
15,187,9,2
16,187,9,3
17,187,10,6
18,187,10,7
19,187,10,8
0,188,0,3
1,188,0,4
2,188,1,4
3,188,1,5
4,188,2,8
5,188,2,9
6,188,2,12
7,188,3,0
8,188,4,0
9,188,4,1
10,188,5,1
11,188,5,13
12,188,6,13
13,188,7,8
14,188,7,13
15,188,8,2
16,188,8,7
17,188,9,2
18,188,9,14
19,188,10,14
20,188,11,14
21,188,12,2
22,188,13,5
23,188,13,6
24,188,13,7
25,188,14,9
26,188,14,10
27,188,14,11
0,189,0,2
1,189,0,3
2,189,0,7
3,189,1,3
4,189,1,4
5,189,2,0
6,189,3,0
7,189,3,1
8,189,4,1
9,189,4,8
10,189,5,8
11,189,6,8
12,189,7,0
13,189,8,4
14,189,8,5
15,189,8,6
0,190,0,3
1,190,0,4
2,190,0,12
3,190,1,2
4,190,1,11
5,190,2,1
6,190,3,0
7,190,4,0
8,190,4,15
9,190,5,15
10,190,6,7
11,190,6,15
12,190,7,6
13,190,7,8
14,190,8,7
15,190,8,16
16,190,9,16
17,190,10,11
18,190,10,16
19,190,11,1
20,190,11,10
21,190,12,0
22,190,12,17
23,190,13,17
24,190,14,17
25,190,15,4
26,190,15,5
27,190,15,6
28,190,16,8
29,190,16,9
30,190,16,10
31,190,17,12
32,190,17,13
33,190,17,14
0,191,0,3
1,191,0,4
2,191,0,7
3,191,0,8
4,191,1,5
5,191,1,6
6,191,2,3
7,191,3,0
8,191,3,2
9,191,4,0
10,191,4,5
11,191,5,1
12,191,5,4
13,191,6,1
14,191,7,0
15,191,8,0
0,192,0,11
1,192,0,12
2,192,1,12
3,192,2,13
4,192,3,5
5,192,3,13
6,192,4,11
7,192,4,13
8,192,5,3
9,192,5,6
10,192,6,5
11,192,6,7
12,192,7,6
13,192,7,14
14,192,8,14
15,192,9,14
16,192,10,14
17,192,11,0
18,192,11,4
19,192,12,0
20,192,12,1
21,192,13,2
22,192,13,3
23,192,13,4
24,192,14,7
25,192,14,8
26,192,14,9
27,192,14,10
0,193,0,1
1,193,0,4
2,193,0,5
3,193,1,0
4,193,1,2
5,193,2,1
6,193,2,6
7,193,2,10
8,193,3,7
9,193,3,8
10,193,3,9
11,193,4,0
12,193,5,0
13,193,6,2
14,193,6,7
15,193,7,3
16,193,7,6
17,193,8,3
18,193,9,3
19,193,10,2
0,194,0,2
1,194,0,3
2,194,1,9
3,194,1,10
4,194,2,0
5,194,3,0
6,194,3,14
7,194,4,14
8,194,5,14
9,194,5,15
10,194,6,8
11,194,6,15
12,194,7,9
13,194,7,15
14,194,8,6
15,194,9,1
16,194,9,7
17,194,10,1
18,194,10,16
19,194,11,16
20,194,12,16
21,194,13,16
22,194,14,3
23,194,14,4
24,194,14,5
25,194,15,5
26,194,15,6
27,194,15,7
28,194,16,10
29,194,16,11
30,194,16,12
31,194,16,13
0,195,0,1
1,195,1,0
2,195,1,4
3,195,2,6
4,195,2,7
5,195,3,7
6,195,4,1
7,195,4,5
8,195,5,4
9,195,5,6
10,195,6,2
11,195,6,5
12,195,7,2
13,195,7,3
0,196,0,1
1,196,0,4
2,196,1,0
3,196,1,5
4,196,1,9
5,196,2,6
6,196,2,7
7,196,2,8
8,196,3,7
9,196,4,0
10,196,5,1
11,196,5,6
12,196,6,2
13,196,6,5
14,196,7,2
15,196,7,3
16,196,8,2
17,196,9,1
0,197,0,4
1,197,0,5
2,197,1,2
3,197,2,1
4,197,2,6
5,197,2,7
6,197,2,8
7,197,2,15
8,197,3,10
9,197,3,11
10,197,3,12
11,197,4,0
12,197,5,0
13,197,5,6
14,197,6,2
15,197,6,5
16,197,7,2
17,197,8,2
18,197,8,9
19,197,9,8
20,197,9,10
21,197,10,3
22,197,10,9
23,197,11,3
24,197,12,3
25,197,13,15
26,197,14,15
27,197,15,2
28,197,15,13
29,197,15,14
0,198,0,1
1,198,0,4
2,198,1,0
3,198,1,6
4,198,2,7
5,198,3,5
6,198,3,7
7,198,4,0
8,198,4,7
9,198,5,3
10,198,6,1
11,198,7,2
12,198,7,3
13,198,7,4
0,199,0,4
1,199,0,5
2,199,0,8
3,199,1,5
4,199,1,6
5,199,2,6
6,199,2,7
7,199,3,4
8,199,4,0
9,199,4,3
10,199,5,0
11,199,5,1
12,199,6,1
13,199,6,2
14,199,7,2
15,199,8,0
