personid,hyperedge
105,1647
106,1647
61,2840
135,2840
13,4743
14,4743
83,6064
85,6064
137,11275
138,11275
171,11286
172,11286
173,11286
174,11286
44,16924
45,16924
134,17520
135,17520
105,24085
106,24085
134,26127
135,26127
105,28196
106,28196
105,28681
106,28681
134,29427
135,29427
41,29689
42,29689
44,32818
45,32818
114,37304
118,37304
151,39291
152,39291
149,44937
150,44937
136,45832
138,45832
13,47429
14,47429
15,47429
16,47429
134,47589
135,47589
91,48608
92,48608
93,48608
94,48608
44,49116
45,49116
105,51284
106,51284
