personid,hyperedge
52,5859
53,5859
6,6344
7,6344
8,6344
9,6344
10,6344
142,9043
143,9043
144,9043
145,9043
153,10507
154,10507
155,10507
156,10507
6,11594
8,11594
80,13285
81,13285
6,14498
8,14498
10,14498
17,20109
18,20109
160,20438
161,20438
162,20438
163,20438
164,20438
41,21948
42,21948
43,21948
146,24732
147,24732
148,24732
105,27899
106,27899
70,30961
71,30961
13,32380
14,32380
155,33538
156,33538
17,37871
18,37871
86,38149
87,38149
180,39005
181,39005
142,39712
143,39712
155,40794
156,40794
35,42804
36,42804
17,44545
18,44545
80,44902
81,44902
8,45500
10,45500
127,46333
128,46333
129,46333
100,46377
101,46377
102,46377
103,46377
181,46709
182,46709
100,47545
101,47545
102,47545
77,51825
78,51825
