personid,hyperedge
2732,4
13887,4
15342,4
19856,4
1593,38
62528,38
62529,38
12178,43
20404,43
49199,43
2272,45
2378,45
3369,45
20762,45
3840,46
5462,46
5464,46
10428,46
15396,48
23740,48
23741,48
36869,57
36870,57
36267,58
48891,58
24595,60
24596,60
24597,60
13222,62
41908,62
9778,67
15210,67
15785,67
15786,67
15121,77
15123,77
60755,77
60756,77
177,88
32838,88
42367,88
7921,91
28324,91
12831,93
39968,93
69816,93
69817,93
166,102
9496,102
22027,102
25544,102
25545,102
25546,102
1004,104
2243,104
2244,104
13858,105
55187,105
55188,105
68821,113
68822,113
68823,113
68824,113
12642,133
12646,133
15308,133
518,136
14574,136
16045,136
16748,136
22134,138
22139,138
27137,138
33137,138
11812,139
15290,139
15291,139
15292,139
15293,139
45471,140
45472,140
45473,140
45474,140
3397,143
3858,143
9919,143
15154,143
23202,143
56263,143
69161,143
23173,144
30975,144
61575,144
61576,144
61577,144
61578,144
1153,145
1156,145
1157,145
3953,145
5462,145
49203,145
1193,153
13005,153
177,154
24318,154
24321,154
37802,154
14898,155
14991,155
16592,155
16496,162
16497,162
666,164
1349,164
12213,164
2448,179
48242,179
7958,184
65137,184
68723,184
68724,184
13013,187
48929,187
53185,187
13429,193
27530,193
41920,193
44817,193
44818,193
75477,197
75478,197
75479,197
62516,200
62517,200
62518,200
62519,200
62520,200
37250,204
37251,204
13393,208
17017,208
22099,208
2850,209
15742,209
72509,209
46441,211
46442,211
46443,211
35494,224
35495,224
35496,224
35497,224
25892,225
31501,225
55986,225
55989,225
61043,225
61044,225
10239,229
12869,229
24794,229
74671,229
75040,229
16367,230
20711,230
20712,230
20713,230
20714,230
20715,230
19497,238
38204,238
49225,238
15602,245
55131,245
55132,245
175,253
2251,253
17462,253
19834,253
19835,253
19836,253
19498,254
35442,254
48638,254
10428,266
15382,266
13426,268
13427,268
13428,268
13429,268
43476,268
1065,270
2209,270
13429,270
16690,270
32946,270
575,279
54333,279
54334,279
54335,279
19213,280
43782,280
36141,282
36142,282
36143,282
1291,284
51529,284
61056,290
61057,290
61058,290
21468,293
24320,293
44930,293
53773,293
53774,293
5938,294
35600,294
53222,294
11226,306
50229,306
62668,307
62669,307
62670,307
62671,307
37811,309
37812,309
2964,316
6702,316
14063,316
22445,316
38547,316
44941,316
47015,316
47016,316
47017,316
177,318
22647,318
24505,318
69727,318
69728,318
1020,332
25490,332
35689,332
35690,332
35691,332
36522,333
36523,333
36524,333
36525,333
36526,333
36527,333
9945,338
15217,338
16851,338
23110,338
15039,340
15174,340
15175,340
500,344
37418,344
24233,345
37204,345
37205,345
25257,356
44185,356
5333,367
13723,367
15631,367
1890,379
42524,379
42525,379
42526,379
48831,379
11812,392
14934,392
15291,392
15342,392
15475,392
13641,407
15868,407
15869,407
15870,407
15871,407
15872,407
1916,411
2824,411
29994,411
13648,418
37809,418
1647,419
23170,419
23172,419
27713,419
46181,420
48187,420
54619,420
3835,427
62019,427
62020,427
62021,427
