personid,hyperedge
18731,2
18733,2
80535,2
80536,2
80537,2
80538,2
80539,2
7444,8
7445,8
7446,8
80187,10
80188,10
5258,11
5259,11
5260,11
5261,11
5262,11
5263,11
2364,34
2366,34
7368,34
14972,34
14596,36
20768,36
29116,36
42973,36
8282,49
8283,49
2209,55
18606,55
21710,55
56229,55
7515,65
7516,65
7517,65
13099,71
16706,71
15438,82
66266,82
67034,82
67037,82
69706,82
4370,83
18861,83
33364,83
11288,97
11289,97
36738,97
5991,114
27903,114
35378,114
3609,135
50194,135
55274,135
12990,151
25356,151
25357,151
48976,152
48977,152
48978,152
48979,152
48980,152
2764,163
2765,163
2766,163
2087,178
2089,178
24141,178
37122,178
37123,178
37124,178
37125,178
2267,190
16276,190
18920,190
22098,190
1595,220
2378,220
10808,220
12492,220
16840,220
47773,220
1798,226
25571,226
52789,226
52790,226
29413,271
29414,271
39679,271
3941,278
3942,278
3943,278
3944,278
3546,285
3741,285
38114,285
43483,285
50009,285
3398,295
4049,295
6501,295
9401,295
45755,295
10951,326
16284,326
18492,326
20577,326
1382,327
13013,327
64043,327
69232,327
69233,327
6514,348
6515,348
47035,350
47036,350
47037,350
11759,362
15477,362
17218,362
66018,362
66019,362
14862,370
37146,370
37148,370
71280,370
71281,370
2208,389
2209,389
2251,389
22760,389
22761,389
845,405
16658,405
16659,405
1193,406
48929,406
48930,406
48931,406
2755,408
2756,408
13696,429
14323,429
14324,429
22449,436
26038,436
9588,438
25247,438
14540,439
71177,439
12822,464
50030,464
8055,471
8056,471
8057,471
655,477
2934,477
15342,491
22382,491
22383,491
7957,493
60951,493
70425,493
70426,493
7393,495
7394,495
7395,495
7396,495
44753,498
44754,498
44755,498
44756,498
6261,503
6262,503
6263,503
6264,503
6265,503
6266,503
35396,521
35397,521
35398,521
35399,521
47,533
72132,533
72133,533
23642,535
27515,535
29192,535
3254,536
35995,536
72029,536
72030,536
11372,542
41566,542
3546,544
14543,544
56397,544
1010,550
1172,550
3079,550
48703,583
48704,583
48705,583
48706,583
48707,583
1417,598
16228,598
10212,637
10213,637
4678,639
9205,639
45860,639
49196,656
49197,656
49198,656
2842,658
36076,658
38129,658
43216,660
43217,660
43218,660
43219,660
43220,660
43221,660
29628,666
80196,666
80197,666
1338,701
12175,701
12319,701
12341,708
15170,708
1382,723
13013,723
15120,723
33768,723
2177,733
7268,733
1039,734
56796,734
61842,734
69214,734
69215,734
69216,734
69217,734
69218,734
26012,746
63242,746
63243,746
14692,748
40055,748
54731,748
12022,756
26265,756
56860,756
56861,756
56862,756
56863,756
56864,756
56865,756
15281,776
22080,776
57372,776
2353,780
2354,780
1874,783
50091,783
12343,803
13631,803
68906,803
13081,806
13082,806
17152,806
56108,806
56109,806
2505,817
12175,817
12176,817
12177,817
12178,817
1889,828
72126,828
7114,836
26749,836
13428,858
13429,858
22814,858
3609,862
14054,862
14055,862
14056,862
14057,862
14058,862
