personid,hyperedge
5817,7
5818,7
5819,7
5820,7
5821,7
5822,7
35985,15
45871,15
45872,15
82,17
6777,17
7031,17
20734,17
424,18
3515,18
3516,18
2709,20
10325,20
14005,20
568,22
4520,22
11062,22
43940,22
5891,23
5892,23
2599,25
2854,25
2855,25
5608,44
5609,44
2011,56
17605,56
54043,56
67213,56
2396,64
2397,64
2398,64
2399,64
11311,70
36376,70
57501,70
57502,70
62288,100
76610,100
76611,100
1487,108
7817,108
92,118
8273,118
2830,124
11374,124
23076,158
23077,158
23078,158
27116,158
30316,158
1830,161
1831,161
12534,173
12535,173
12536,173
12537,173
11676,177
59611,177
59612,177
13726,194
13977,194
60685,194
55954,218
75377,218
75378,218
16748,221
16851,221
22908,221
37041,221
37218,221
43158,222
75750,222
75751,222
13773,247
15531,247
15532,247
41647,247
47160,247
57752,247
57796,247
61907,247
63860,247
65112,247
71492,247
71493,247
71494,247
71495,247
71496,247
71497,247
71498,247
71499,247
71500,247
71501,247
71502,247
71503,247
8295,275
8296,275
12506,275
5588,288
44502,288
44503,288
2417,297
6194,297
20934,321
41655,321
44502,325
44503,325
7030,339
11980,339
78537,339
14285,347
14286,347
15992,353
15993,353
3995,359
9421,359
9422,359
3118,393
15096,393
6576,396
13705,396
13706,396
13707,396
1565,413
11259,413
7710,417
7711,417
7712,417
7713,417
31803,461
68940,461
68941,461
532,463
1058,463
4301,463
47630,479
68172,479
14673,552
14674,552
36589,552
37202,567
45905,567
45906,567
45907,567
45908,567
13214,573
44114,573
278,575
4210,575
25081,575
15641,588
73114,588
73115,588
16909,596
67316,596
73571,596
581,623
940,623
4608,623
1315,633
13199,633
54006,633
64575,634
72850,634
72851,634
72852,634
72853,634
58036,635
58037,635
2027,664
2028,664
2029,664
52062,664
35448,678
57123,678
61106,678
61107,678
61108,678
61109,678
15469,679
15915,679
65946,679
6074,682
12327,682
19435,682
13635,684
35395,684
966,691
13732,691
52663,691
4000,697
4001,697
4002,697
105,709
50016,709
50895,709
13511,712
13512,712
1732,713
58390,713
58391,713
58392,713
58393,713
58394,713
5468,721
5469,721
1480,728
2378,728
14503,728
16108,728
16837,728
19530,728
41647,728
1076,761
1918,761
6543,761
23205,761
40008,761
40009,761
2176,762
4067,762
433,826
434,826
57993,826
57994,826
13920,832
20569,832
56793,832
68803,832
75789,832
75790,832
75791,832
75792,832
6974,846
7302,846
518,848
32680,848
75798,854
75799,854
75800,854
20985,860
23642,860
27513,860
27515,860
46706,860
48880,860
79805,860
16284,875
19899,875
3301,877
5161,877
12419,877
7713,882
13123,882
13405,882
62157,882
4089,883
4090,883
13249,884
42385,884
3920,890
10606,890
1946,893
1947,893
41748,893
42059,893
9270,904
61445,904
63027,904
64640,915
64641,915
64642,915
64643,915
2845,924
4483,924
6974,924
79804,924
6427,930
6428,930
43971,931
68628,931
2164,936
13882,936
25086,936
13897,944
13898,944
13899,944
2890,946
3315,946
68348,957
68349,957
68350,957
75017,957
13885,972
73901,972
1866,978
2018,978
2566,978
13485,978
13486,978
39760,985
73165,985
73166,985
73167,985
3567,997
3614,997
14754,997
14755,997
14756,997
39838,997
6298,998
12243,998
36294,998
44128,998
55050,998
39769,999
71108,999
71109,999
10912,1001
10913,1001
28687,1049
28688,1049
42992,1087
56560,1087
56561,1087
3844,1105
8293,1105
10798,1105
63662,1105
72825,1154
72826,1154
72827,1154
72828,1154
75889,1167
75890,1167
1257,1171
11367,1171
13465,1171
22924,1171
4399,1172
17024,1172
63990,1172
1946,1179
1947,1179
1948,1179
9404,1193
9405,1193
6298,1194
44128,1194
70432,1194
74528,1194
75638,1194
22762,1207
22763,1207
38070,1250
75914,1250
3527,1253
27228,1253
27229,1253
27230,1253
94,1262
2855,1262
