personid,hyperedge
9335,9
48327,9
48328,9
17230,14
17231,14
17710,14
62705,14
26976,29
26977,29
35765,29
62571,29
62572,29
4790,35
11106,35
11107,35
11108,35
45194,52
69580,52
69581,52
69582,52
4445,54
4446,54
4007,63
29956,63
33951,68
62460,68
2075,86
5572,86
29553,86
18137,94
32451,94
32452,94
18173,96
28409,96
28411,96
28759,96
56642,96
56643,96
56644,96
56645,96
56646,96
22134,106
22137,106
22138,106
22139,106
25897,106
25898,106
5081,107
5622,107
5873,107
9536,107
17138,107
2270,109
3091,109
5424,109
15988,109
38453,109
58111,109
58112,109
20221,110
20222,110
21776,117
21777,117
18255,129
18256,129
20458,169
20459,169
20460,169
20461,169
6493,175
8464,175
19741,175
30363,175
30364,175
32719,176
42224,176
211,185
10818,185
15936,185
42601,185
42602,185
42603,185
9079,191
21497,191
21498,191
2095,196
6620,196
8764,206
16007,206
5713,215
6043,215
9951,249
37431,249
180,260
181,260
5622,260
5872,260
181,263
1985,263
2272,263
31108,263
31109,263
31110,263
19400,264
19401,264
10035,283
48897,283
181,300
21522,300
25897,300
26552,300
77123,300
77124,300
77467,300
77727,300
105,303
11380,303
59892,303
27244,313
67450,313
67451,313
67452,313
2393,319
31493,319
31494,319
491,323
62732,323
77223,323
77224,323
46571,324
46572,324
46573,324
4219,331
11893,331
3445,336
8738,336
8739,336
8741,336
12771,341
12772,341
61697,341
12325,346
19368,346
19369,346
19370,346
19371,346
19372,346
19373,346
19374,346
181,365
66679,365
66681,365
77264,365
2609,375
69310,375
69311,375
3891,376
8476,376
8477,376
7929,378
7930,378
7931,378
273,382
2172,382
21963,382
24920,382
9887,387
36416,387
5918,410
5920,410
24709,410
37889,410
37890,410
21171,426
21172,426
21173,426
21174,426
21175,426
21176,426
1077,478
3445,478
3446,478
3447,478
8704,492
29538,492
3616,508
3617,508
3618,508
3445,512
20973,512
28009,512
28010,512
466,530
13023,530
34398,530
3445,532
58470,532
66799,532
66800,532
61737,546
61738,546
61739,546
61740,546
61741,546
36212,548
42048,548
42049,548
5447,559
5862,559
9226,559
11019,559
11020,559
3449,560
3451,560
3541,560
50912,560
76913,560
1504,561
1506,561
79697,561
921,564
27229,564
32753,564
32754,564
32755,564
32756,564
32757,564
32758,564
32759,564
32760,564
32761,564
32762,564
32763,564
32764,564
32765,564
32766,564
763,568
1595,568
12327,568
50089,568
5554,571
32250,571
32369,571
32370,571
32371,571
38135,571
3407,580
3408,580
3409,580
3410,580
3411,580
20743,586
20744,586
19766,595
26949,595
26950,595
46498,595
11481,599
13752,599
