personid,hyperedge
36025,0
36026,0
36027,0
36028,0
969,6
21139,6
59641,6
2942,28
62588,28
70444,40
70445,40
78566,47
78567,47
21142,61
56713,61
10746,78
69471,78
71327,78
35472,80
41841,80
41842,80
2688,92
14144,92
4312,99
25086,99
25087,99
55757,99
452,115
453,115
35218,119
35219,119
47265,120
47266,120
1998,121
41747,121
1988,123
2502,123
2272,126
3133,126
37782,126
47967,127
47968,127
6298,130
9350,130
15735,130
15736,130
42270,130
5148,131
6501,131
38005,131
38212,131
2377,141
14898,141
39936,141
1310,166
3855,166
11677,166
6577,170
18256,170
2435,189
6816,189
38917,189
76717,189
8713,195
13746,195
38969,212
38970,212
38971,212
3699,214
3700,214
3701,214
3702,214
3703,214
3704,214
3705,214
41764,232
55584,232
3215,234
3217,234
3218,234
3220,234
67623,234
67624,234
67625,234
4471,235
4472,235
5386,236
47824,236
49223,236
4399,241
17024,241
20479,241
20480,241
70608,241
70609,241
70610,241
70139,242
70406,242
70407,242
62661,243
62662,243
62664,243
71107,243
48816,246
78383,246
78384,246
78385,246
78386,246
217,250
15784,250
2448,251
21095,251
41203,251
5167,261
45972,261
2272,269
42538,269
487,273
48938,273
33228,289
36471,289
63984,289
44915,291
44916,291
54320,291
7871,305
21970,305
45513,305
105,311
3618,311
4210,311
41998,311
52826,320
64214,320
21897,328
54135,328
36410,329
45662,329
2277,337
58162,337
67187,337
70321,337
5386,351
20975,351
42161,351
44724,351
44725,351
4301,360
37252,360
3366,364
7952,364
40919,364
961,380
3536,380
58609,380
78325,380
41823,384
41824,384
217,388
586,388
135,399
2276,399
8249,399
1134,403
14204,403
60333,403
21897,412
39022,412
45230,412
46600,412
46601,412
11782,415
36097,415
36098,415
36099,415
138,416
13520,416
36176,416
55413,416
11616,421
13885,421
39777,421
37090,424
38284,424
13452,432
47864,432
78203,432
15528,434
15529,434
45870,434
13406,443
14465,443
30505,443
37878,443
2271,446
2435,446
38094,446
38095,446
3844,457
45108,457
6400,459
14317,459
14804,459
3366,462
4853,462
38822,462
1892,465
6537,465
36638,465
36639,465
201,474
51093,474
54237,474
54238,474
8083,475
40381,475
60889,475
9844,476
35138,476
43844,476
1080,481
9742,481
9744,481
54503,481
54504,481
54506,481
66119,481
