personid,hyperedge
1985,1
3478,1
5995,1
36947,1
1240,13
66675,13
74835,13
74836,13
2924,31
3519,31
27703,31
2270,41
3982,41
7531,41
17915,41
75753,42
75754,42
75755,42
75756,42
24121,50
24122,50
24123,50
4922,69
30904,69
7012,75
28209,75
36167,75
60909,75
60910,75
66937,75
74684,75
35854,84
50479,84
60801,84
60802,84
3356,89
23449,89
23450,89
23451,89
23452,89
1453,111
33214,111
6550,112
60324,112
3538,128
6287,128
14239,128
29774,128
29775,128
29776,128
29777,128
29778,128
3810,150
4478,150
4014,167
56366,167
56367,167
56368,167
56369,167
2327,188
66915,188
40410,201
66746,201
3593,210
4124,210
36945,210
7045,219
21973,219
24481,219
26411,219
26412,219
2565,231
3085,231
18118,231
19284,231
21473,231
12334,233
25197,233
19823,257
19824,257
19825,257
16979,265
16980,265
16982,265
23047,274
23048,274
23049,274
2449,276
8615,276
32971,286
32972,286
48867,315
48868,315
48869,315
48870,315
48871,315
18755,322
40355,322
40356,322
223,330
256,330
257,330
258,330
259,330
260,330
5344,342
35853,342
35854,342
20287,361
20288,361
30072,374
30073,374
30074,374
30075,374
8641,381
25794,381
25795,381
25796,381
1985,397
7969,397
7970,397
19611,397
4071,409
13793,409
18967,409
24975,409
32589,409
5734,428
6040,428
44596,428
61075,428
61076,428
349,442
1384,442
42193,442
3631,449
33956,449
33957,449
110,454
1721,454
6761,454
6762,454
30400,454
6769,482
66166,482
66167,482
1993,504
6733,504
31060,518
60753,518
60754,518
41551,526
41552,526
41553,526
41554,526
41555,526
4246,555
41098,555
1862,556
18291,556
19556,556
7045,579
18717,579
44346,579
27416,600
27417,600
6805,610
8331,610
1116,612
5368,612
11424,612
11425,612
11426,612
18491,612
3572,615
20390,615
57119,615
2744,618
62141,618
66575,618
67371,618
12449,653
16191,653
65518,653
2969,677
41938,677
1768,688
1769,688
3449,751
3654,751
223,763
4709,763
8660,765
62958,765
62959,765
62960,765
5792,784
6731,784
7662,784
26170,784
26171,784
26172,784
2406,786
4154,786
20421,786
20422,786
20423,786
21695,786
256,796
3041,796
8830,796
241,807
2061,807
6746,807
7045,807
8660,807
9617,807
21973,807
57256,807
73922,807
73923,807
8770,813
29466,813
66225,813
66226,813
3982,821
7531,821
7532,821
17394,821
60734,821
4458,822
6490,822
7012,822
19828,822
42952,822
75164,822
5868,834
18792,834
40831,834
33165,837
33166,837
33167,837
367,843
5014,843
2752,845
2753,845
2754,845
348,847
7378,847
8421,847
18364,847
9301,863
13102,863
27627,863
29139,863
799,865
2232,865
17441,885
17442,885
267,908
22089,908
22090,908
22091,908
5735,913
7258,913
38873,913
6731,923
28622,923
28623,923
1169,925
8865,925
8866,925
17362,925
31976,953
31977,953
7200,956
20036,956
39326,956
3631,960
10872,960
10873,960
28959,960
75,970
241,970
1139,970
1563,970
13824,970
8770,979
65865,979
74626,979
145,981
3991,981
18983,981
1993,982
8284,982
25317,982
183,983
3091,983
27440,983
240,987
715,987
4532,987
7258,1002
7970,1002
17781,1002
18118,1002
45226,1006
57182,1006
62757,1006
241,1035
5572,1035
8660,1035
8936,1035
17281,1035
66994,1035
7787,1040
61078,1040
4545,1043
34411,1043
40270,1043
6883,1045
26159,1045
4986,1053
10482,1053
20784,1053
20785,1053
20786,1053
20787,1053
3980,1086
6019,1086
9519,1086
9969,1086
15988,1086
20203,1086
29738,1086
260,1094
3580,1094
6805,1094
26186,1094
1008,1095
1131,1095
7378,1095
