personid,hyperedge
18310,19
18311,19
1302,32
2255,32
32832,32
32833,32
8209,53
12166,53
32011,53
1299,90
1751,90
976,103
977,103
2056,125
14467,125
1029,142
12134,142
20174,207
23804,207
1092,228
9852,228
9853,228
9854,228
1673,239
20668,239
21563,239
23615,239
17469,240
28102,240
1945,256
32881,256
2228,262
7219,262
7331,262
13466,262
15959,262
27655,262
7377,272
20685,272
39585,272
39586,272
6053,296
6054,296
6055,296
19658,301
19659,301
706,304
1513,304
2066,308
22520,308
34912,308
2715,312
24869,312
18303,372
29767,372
20919,377
70878,377
70879,377
940,385
18501,385
1519,391
2572,391
8122,391
1610,480
25844,480
30503,480
10579,621
17639,621
1941,622
1942,622
20411,622
25844,622
2484,624
18448,624
18971,624
33430,624
20924,705
45709,705
54405,705
287,726
1288,726
1289,726
2720,726
33365,740
38915,740
38916,740
9191,743
18463,743
20755,754
23724,754
23725,754
1977,758
8591,758
10261,758
16615,758
17975,758
24345,758
23715,760
23716,760
8209,766
19934,766
260,800
1302,800
2255,800
10785,800
18519,800
18463,804
20831,804
21508,804
10142,808
16615,808
8434,829
10587,829
2253,835
21178,835
22401,835
2169,879
2170,879
31612,879
30825,902
30826,902
30827,902
17940,939
24524,939
56652,939
63951,939
90,952
658,952
10671,959
18639,959
18540,975
23820,975
7715,1010
16684,1010
1402,1047
1673,1047
90,1062
8781,1062
28657,1062
35699,1062
27500,1088
28175,1088
57219,1088
57220,1088
2056,1098
20019,1098
12285,1136
31674,1136
6146,1182
17741,1182
18361,1182
31809,1182
30171,1209
46124,1209
46125,1209
1609,1230
1610,1230
11250,1230
854,1238
855,1238
17780,1238
19356,1238
940,1258
27493,1258
30970,1258
854,1284
25074,1284
26117,1284
2056,1353
20183,1353
20184,1353
20185,1353
198,1359
2499,1359
31588,1359
31589,1359
2889,1377
4306,1377
4307,1377
10476,1377
10863,1377
33376,1381
33377,1381
21750,1397
23223,1397
625,1401
5672,1401
21355,1401
43196,1401
11984,1404
28289,1404
28559,1404
2018,1453
4025,1453
28000,1453
656,1454
854,1454
1513,1454
5207,1454
11258,1480
64170,1480
18,1485
1092,1485
42023,1549
43739,1549
43740,1549
19512,1555
49593,1555
4399,1611
22749,1611
62605,1611
5372,1654
26358,1654
8395,1678
9142,1678
79351,1678
3251,1686
22955,1686
18072,1722
24854,1722
9923,1723
13466,1723
28328,1723
28329,1723
10261,1770
19983,1770
9901,1771
31936,1771
23026,1786
27027,1786
27028,1786
19128,1800
19130,1800
50916,1800
19832,1820
27884,1820
108,1863
2234,1863
2235,1863
30093,1870
30094,1870
1331,1972
13392,1972
27817,1972
3251,1979
4132,1979
9713,1979
10938,1979
20685,1979
4997,1999
9141,1999
9142,1999
13898,2020
15129,2020
18923,2020
1788,2032
26433,2032
5596,2138
11588,2138
28475,2138
31667,2138
31668,2138
20189,2148
30957,2148
579,2240
5201,2240
14412,2257
15020,2257
24493,2257
34845,2257
2227,2269
5201,2269
9571,2269
21814,2269
855,2285
1848,2285
9269,2311
17727,2311
19653,2311
28527,2311
28670,2311
29122,2318
29123,2318
10578,2347
10579,2347
20918,2366
20919,2366
76918,2366
2056,2367
12285,2367
1199,2379
1548,2379
21112,2379
23852,2416
24446,2416
56262,2416
66171,2416
14412,2422
18155,2422
27811,2422
1903,2434
25757,2434
1201,2508
17754,2508
12164,2512
12165,2512
854,2547
1756,2547
2066,2547
20989,2547
18793,2569
18794,2569
18795,2569
31907,2578
31908,2578
3253,2579
8717,2579
17677,2579
2214,2584
35937,2584
48643,2584
19538,2588
24701,2588
578,2635
1751,2635
28446,2635
32381,2635
112,2639
1789,2639
2018,2639
12561,2639
12562,2639
18448,2662
18971,2662
18972,2662
107,2707
2235,2707
2625,2752
19005,2752
19006,2752
1848,2754
30442,2754
69315,2754
1160,2756
12541,2756
12542,2756
30363,2756
30832,2756
1848,2772
27404,2772
663,2808
1311,2808
1312,2808
1789,2850
1976,2850
30927,2850
544,2859
18886,2859
2116,2909
2889,2909
5596,2909
942,2911
2771,2911
17565,2911
17566,2911
854,2936
17595,2936
56777,2936
60556,2936
90,2979
1513,2979
2374,3000
8084,3000
90,3096
1615,3096
1755,3096
1756,3096
4484,3110
4485,3110
12338,3168
18876,3168
13201,3172
30341,3172
21236,3189
21237,3189
913,3242
25842,3242
25844,3242
1797,3250
27896,3250
578,3322
19130,3322
33577,3322
18060,3380
21301,3380
7775,3432
26557,3432
977,3495
41078,3495
41079,3495
1638,3514
1991,3514
22028,3514
1614,3531
37529,3531
37530,3531
37531,3531
37532,3531
29,3536
5854,3536
18498,3536
10579,3540
19959,3540
8210,3566
25078,3566
5207,3591
18680,3591
20480,3591
9280,3610
19572,3610
6493,3626
12285,3626
2127,3654
19403,3654
21049,3672
22146,3672
22147,3672
8464,3736
30832,3736
2887,3761
28591,3761
8716,3792
20411,3792
9120,3823
9121,3823
48463,3823
1201,3851
1755,3851
20188,3851
18390,3857
24667,3857
579,3874
1513,3874
1796,3874
2700,3874
25934,3874
543,3878
18398,3878
18971,3909
56810,3909
1547,3943
2699,3943
21471,3945
28347,3945
28348,3945
12079,3947
12080,3947
20553,4026
20554,4026
25644,4026
38821,4026
24439,4042
24440,4042
12158,4046
15062,4046
