personid,hyperedge
45910,5
45911,5
45912,5
45913,5
3580,16
16773,16
13114,21
43190,21
43191,21
1,24
2,24
183,27
1868,27
2423,27
32269,27
902,30
10083,30
7258,33
31237,33
31238,33
7633,37
7634,37
7635,37
3122,39
3123,39
3124,39
1138,66
7787,66
7831,66
50552,66
679,72
5615,72
5616,72
7901,81
7969,81
20023,81
834,85
2839,85
20581,85
23788,85
5056,132
5057,132
5058,132
4599,147
17401,147
22698,147
29495,147
3980,149
80556,149
80557,149
3085,156
19118,156
70421,156
70422,156
70423,156
70424,156
25174,157
25175,157
25176,157
25177,157
3376,159
24274,159
24275,159
64444,159
64445,159
7163,160
37640,160
37641,160
3300,182
8043,182
18159,182
20035,182
20036,182
20037,182
55756,182
49251,183
49252,183
49253,183
3580,198
6226,198
18561,198
25979,198
28544,198
49397,198
49398,198
1453,199
22474,199
63587,199
110,203
6560,203
12034,205
16267,205
31249,205
31250,205
2093,255
2094,255
2095,255
17628,258
57060,258
58922,258
66948,258
72051,258
72052,258
7227,259
14869,259
75,287
8757,287
8758,287
8759,287
8760,287
8761,287
8762,287
10134,292
11098,292
27186,292
1515,317
3654,317
10961,317
17439,317
17440,317
35992,317
258,334
4600,334
260,335
467,335
6994,335
18364,335
23792,335
6760,343
12449,343
26047,343
58628,343
58629,343
4071,352
58773,352
63519,352
63520,352
1276,354
2442,354
2443,354
2444,354
5530,355
5745,355
5746,355
28558,355
1823,357
7842,357
7845,357
7846,357
47007,357
47008,357
47009,357
47010,357
47011,357
4547,363
10226,363
42967,363
1453,369
1622,369
1623,369
23989,369
24798,369
2420,373
2421,373
36480,373
66876,373
74181,373
74182,373
11555,386
21346,386
5942,394
6008,394
27192,394
27193,394
27194,394
27195,394
27196,394
27197,394
247,414
931,414
1211,414
21177,414
24352,414
24353,414
556,430
1721,430
5445,430
6910,430
11797,430
12291,430
1993,441
5440,441
5667,441
5668,441
5669,441
5670,441
3980,452
5318,452
24897,452
31507,452
15777,460
15778,460
32728,470
55919,470
55920,470
55921,470
19659,472
23105,472
4702,473
4703,473
4704,473
1240,501
3540,501
5734,501
17518,501
20275,501
798,537
799,537
183,547
5305,547
44605,547
30437,554
30438,554
30439,554
2406,590
4599,590
22698,590
45676,590
45677,590
110,601
1281,601
3190,601
28053,601
3159,617
23057,617
23058,617
224,626
7786,626
7787,626
7045,640
22754,640
32512,640
32513,640
32514,640
4918,662
4919,662
4920,662
4921,662
4845,663
4846,663
1863,667
6226,667
7885,667
48487,667
4627,695
14454,695
14455,695
14456,695
4014,719
58624,719
348,720
556,720
1515,732
1516,732
22901,732
65762,732
77941,732
77942,732
77943,732
77944,732
77945,732
77946,732
77947,732
77948,732
77949,732
77950,732
1515,736
57346,736
57347,736
1460,785
2406,785
19472,785
19854,785
19855,785
2564,789
2565,789
1240,793
4012,793
8308,793
49141,793
3845,795
3848,795
28002,795
20800,812
27991,812
77867,812
77868,812
77869,812
77870,812
15586,842
20855,842
20859,842
32128,842
1279,853
19755,853
57921,853
259,869
6473,869
27610,869
27611,869
32832,873
52307,873
52308,873
52309,873
448,912
8789,912
180,1000
181,1000
182,1000
183,1000
184,1000
6460,1023
6461,1023
50,1032
51,1032
20786,1041
22500,1041
56826,1041
64504,1041
192,1046
60196,1046
4637,1048
6129,1048
7518,1048
29848,1048
