personid,hyperedge
33963,3
33964,3
60736,51
60737,51
74067,59
74068,59
5872,73
16011,73
16012,73
16013,73
16014,73
68002,74
68003,74
23504,76
23506,76
32865,76
32866,76
32867,76
2971,79
36425,79
15676,95
15677,95
33911,95
8301,98
52587,98
52588,98
52589,98
301,101
302,101
303,101
304,101
4324,122
13712,122
37358,134
37359,134
57574,137
57575,137
57576,137
57577,137
57578,137
48671,148
48672,148
48673,148
25428,165
25429,165
556,168
2767,168
41939,168
41940,168
41941,168
105,172
11380,172
27731,172
59266,172
3881,181
7598,181
18557,181
18558,181
22168,181
28904,181
32177,181
32178,181
32179,181
32180,181
32181,181
32182,181
32183,181
32184,181
6156,202
6157,202
1679,213
26883,213
504,217
20370,217
23932,217
23933,217
54100,217
80152,223
80153,223
732,227
31773,227
44968,227
55870,237
55871,237
55872,237
55873,237
34555,244
34556,244
34557,244
58586,248
58587,248
58588,248
23812,252
23813,252
23814,252
23815,252
80467,267
80468,267
19728,281
19729,281
17485,298
31273,298
545,299
64838,299
64839,299
64840,299
64841,299
64842,299
181,302
1468,302
20611,302
20612,302
353,310
967,310
3730,314
51282,314
51283,314
51284,314
51285,314
247,349
2291,349
19447,349
19448,349
19449,349
19450,349
502,358
503,358
14136,358
15016,358
57082,358
34031,366
34032,366
34033,366
2498,371
2500,371
2501,371
57598,371
13793,383
20312,383
29488,383
36403,383
2368,390
5524,390
6057,390
6900,390
8455,390
8456,390
20076,390
20077,390
20078,390
54500,395
54501,395
34696,398
34697,398
365,400
27282,400
29271,400
41394,400
6285,401
49836,401
75118,401
75119,401
75120,401
75121,401
17665,402
34172,402
79097,402
55082,404
79538,404
79539,404
79540,404
79541,404
79542,404
5308,422
16881,422
62997,422
66307,422
5757,423
33431,423
4381,437
57829,437
57830,437
57831,437
468,450
471,450
472,450
473,450
9301,451
79664,451
598,453
39652,453
48898,453
48899,453
48900,453
18019,456
28045,456
43941,456
54331,456
2969,466
19315,466
20996,466
18690,467
32433,467
7015,483
7018,483
66058,484
66059,484
66060,484
66061,484
12941,496
55150,496
1694,505
2061,505
57105,505
58880,505
79282,517
79283,517
17389,522
23541,522
49647,522
49648,522
56833,525
59787,525
66322,525
66418,525
38662,527
41194,527
7518,531
7520,531
27643,531
1076,549
7285,549
7286,549
17376,549
21794,549
3731,565
6505,565
13932,565
13933,565
13934,565
17977,587
17978,587
80503,592
80504,592
80505,592
10644,597
10645,597
10646,597
10647,597
3730,603
10089,603
11187,603
44341,603
7804,604
53252,604
53253,604
53254,604
53255,604
2677,607
7045,607
8442,607
4399,611
13466,611
28553,611
5173,616
5174,616
26232,616
50887,616
50888,616
59667,619
59668,619
59669,619
59670,619
41546,642
64325,642
67880,642
12588,644
12589,644
12590,644
27211,655
27212,655
27213,655
499,700
12438,700
12439,700
17024,706
17716,706
29429,706
79407,725
79408,725
79409,725
79410,725
7204,735
7205,735
62288,750
66421,750
66422,750
66423,750
66424,750
66425,750
44746,759
44747,759
8836,770
31635,770
50310,771
50311,771
50312,771
50313,771
363,773
365,773
29271,773
32242,773
4292,774
4293,774
22859,797
22860,797
5234,801
26891,801
54516,801
11261,805
13933,805
57368,805
7339,809
29463,809
1653,824
17657,824
3580,838
24355,838
25014,838
43170,849
43171,849
43172,849
6684,852
50800,852
50801,852
3581,855
21993,855
46630,855
33087,857
47731,857
73288,857
73289,857
73290,857
8,880
11686,880
31722,880
27603,889
27604,889
27605,889
27606,889
33691,895
33692,895
2498,909
2499,909
2500,909
2501,909
28642,928
28643,928
28644,928
2325,937
33866,937
42128,937
44819,937
25920,940
59309,940
59310,940
37464,943
37465,943
37466,943
37467,943
37468,943
37469,943
37470,943
15651,949
16207,949
56833,949
59512,949
59786,949
59787,949
59788,949
2239,976
58475,976
58476,976
58477,976
783,977
47505,977
7518,992
27643,992
37497,992
1625,996
20613,996
4952,1003
6479,1003
9331,1003
18038,1003
66586,1009
66587,1009
66588,1009
66589,1009
23013,1018
52698,1018
52699,1018
52700,1018
23534,1036
32463,1036
2509,1052
37085,1052
17537,1076
52581,1076
79644,1076
47152,1099
47153,1099
47154,1099
681,1116
682,1116
683,1116
2081,1135
26666,1135
26667,1135
26668,1135
23643,1148
23644,1148
23645,1148
23646,1148
23647,1148
19947,1162
19948,1162
19949,1162
19950,1162
19362,1168
19363,1168
19364,1168
19365,1168
19366,1168
19367,1168
1560,1212
1561,1212
1562,1212
11326,1213
18565,1213
23931,1213
862,1239
863,1239
58836,1239
58837,1239
27092,1246
31885,1246
36042,1246
54113,1246
54114,1246
5734,1259
22389,1259
22390,1259
7,1282
556,1282
5308,1282
11797,1282
25935,1282
48371,1282
59361,1283
59362,1283
15782,1335
33643,1335
47622,1335
66624,1335
66625,1335
7978,1345
11419,1345
12652,1345
13943,1345
22129,1345
57331,1347
57332,1347
57333,1347
57334,1347
3730,1349
3731,1349
7233,1349
13933,1349
42819,1349
2061,1387
7252,1387
49072,1387
57345,1387
2698,1395
3215,1395
3218,1395
64117,1395
11363,1398
21284,1398
21285,1398
5981,1408
12273,1408
12274,1408
62396,1408
66292,1408
66293,1408
3425,1415
4399,1415
34590,1415
12412,1429
13486,1429
60268,1429
7205,1430
7997,1430
7998,1430
7999,1430
8000,1430
18900,1445
47727,1445
47728,1445
47729,1445
47730,1445
47731,1445
47732,1445
17761,1450
58540,1450
45299,1474
45300,1474
45301,1474
45302,1474
820,1511
19556,1511
34136,1511
43033,1511
24392,1522
24393,1522
24394,1522
81,1535
2698,1535
15651,1535
614,1537
12291,1537
51026,1537
51027,1537
8474,1538
12405,1538
80633,1538
498,1542
499,1542
11326,1545
18565,1545
18566,1545
5389,1552
13981,1552
38839,1552
30048,1559
30049,1559
30050,1559
30051,1559
30052,1559
10164,1563
50939,1563
282,1569
17657,1569
55154,1569
55155,1569
55156,1569
31913,1572
32828,1572
32829,1572
304,1573
15377,1573
15378,1573
5394,1582
60491,1582
60608,1582
66096,1582
66097,1582
7045,1589
19526,1589
19527,1589
28316,1595
28317,1595
28318,1595
5948,1626
56780,1626
56781,1626
23722,1650
59515,1650
59516,1650
59517,1650
273,1685
5521,1685
5522,1685
5524,1685
11283,1699
66603,1699
66916,1699
66917,1699
66918,1699
499,1719
18918,1719
54043,1719
54044,1719
54045,1719
38424,1728
41589,1728
50956,1728
50957,1728
22489,1729
49060,1729
52731,1729
6991,1737
8073,1737
18933,1737
7978,1738
12650,1738
12652,1738
59225,1738
59226,1738
8857,1740
15918,1740
27917,1740
2386,1759
4105,1759
55631,1759
55632,1759
499,1766
636,1766
19316,1767
29395,1767
29396,1767
17417,1781
17418,1781
17419,1781
17420,1781
17421,1781
21633,1793
21634,1793
16855,1798
65650,1798
65651,1798
18171,1834
32805,1834
59565,1834
363,1844
365,1844
27281,1844
27282,1844
27283,1844
27284,1844
18220,1847
63274,1847
3445,1849
20973,1849
20974,1849
10278,1851
18684,1851
2077,1867
2535,1867
10733,1867
19668,1867
42530,1867
42531,1867
42532,1867
9109,1879
21281,1879
21282,1879
21283,1879
636,1883
13533,1883
18987,1883
19742,1884
19743,1884
19744,1884
19745,1884
58482,1891
64423,1891
64424,1891
20772,1898
21977,1898
39327,1898
32213,1917
32214,1917
32217,1917
32219,1917
32222,1917
80721,1917
80722,1917
80723,1917
80724,1917
80725,1917
80726,1917
80727,1917
26889,1939
48990,1939
624,1942
20936,1942
47223,1942
23293,1951
23294,1951
23295,1951
23296,1951
3883,1995
4634,1995
6471,1995
19233,1995
2080,2001
5900,2001
33304,2001
3430,2004
5591,2004
22427,2004
3602,2005
65642,2005
65643,2005
65644,2005
65645,2005
886,2009
887,2009
183,2036
6818,2036
6819,2036
25202,2045
25203,2045
25204,2045
23074,2053
23075,2053
23076,2053
23077,2053
23078,2053
4399,2064
5207,2064
7219,2064
33358,2064
23524,2065
44491,2065
53200,2065
6918,2072
35792,2072
35793,2072
35794,2072
35795,2072
13665,2091
17451,2091
20565,2091
10505,2092
23932,2092
3247,2096
47496,2096
808,2099
24135,2099
24137,2099
74436,2099
74437,2099
1643,2103
15496,2103
33358,2103
8855,2106
8856,2106
8857,2106
8858,2106
1785,2121
3265,2121
20365,2121
20366,2121
1375,2124
6316,2124
7046,2124
20467,2124
27506,2156
27507,2156
64390,2173
64391,2173
64392,2173
12652,2178
13943,2178
21342,2178
66274,2178
2698,2183
2717,2183
11445,2183
357,2189
358,2189
359,2189
20864,2189
20837,2190
27449,2190
27450,2190
612,2198
613,2198
614,2198
7045,2209
13788,2209
18443,2209
1634,2219
2305,2219
15462,2219
21157,2219
66064,2236
66065,2236
66066,2236
46101,2237
46102,2237
46103,2237
8263,2239
8264,2239
8265,2239
46454,2275
46455,2275
27127,2288
41161,2288
65672,2288
41938,2294
50998,2294
66969,2319
66970,2319
66971,2319
66972,2319
66973,2319
793,2326
794,2326
795,2326
796,2326
797,2326
57311,2327
57312,2327
57313,2327
57314,2327
57315,2327
57316,2327
7804,2358
39204,2358
4587,2369
7046,2369
13105,2369
9514,2383
9515,2383
56392,2383
56393,2383
36569,2388
47073,2388
52682,2388
52683,2388
52684,2388
49144,2395
52729,2395
25948,2404
35603,2404
35604,2404
35605,2404
29949,2408
56010,2408
56011,2408
56012,2408
38286,2414
57191,2414
38286,2425
39516,2425
39517,2425
6843,2446
6844,2446
6845,2446
47848,2446
52799,2446
5524,2453
6898,2453
6900,2453
6901,2453
21367,2460
22644,2460
59753,2460
59754,2460
2368,2473
14020,2473
17398,2473
28890,2473
40884,2473
40885,2473
15651,2480
66620,2480
66621,2480
12950,2489
55945,2489
59692,2489
59693,2489
59694,2489
59695,2489
31581,2492
54063,2492
56348,2492
65544,2492
65545,2492
65546,2492
30154,2497
30155,2497
30156,2497
21780,2499
46353,2499
46354,2499
46355,2499
80259,2518
80260,2518
80261,2518
7205,2533
7997,2533
8000,2533
21115,2533
3741,2550
10744,2550
15840,2550
19784,2550
26448,2550
12652,2551
40042,2551
40045,2551
58734,2551
58735,2551
2698,2575
27690,2575
46954,2575
2406,2580
6226,2580
19472,2580
21695,2580
21696,2580
31553,2580
43066,2580
6320,2599
10646,2599
39436,2599
499,2628
55164,2628
71613,2628
71614,2628
71615,2628
71616,2628
71617,2628
71618,2628
29237,2632
29239,2632
80720,2632
13743,2637
52724,2637
79851,2637
79852,2637
19873,2641
19874,2641
19875,2641
6837,2643
12697,2643
23292,2643
54066,2643
80111,2643
2372,2647
2374,2647
29475,2647
357,2649
358,2649
360,2649
36989,2649
65311,2649
649,2666
650,2666
79277,2666
5476,2672
18508,2672
22041,2672
27449,2676
65739,2676
65740,2676
65741,2676
65742,2676
65743,2676
65744,2676
3430,2697
22427,2697
22428,2697
22429,2697
22430,2697
22431,2697
12088,2700
40071,2700
49187,2716
49188,2716
41854,2717
58140,2717
58141,2717
214,2718
50480,2718
50481,2718
2535,2735
12952,2735
12953,2735
12954,2735
6129,2781
7518,2781
7519,2781
7520,2781
23472,2783
23473,2783
29874,2783
37496,2784
37497,2784
41336,2784
6910,2787
25920,2787
53256,2802
53257,2802
53258,2802
20771,2803
20772,2803
6835,2813
27601,2813
37117,2813
37118,2813
7545,2830
12711,2830
12712,2830
80300,2830
12557,2832
39836,2832
64463,2832
24201,2853
59705,2853
59224,2855
66426,2855
9872,2880
50784,2880
50785,2880
50786,2880
50787,2880
17085,2897
59743,2897
59744,2897
61540,2899
61541,2899
1694,2900
41533,2900
41534,2900
12652,2916
13943,2916
58735,2916
60623,2916
63914,2916
63915,2916
63916,2916
66834,2916
1499,2917
3222,2917
9436,2917
52009,2917
23897,2927
23898,2927
16879,2938
25095,2938
14417,2939
14418,2939
9536,2942
57060,2942
58922,2942
66946,2942
66947,2942
66948,2942
10278,2944
31994,2944
5914,2951
21726,2951
21727,2951
11802,2958
11803,2958
21919,2958
41984,2958
13343,2967
13344,2967
13345,2967
13346,2967
2078,2971
29641,2971
4665,2978
4666,2978
4667,2978
20505,2982
48816,2982
58750,2982
18689,2987
53146,2987
59992,2987
64324,2987
19870,2990
29660,2990
62143,2994
62144,2994
556,3005
5308,3005
5309,3005
17972,3005
59713,3005
59714,3005
22010,3006
