personid,hyperedge
46,772
47,772
48,772
49,772
175,1698
179,1698
46,6769
48,6769
49,6769
8,7628
12,7628
175,8072
179,8072
47,10586
49,10586
105,11560
106,11560
177,12177
179,12177
21,16773
135,16773
33,17696
34,17696
158,19355
159,19355
46,21884
47,21884
48,21884
49,21884
175,21993
179,21993
177,25864
179,25864
60,26042
185,26042
139,28962
140,28962
141,28962
46,28996
48,28996
31,31859
32,31859
105,34106
106,34106
19,36014
20,36014
31,37696
32,37696
47,39053
49,39053
105,40010
106,40010
31,40332
32,40332
46,41030
47,41030
46,41055
47,41055
49,41055
8,41533
12,41533
46,42277
48,42277
37,44425
38,44425
39,44425
40,44425
31,45952
32,45952
185,46607
187,46607
178,47106
179,47106
19,47530
20,47530
59,47548
60,47548
105,47603
106,47603
46,47660
48,47660
19,48112
20,48112
175,49594
177,49594
11,51393
12,51393
140,51504
141,51504
