personid,hyperedge
31,1380
32,1380
33,1380
93,3049
159,3049
158,4329
159,4329
159,8830
169,8830
19,9778
20,9778
30,12850
31,12850
32,12850
33,12850
165,14152
166,14152
167,14152
31,19323
32,19323
31,19330
32,19330
33,19330
175,25483
177,25483
120,27336
121,27336
122,27336
177,29244
179,29244
157,30910
158,30910
159,30910
31,37792
32,37792
31,39879
32,39879
33,39879
140,40724
141,40724
46,41131
47,41131
48,41131
49,41131
31,46208
32,46208
185,48513
186,48513
187,48513
177,48691
179,48691
31,49499
32,49499
175,51317
176,51317
177,51317
178,51317
179,51317
31,51880
32,51880
33,51880
