personid,hyperedge
180,260
181,260
181,1940
182,1940
183,1940
180,3524
181,3524
180,3651
181,3651
105,4030
106,4030
3,4070
4,4070
181,5099
182,5099
3,6191
4,6191
5,6191
180,8043
181,8043
116,9325
180,9325
181,9664
182,9664
181,11620
182,11620
80,13921
81,13921
181,14465
182,14465
116,16102
181,16102
180,16944
181,16944
182,16944
183,16944
114,17161
115,17161
116,17161
117,17161
118,17161
119,17161
181,19000
183,19000
181,19665
183,19665
105,22435
106,22435
64,22999
181,22999
79,23983
80,23983
81,23983
81,32751
116,32751
180,34068
181,34068
181,34316
183,34316
181,36423
182,36423
61,38046
66,38046
114,38810
116,38810
193,42959
194,42959
195,42959
105,45248
106,45248
61,46676
62,46676
63,46676
64,46676
65,46676
66,46676
116,47488
183,47488
82,49986
83,49986
84,49986
85,49986
80,50267
81,50267
181,50440
182,50440
116,51233
181,51233
183,51233
81,51652
183,51652
