id,tuple_nodes,tuple_feature
0,21;17;15;5;170,15.550662585967707
1,167;140,10.996112783460497
3,1;160;13;114,18.101342099485425
8,44;168;14;163,19.42178562475246
9,134;104;42;169,19.744652767809374
10,199;36;25;99;15;189;26;124,16.175997102184517
11,35;24;170;80;16;98;13;13;165,16.991008936842537
14,64;165;150;13;109;118,14.63673669925378
17,196;124;107;79,12.51516885468539
18,32;130;12;197;27,14.662391436630106
20,37;4;19;187;122;199,12.357399207425711
21,33;28;52;23;175;155;40,19.53103781890475
22,7;37;4;44;75;117;9;160;101,15.140330126580928
25,167;23;12;51;163;4;74;5,15.294624106396178
26,22;34;15;50;11;198;0,14.8704842622267
28,42;120;191;140;44;150;126,19.99425378716719
30,47;15;1;13;160,13.592567568379195
31,82;27;14;118;60;159;27;7,13.674463034460622
33,49;74;136;162;9;12;15;41,13.105694207686112
34,23;20;76;170;94;32;23;39;7;113;11;94;15;123,18.193827038561594
35,24;180;88;31;86;122,16.627538966087442
38,5;78;180;5,18.959782797612107
43,23;173,19.326837592485468
44,98;64;195;3;46;22;139;31;39,18.221439138321934
46,166;197;192;13,16.36583456000164
49,7;15;176;4;126,12.788653424087268
