id,source,target,edge_feature
1609,0,19028,2.331107801813501
1610,0,19036,4.495622054557546
1611,0,19045,4.283976624339213
1612,0,19066,2.5549693064841943
1613,0,19091,4.760475943016626
1614,0,19136,3.2434586874724243
1615,0,19144,3.1246171233132323
1616,0,19189,0.46495859023325814
1617,0,19199,0.6332892103205362
1618,0,19230,1.4212735102881817
1619,0,19242,4.149223141677396
1620,0,19256,3.199783095376789
1621,0,19268,4.975980627074372
1622,0,19278,4.444317770206122
1623,0,19299,1.5349523677330779
1624,0,19311,1.228812273279562
1625,0,19329,0.3951467944384318
1626,0,19337,2.862440853525512
1627,0,19392,0.6228519826095924
1628,0,19409,4.815126721338835
1629,0,19464,0.19144013057502518
1630,0,19469,4.781706771140698
1631,0,19487,0.3128244712899003
1632,0,19505,0.3749170996252893
1633,0,19509,2.17719950448473
1634,0,19613,4.8919401825427125
1635,0,19631,0.9559803103710418
1636,0,19638,3.4339101096072038
1637,0,19653,1.871637214798418
1638,0,19657,3.0018193237885478
1639,0,19680,1.9798980742106576
1640,0,19729,1.6937790965973787
1641,0,19780,1.2450564076912674
1642,0,19785,3.2985673466022725
1643,0,19925,3.6105370363374423
1644,0,19935,0.8781921243978813
1645,0,19953,4.293819591508592
1646,0,19982,4.939176971373364
1647,0,19996,4.841153762355907
2258,1,19044,2.067961689237743
2259,1,19079,3.58834114700688
2260,1,19088,2.6984987347431746
2261,1,19124,0.36566870766399584
2262,1,19160,2.376547735385504
2263,1,19192,1.851708734333453
2264,1,19213,3.66956331117628
2265,1,19237,4.868672359296659
2266,1,19347,1.711700225872332
2267,1,19370,4.920478906362838
2268,1,19376,4.650094681947318
2269,1,19410,4.38162843988855
2270,1,19527,4.934659671798592
2271,1,19549,2.2147649941531284
2272,1,19595,2.9272799513686825
2273,1,19756,1.5448515422312525
2274,1,19783,1.534179708492388
2275,1,19854,0.8316686283457791
2276,1,19856,2.34582913992607
2277,1,19942,1.0912232430926845
3079,2,19045,4.586979260035565
3080,2,19083,0.2854311232182638
3081,2,19160,0.37441826901159214
3082,2,19191,2.425139223567598
3083,2,19495,2.3022861322389936
3084,2,19508,3.545840539512526
3085,2,19625,3.337582807638041
3086,2,19662,1.1671620738532846
3087,2,19687,1.0941479193070487
3088,2,19735,4.916579694565149
3089,2,19748,1.1512564786607622
3090,2,19752,1.1571778108262194
3091,2,19759,0.7450597807440534
3092,2,19773,4.3824058811935185
3093,2,19804,3.537034809820161
3094,2,19828,4.557600033196351
3095,2,19927,1.4662649041331766
3846,3,19057,3.0396506776721104
3847,3,19065,2.865303015476223
3848,3,19071,3.263389957339837
3849,3,19197,3.582978261217311
3850,3,19204,4.822725490553584
3851,3,19238,4.215479652308588
3852,3,19255,4.906240198699347
3853,3,19284,3.9946744036267834
3854,3,19462,2.0399496535190345
3855,3,19517,1.584738632783122
3856,3,19615,2.8087050952724573
3857,3,19659,1.1346826782708157
3858,3,19679,2.9805484216516827
3859,3,19713,2.3394549996438947
3860,3,19731,2.947481131784795
3861,3,19757,1.5546691703322224
3862,3,19760,4.3123691545083895
4642,4,19029,0.43858161352236913
4643,4,19046,3.1559570887257222
4644,4,19112,0.6259724713346981
4645,4,19134,4.008260249137637
4646,4,19158,2.006538662087067
4647,4,19188,0.49119499742654393
4648,4,19337,1.5753159704177933
4649,4,19401,3.3843933502850607
4650,4,19462,3.4200391809165707
4651,4,19676,2.693758751050578
4652,4,19708,1.6478201532769143
4653,4,19739,4.1308768608572475
4654,4,19766,1.4569855700783296
4655,4,19770,2.4400785334455097
4656,4,19829,3.39328125338963
4657,4,19939,1.5190026864022759
4658,4,19946,0.9152716936307825
5240,5,19030,2.2698918763737197
5241,5,19052,4.056531338396611
5242,5,19063,0.5333189074675931
5243,5,19101,2.1253887954645823
5244,5,19147,1.3373793096876603
5245,5,19336,1.3208027870857386
5246,5,19373,4.313391600425247
5247,5,19422,0.28957163655888074
5248,5,19494,2.3405078765650744
5249,5,19497,0.39736163111306955
5250,5,19535,2.8204306882457204
5251,5,19551,4.479865271767517
5252,5,19687,0.24640051886279768
5253,5,19700,0.7613450770327579
5254,5,19722,1.8074911379459868
5255,5,19736,0.296795113092172
5256,5,19777,0.17420503012429256
5257,5,19794,0.33976975893453054
5258,5,19807,3.6475675767188513
5259,5,19818,1.817129690317687
5260,5,19878,2.794266293542612
5261,5,19955,0.14172724838133977
5966,6,19017,4.30673675180758
5967,6,19031,2.1894112778876194
5968,6,19051,2.8041152389449513
5969,6,19077,3.0759463265290448
5970,6,19095,4.2391866944494385
5971,6,19275,0.4219475754343116
5972,6,19333,1.9092458756165072
5973,6,19444,1.512789467478342
5974,6,19557,0.7262196282571354
5975,6,19617,4.368069943297069
5976,6,19636,2.640054234518123
5977,6,19638,3.8321246975610097
5978,6,19721,4.193802138999187
5979,6,19740,1.5575921055387383
5980,6,19821,0.27392418248722017
5981,6,19829,0.4067339823813415
5982,6,19850,4.148119227111803
5983,6,19883,2.962060713222672
5984,6,19913,0.5183449766050402
5985,6,19918,2.7066372679320327
6618,7,19023,4.546824213203243
6619,7,19105,4.8330552742470125
6620,7,19225,3.3380843887634764
6621,7,19382,4.41376989434462
6622,7,19470,2.881072719591808
6623,7,19509,4.619284479093403
6624,7,19541,3.9930875050112524
6625,7,19581,4.406989787007726
6626,7,19607,0.40754711118399845
6627,7,19613,4.916931088784056
6628,7,19732,3.671920256314001
6629,7,19779,3.9780447730358537
6630,7,19785,4.423493974806761
6631,7,19838,1.5237652271246904
6632,7,19851,4.642436596914585
6633,7,19854,4.147251563977867
