id,tuple_nodes,tuple_feature
3,17266;198;2278;17149;622;14638;10593;5023;11467;7593;4466;12039;4821;0;6028;13933;3590;10269;2595;16848;8219;912;13516;10968;5023;12254;13907;705;5013;12341;3288;8862;211;5156;16454;10428;290;1078;8,15.085598577122433
7,4003;4265;96;17914;2529;2629;484;4726;954;3020;8370;23;13972;99;11179;6391;5013;235;331;17756;7905;18008;4391;1866;8532;6556;8764;9875;16831;6192;9499;14155;45;620;85;7763;9116;557;8915;3016;3277;4643;12241;496;9278;5904;159;7250;8028;15089;16647;13285;3391;9534;10390;2666;7590,16.551478798404528
8,1837;4203;6652;424;15287;2629;5439;5670;6166;7179;1867;4658;428;174;13074;6390;16130;139;3627;2154;351;932;4314;3552;13189;1065;237;2319;4709;8564;1581;13632;10040;73;7923;1081;246;14447;3994,12.015271088610852
21,3198;351;991;2;5491;10658;9903;13808;1168;398;111;7897;161;664;6407;1807;17611;15574;16148;12088;518;7366;178;2086;1009;7016;10788;13148;1214;448;5906;4711;7882;5160;231;2254;10584;6835;139;23;13536;716;10649;5428;408;9654;6823;16244;11741;113;12900;9837;8832;8316;3005;285;4516;513;13639;2353;1056;11775,17.142730793625315
22,3095;1355;17889;12406;775;164;15651;13303;266;874;3340;10729;14583;4458;332;3118;17250;14530;4048;13170;8063;10457;15990;1157;2532;14157;3102;1224;12208;189;3562;51;7125;15270;63;1034;167;6231;17907;141;100;9030;1643;16258;864;1326;15809;2183;8847;5935;4081;11444;6688;6328;3288;14364,10.272807532688017
24,7858;747;2321;5867;194;10603;11425;387;17135;5272;8736;18187;17521;1914;13956;14491;18246;13297;9293;375;10259;12292;14134;3107;978;5268;626;10302;2183;624;2789;9267;4518;6061;1574;17801;2245;2335;18076;10097;234;946;2941,18.367567328327517
28,5502;4295;57;62;2372;822;2430;1652;2018;108;11101;6332;4725;2645;2185;9268;6623;3304;4719;232;457;13810;73;11659;2989;8933;11564;17680;131;2545;10738;543;5628;12386;116;1057;236;5440;4;76;5970;11906;11305;1227;14783;1515;6283;514;6120;15193;10600;6213;9235;5952;6373;16709;861;2668;10887;12995;14174,15.18263360536865
29,18827;54;7746;13747;256;5246;15249;1289;548;11404;12295;11919;252;1112;3542;8717;175;5090;255;16622;465;386;12221;1600;7133;4497,13.990686182140536
30,1467;311;2988;15275;2984;1482;9875;16812;3815;8866;1915;14994;1372;413;4754;13277;8155;4283;2448;1054;187;6115;18024;7806;207;11195;7581;4060;3523;5719;352;976;15297;235;1540;79;84;15972;5743;1359;9705;10915;7628;6277;4412;1190;1064;7281;130;13899;6897;3859;828;12385;998;12596;11242;5029;7976;777;7198;1439;181;2007;831;261;8239;7814;14940,11.449947257419156
39,1103;2313;2885;430;7658;177;8386;15898;4144;1643;1020;18264;2058;7690;4613;23;7603;15411;4303;3675;1738;12503;8746;15437;11109;163;2770;4161;135;3959,13.213528210612278
41,14428;9106;562;9852;12539;3977;2920;3204;10957;5986;15559;12091;2798;15992;867;17959;13833;1;7102;12844;15157;18975;733;1061;1672;13362;1524;13691;137;86;932;5696;95;17549;2294;12263;1523;9263;832;6961;1745;1700;227;7014;17638;212;232;824;16771;901;15229;5837,11.682597025521178
43,14126;13078;18878;5377;18898;1095;904;11978;14;15212;1761;8789;17604;10022;3507;5252;2020;17390;1836;582;145;17704;3722,10.89359162266702
45,16558;8479;16242;1793;2876;11064;12420;10347;7310;1431;1986;9995;103;4562;13804;5493;6062;3074;12217;1594;5361;18453;1794;3276;11744;8947;2511,18.146692683255118
46,693;2123;944;6266;356;791;7916;3465;455;2658;5390;16631;18379;10130;3452;5330;5154;998;519;5186;441;6425;17240;4632;1744;12108;14045;1327;7999;5934;7442;63;13194;10367;3280;13184;1191;4094;6825;15028;18741;5868;373;864;10012;13748;6723;2;546;5944;16992;475;4424;10149;7291;4152;7093,12.855189213845232
47,10354;6772;8395;491;12262;18714;12599;6604;1392;10086;10607;14450;18395;16969;648;10894;189;15566;216;11345;4531;3220;6757;955;3663;966;1002;5809;15779;13606;9222;1062;4490;43;2828;7246;149;10222;5662;9350;11321;15450;7334;14826;3928;8885;15951;2012;323;18695;16477;11993;1608;5135;18710;11347;11460;4645;11525;15928;15216;18810;1616;15847;8866;165;16768;7179;2954;3634;5239;4353;646;12779;10821;8251;10297;6586;9085;10546;196;17822;2989;153,18.904172186295988
57,9027;860;18122;164;11447;2261;3376;14311;1694;1775;2878;745;5294;8513;17449;16518;3339;18177;12047;7865;11618;4661;1127;13524,10.265868317425406
69,909;593;6255;14645;181;6336;18107;676;4053;3932;2685;1976;693;11731;2046;17913;41;154;7878,14.720473743948848
71,17546;70;899;10406;386;9229;3126;11035;918;17841;1509;9261;404;6290;6684;5356;287;13955;1265;16225;8627;4679;739;4080;1624;15270;1605;3477;6607;17758;11102;9031,14.525014895576938
74,65;15389;2791;785;344;4382;3059;5731;14219;5732;3540;5018;13648;9641;10944;18806;8941;9484;259;12556;199;53;15085;18211,11.363181173378923
82,4160;2401;17111;11910;21;757;113;10692;1185;1075;4951;171;4092;15799;12607;453;6581;16171;18494;689;3867;13781;17921;10896;8640;1976;14809;3890;14392;526;2273;9755;11170;347;2057;146;2027;1957;392;8454;13374;14131;12018;552;12497;16;7339;12109;9271,12.713450008856379
83,2031;5771;243;4482;8471;2354;100;10152;4483;12158;13071;5819;18873;593;7443;236;14854;7087;7014;9437;2946;759;14662;10249;5522;1309;6433;1613;7400;11464;8628;1795;1973;17859;4784;11714;86;12434;12778;15190;13196;2071,12.834727392422732
89,231;994;2505;3422;6844;14031;3567;11337;955;18797;10120;1042;10212;1300;17536;11198;451;6669;2059;18233;4356;335;16181;4599;6236;13453;1572;8209;3112;3961;3559;6170;399;79;9707;12953;18235;2056;11340;2627;15460;6858;908;6652;14611;10245;1125;10432;1937;4340,13.830166090870788
92,1822;176;12416;14045;9426;18583;3810;15234;4545;15292;11078;10997;13535;7217;73;10213;7177;8644;5244;266;7210;2968,11.093669359457813
93,1108;15800;11248;6394;507;12726;12039;2899;8976;3697;624;12965;3880;7545;11035;11307;15591;2080;6076;269;5520;10797;14701;10008;1388;15516;7457;2417;9749,11.072790642172466
96,11578;538;139;9626;1263;12335;760;2698;11670;271;126;12396;15355;16671;779;3994;5228;11997;12172;16367;59;2376;171;127;3232;15856;588;5930;7917,12.05073392541621
97,7019;4633;97;1895;5891;277;15404;2548;357;13453;13727;14755;13232;8243;642;9084;6574;1998;1341;15127;55;2819;7876;8009;6436;7996;10386;10053;71;14608;3954;5324;677;5126;441;282;18234;4791;13214;1680;5912;4693;4278;16915;10454;11981;3979;308;2337;1397;12759;764;2904;2430;3627;4943;3483;177;3125;1456;482;9675;10717,13.244861617740623
103,215;9590;7482;10659;9694;3253;8740;4102;3975;8034;11825;7610;12969;53;876;276;8724;8726;3226;906;2609;16043;5353;6744;2181;234;116;1569;15969;17129;80;4019;10225,19.73169560170548
106,2916;18926;346;13296;1778;3410;881;707;4128;228;494,18.931885430408997
116,261;7110;958;2;59;10593;2720;16300;7792;58;15148;2214;14366;3456;544;8697;89;9769;18776;10740;12647;2416;693;11638;552;26;1109;1067;238;270;84;4795;194;14213;14966;2389;2118;1042;2688;2213;3949;292;4697;17336;915;1429;481;12477;1990;4730;14755;2139;2224;5632;8349;4083;483;517;14785;10674;193;234;9111;87;1798;4605;8182;3700;10817;15165;15600;3907;4847;9647;11083;7132;5190;11087;15817;6204,12.879987283686635
117,1500;7581;16586;127;1197;12441;11570;7009;1623;814;3769;8002;15120;2119;2521;9494;4412;18883;286;7728;3449;7267;7690;306;57;470;17085;15606;6350;3383;2976;5684;15200;1705;829;137;8876;7067;14128;5042;12935;17062;1444,17.565922022858178
119,5458;3752;2910;3474;230;517;6529;361;1413;1022;737;194;2892;434;7108;2438;6335;15240;3432;5850;13302;5192;410;1782;18240;7323;2832;5190;13193;12353;6754;204;426;18296;2628;3634;2587;7846;8001;812;11210;15375;4104;13834;862;1932;1761;701;10488;807,11.654667199434453
120,197;9;2737;4903;346;7503;18430;17455;8197;8066;13663;6192;733;7984,18.902997626861087
124,4433;924;11329;1177;3565;8524;2659;2582;17110;6047;16058;11097;3768;1617;2958;15865;6243;12077;347;1692;808;5913;1106;1357;1061;13120;4931;11126;8130;586,14.899693720440577
126,1414;2305;6869;2044;12744;18610;17086;763;13174;12328;4741;4693;15582;18665;1417;496;1773;5259;2794;12714;142;11007;11389;6471;18464;3830;8112,12.06377772893453
129,3016;116;17904;187;2284;2592;113;714;7112;1765;14695;13201;57;148;8718;126;13856;13148;18040;143;13077;6129;6361,11.023735085209458
131,7875;30;14205;3454;6003;549;1868;4452;15091;42;8241,16.823755457713464
133,135;346;493;17895;8823;328;5325;60;17918;18201;1414;15759;421;4249;11931;338;244,19.53416229918259
134,15599;5065;12841;8570;3254;15710;121;7530;11060;6614;949;13890;121;7579;2280;10724;520;14310;1396;8216;5905;9010;4464;10219;3467;14629;4257;391;12095,12.529736735277698
135,16561;3870;12126;418;368;1199;483;11759;16748;14534;10570;1820;15775;1245;5628;9739;830;2788;212;16636;12400;4370;6561;4988;5496;8490;10714;9322;2080;17204;1977;4695;3631;748;194;4235;633;222;443;4670;13905;2913;3905;17993;8225;14338;17784;4180,19.717049423598084
136,65;2095;79;1120;7977;28;1127;7971;10608;3568;8363;364;331;1785;2581;3346;13661;17961;1643;16613;539;809;2486;17190;17286;3339;9;2835;8133;95;5689;5712;275;2761;8737;17203;15263;11330;13732;6546;3282;8366;353;15924;158;3768;137;17137;3681;2931;8371;5956;18581;7537;13924;16396;16303;13041;5238;18185;2663;2321;168;3348;14275;16732;1783;88;3548;2555;4370;17740;1862;289;5370;378;5236;2829;1077;2043;1728;17869;11445;9611;16830;6506;4312;945,18.691970864158854
137,11383;912;2343;7162;422;6930;484;15998;14967;7750;140;14039;16245;7974;1102;10339;3793;9;7468;17249;5426;6385;15746;193;38;3176;9025;2495;65;11875;379;5226;2809;11613;18050;1606;3816;16555;98;107;1119;1557,18.37553439974466
138,1371;1183;339;663;11550;5330;3327;10276;17883;107;2594;3453;3958;2471;1182;14196;1636;16;452;1264;1192;379;1404;1756;17314;7385;1242;9722;3776;494,16.837468901265417
139,4745;13253;1566;5221;13501;4159;909;10310;10248;279;2407;11638;4086;1439;18488;2133;3233;3570;7006;36;12646;558;307;4672;2299;1311;16763;3061;12348;1925;730;13547;11555;5731;2886;1431;1027;11913;13492;608;6149;469;2278;7007;75;1989;6584;1917;14666;11323;1015;8976;6;1138;18820;10400;13164;12370;515;15528;3910;73;13608;33;536;18157;715,10.614031718357516
140,13041;6497;12124;2403;9412;6934;94;7723;14484;1000;62;157;7150;54;305;144;13695;752;7670;432;10330;15492;9936;4404;1029;7865;8973;3130;6949;6624;14569;8670;4099;5261;15904;984;2228;4691;1899;7011;14647;12018;7435;2511;4683;716;80;7914;1530;9368;13000;9621;10870;1950;177;3258;14431;11849;1918;3624;4059;214;681;11108;15189;17850;14135;2989;2219;823;4010;3348;5987,12.795672055032135
141,7036;345;15222;4155;17248;165;12951;14249;146;124;3209;8816;219;89;12056;149;18989;6015;10534;755;14961;1361;4826;881;4762;6731;1449;17282;993;16713,18.911531146415566
143,18832;9473;9592;529;4042;6031;1954;6455;11676;10646;11988;9180;4235;2602;5223;8918;1419;68;3557;12842;3395;240;17773;154;1892;16045,15.434976032664139
145,1940;10940;14904;11499;8574;12437;5712;7415;2578;3103;17845;11339;89;504;8642;18794;13504;736;11465;4390;6746;136;5729;11565;243;2501;5056;9318;8462;17068;6513;705;2728;7369;60;692;11939;18651,12.10395805953662
146,252;7163;6436;4202;243;8780;9651;6614;323;12380;16088;7992;4394;2588;1044;5573,15.969460260311262
154,14770;6657;6798;857;1325;17293;9744;16878;965;11781;3442;5039;3366;3388;5790;12454;14228;12350;9411;6647;17443;655;6367;18179;5712;8858;710;209;2351;4959;15016;9162;18856;5202;519;19;6505;12871;13295;3536;709;4478;17862;3945;83;434;6903;2367;2780;11506;1911,10.868059622662434
159,15684;4694;9917;11825;10539;85;12546;17671;518;214;13446;9187;10698;4155;847;4553;825;8136;13740;404;3523;16056;2578;13682;2333;844;4363;18432;70;2265;290;5853;3547;5748;15520,10.85807163926193
165,549;8830;1025;324;11861;4267;7864;3995;57;8172;8780;302;396;1133;2487;15116;2642;2149;14175;6526;1077;6830;13478;11249;17232;8000;44;4883;1297;16611;191;1543;188;4555;7200;16683;2165;1003,18.080535878627234
166,82;152;10380;2379;4529;4353;15769;12456;37;7635;4937;2864;2908;1024;2033;4102;12791;11728;18086;941;15519;738;8188;268;294;12353;289;1560;17140;419;16281;2466;5657;14731;13326;534;10427;18067;7720;852;17660;8197;1151;8163;12192;17453;377;18799;275;3416;1285;1766;290;264;13058;993;437;5812;1257;12025;10920;1918;42;453;2964;3412;18892;6771;355;6;7389;2792;82,12.778743389313593
168,8261;17;15433;3544;12340;1731;9796;1228;347;14090;9117;17;2467;7563;1940;2008;17286;9581;246;3277;3612;779;928;10150;2798;7501;1298;415;9358;4406;84;14058;1547;11559;11720;2307;4015;9233;1491;11300;3439;6994;1581;415;10648;16694;10192;6369;229;4134,16.23639775197347
175,2694;3526;349;13583;16413;7715;1466;17540;13756;9893;10304;18270;4894;16601;1214;1966;16189;12606;528;3356;703;13295;15151;2735;16187;1235;1184,16.208449104870937
179,373;7757;904;9118;13170;7872;18662;1095;7473;1064;977;3194;18190;602;4064;3848;2844;5825;8850;16341;16443;7349;119;8750;242;4843;6497;5088;11706;751;1177;7319;8914;3745;12169;18220;7913;63;9586;16187;1699;2105;3012;15096;5838;6099;17459;8271;1411;509;2562;175;16077;2048;1677;1239;5386;18959;835;966;566;701;2781;4038;11265;13416;457;6980;17350;3542;5918;234;2039;15965;8438;299;10330;8298;16711;15973;438;9155;3717;530;7065;1600;680;6934;7934;1790,17.781426958434842
188,93;1516;285;2484;159;12798;15408;878;1395;3930;5337;8584;861;3926;129;463;192;4576;2028;444;6284;2972;7061;17076;12303;517;7611;524;294;13926;9431;15387;475;8487;43;15835;6753;9113;12227;2785;11480;5825;12743;149;7868;5805;620;3742;10489,12.226463729963575
192,10758;12479;275;457;11310;10886;12171;2128;3912;1911;646;689;9717;320;399;15462;11702;6115;16804;13361;13805;15574;4629;154;4174;2414;4541;465;777;1499;1599;14917;13835;80;5348;966;981;2453;14872;3862;288;13424;592;12;10895;10773;5605;452;8473;12799;11042;8,13.53937062695573
195,10346;3688;29;4511;10125;4923;67;1708;9544;5057;500;6412;9043;16893;4000;4155;550;663;2236;15024;217;390;5954;7126;7494;3826;138;7478;17748;11139;2542;1892;6288;11937;7573;2272;6979;8629;3299;579;309;150;18533;27,17.48492125218386
197,16975;11735;6542;11301;446;18129;219;4015;1209;128,11.11629009348007
200,200;3986;13362;400;2073;3780;16295;62;101;13634;4556;2813;2659;186;13880;10356;320;11204;14588;13941;17367;3110;17158;8536;4018;976;10233;5670,16.026350269529786
213,432;6518;9517;1999;6598;4710;8167;3884;9699;5304;1724;7644;11130;60;2439;86;17845;2333;15339;9451;16616;1706;8266;17394;402;1266;65;7308;17515;103;2483;6132;806;1442;9296;915;330;1088;14098;105;16965;571;9547,19.21183849500206
214,2964;14970;14232;82;67;2624;1732;872;11392;4846;12702;7838;9613;16433;5839;2458;8224;15703;846;72;83;116;385;801;506;18033;4357;7478,17.81784711895914
216,1664;1349;10;201;22;566;2420;5080;16493;2823;2225;10682;132;5324;1395;9600;840;7464;10935;7662;12350;3562;13064,18.091913056347636
217,6522;7649;7607;568;12544;7827;524;967;821;16495;6035;11035;13239;5436;6312;4215;206;10900;13000;2657;1753;9;3063;31;11537;7017;3984;16819;3695,14.05597882212043
219,4834;5185;31;587;14346;217;2759;16700;10135;8136;15676;9762;8234;4980;389;11976;2832;43;1539;11612;5339;17670;3940;328;11046;5817;3550;63;407;32;5899;155;364;4697;11639;645;6305;9557;7416;81;9860;284;287;9350;16903;8877;79;13831;8819,14.796168511014358
223,1871;10237;3672;13723;18950;267;12031;13723;5056;16577;471;999;2443;2641;7117;2193;11342;2038;14659;567;17858;15801;998;5399;5757;5690;349;186;417;15094;8637;11442;5037;330;357;7947;124;5243;406;25;16468;17254;1761;3709;372;2862;10949;2832;14057;1791;293;77;3626;12246;6825;3705;14783;81;8112;6633;8972;1108;3456;8526;15696;1726;11170;1273;7442;982;6250;1149;4360;2531,11.33334914279735
228,34;1928;133;352;11139;11847;13588;725;1412;62;5562;11777;9719;5657;1953;662;3553;486;836;4091;1669;7974;625;1789;17082;202;61;15549;11818;1347;5330;3067;2211;2140;15838;6003;6333;2472;1687;2526;13289,16.08888885805206
239,8561;9862;1158;350;1296;3704;15505;565;8244;7458;2931;10752;5862;796;161;8290;1940;6861,15.345577516054156
242,5241;15634;8641;17137;11687;73;8142;8270;758;17008;12997;15637;622;563;1683;3422;1467;6931;7537;356;2938;8936;8314;15718;8973;9097;18216;593;487,16.14553547536314
245,4847;15463;98;15549;11833;18237;368;2220;10424;13103;3470;7750;4993;10221;9931;1415;13500;264;4474;196;3342;2899;7310;820;12689;16606;2685;8069;241;3964;17852;471;4259;3679;325;4991;1142;15554;17342;18078;295;69;2485;685;14812;15036;12761;11220;18847;9778;4404;2489;7356;6326;8031;4717;8356;163;3955;13666,10.084234676648606
249,105;9554;6856;15201;1784;1670;1326;10616;204;332;153;10427;1568;3471;12905;6167;14374;56;5018;240;6144;1238;2247;1808;11064;2209;2602;975;18236;3741;5254;17283;3493;662;9;12889;8325;12688;2967;1975;10879;486;6936;11040;4402;79;212;2380;2202;283;10977;7095;3289;16100;14298;5619;10623;7429;1750;1903;154;8280;134;3389;10479;2014,13.0882179633048
254,14;478;11975;8283;1441;3548;174;9516;2210;13644;207;15909;3093;2130;702;7495;149;477;7564;0;9873;8575;6558;7381;93;5106;1707;6264;69;9140;7062;2888;118;3909;18435;218;17537;2501;6673;1446;12356;14210;146;1472;11812;16152;6376;12585;7351,18.194295755435647
256,49;7161;425;17024;16756;17560;6477;2432;53;283;3174;16532;1717;6674;17110;1844;407;7207;10925;1157;202;2702;879;13438;10533;10468;1258,10.727221469888576
263,1382;5018;2887;11762;7036;13955;965;58;12;12442;5427;1571;11386;353;6993;6406;7097;1372;3963,10.42218842078773
266,14272;114;14367;2595;48;10348;2106;4328;575;16087;15240;920;553;16021;16403;100;1077;1201;9817;2061;7450;273;1109;17945;6621;15978;16230;15632;861;23;13371;1147;4606;2223;5593;11442;4071;3551;4103;77;358;6615;2045;6469;16326;1580;7320;2806;1068;4227;12183;15088;492;7073;801;134;17892;18514;5270;5499;18376;489;77;832;884;60;7044;3966;16402;6451;3181;2818;8348;5378;625;1142;4998;5222;17540;5922;4931,15.715202806840276
267,6048;2518;3539;3938;607;3081;3658;8465;4587;13741;1219;318;1532;11545;13135;2043;7709;4467;216;17958;1788;5596;4578;6398;2051;16794;322;7605;3402;16474;1794;10958;693;1059;16481;3842;3660;450;7440;13456,13.770827176047597
269,12375;544;15410;12461;5354;519;454;2690;3320;1633;785;850;17901;15722;71;8684;11172;5701;670;12853;1976;6714;869;4082;12492;264;11012;8267;2085;247;13076;1096;10484;10746;34;2274;7;9276;2136;5184;51;6289;8912;5198;163;1199;192;14965;11920;5025;81;8504;1133;2739;3263;269;17630;8577;1464;18900;1341;141;592;4443;17237;1676;8709;8421;85;6531;10743;1675;2998;8615;961;211;7683;10475;5548;3031;1911;2080;5572;6571;12663;2982;128;570;7482;139;4700;8851;9708;2672;2278;90;9754;114;495;8496;8499;17978;17189;155;18573;2832;18200;172;10817;6645;16621;2985;1772;81;13421,16.69641828411385
272,1865;12793;15665;17317;5693;6037;2548;217;162;4768;2934;7011;152;6732;15499;5030;575;667;2830;13704;15577;10089;2662;1393;1057;15675;5499;12252;570;35;10230;17543;1980;18987;354;18469;8544;17603;79;16835;331;6905;1529,11.20965677785452
277,14453;3189;4415;10358;8315;10543;925;11294;6974;566;34;253;58;652;86;16713;1419;13020;5843;1958;86;504;10357;7203;7199;17031,13.71706524789375
279,18096;286;8856;5000;18914;33;11383;8865;11092;1740;46;1106;1824;4493;15471;2292;11424;2592;85;12129;22;5428;6675;15520;5820;12663;4649;2341;3452;44;17676;163;14027;16911;13899;562;8256;7780;75;7839;1825;532;15633;10849;18641;10113;5750;16615;1601;28;1689;2516;6764,17.816208204202034
281,7528;7897;13359;16918;14646;10447;11171;11608;799;15545;2269;3202;4086;15490;69;3485;1501;11760;6560;5681;12939;16257;15505;13468;7453;13828;2393;136;17200;12186;1903;13884;18380;7948;11969;2185;4545;11155;12760;3631;1019;2241;2176;17355;15068;9329;4888;137;2733;154;6924;1923;17346,10.799755219905677
286,78;1119;2191;17430;2830;88;2536;1183;3454;2432;14223;2552;2758;11538;10546;6011;5513;2081,17.219827514665994
291,11775;8010;4464;13232;5025;17873;6246;17218;15050;17318;3594;1373;7079;12580;195;12021;59;157;2604;17951;9420;9877;15690;13250;290;5621;1846;236;40;1031;14819;567;3557;13640;355;1;6531,17.05170559770861
293,2982;450;2935;1336;3345;2406;10442;10818;18962;220;18229;3351;8865;2824;5003;3825;2725;1646;10423;939;1407;163;8061;14061;8499;5423;8954;279;126;4921;17423;4327;10563;2907;12171,12.09407014729079
