id,tuple_nodes,tuple_feature
0,19274;460;9105;16939;17177;15663;195;4328;2164;9786;753;4344;1790;19;15485;4914;11838;700;13075;13405;3221;9474;16797;10474;6231;5629;12279;7830;13920;454;2065;129;4;2399;3483;19878;0;18435;1415;1155;4585;11991;543;5806;19911;17841;18864;4733;17813;13095;1004;9940;104;14575;1030;8263;7558;1;4176;15396;15310;15135;2747;3552;2741;8146;13959;4699,10.115039342015608
1,7863;6410;3651;317;6814;11;2724;16316;10626;5171;19038;536;1112;874;11065;2436;2585;2955;2846;38;9995;2378;1958;1210;19445;619;3646;15120;6102;113;14252;7954;9724;12897;565;135;1414;6430;1423;4214;3977;18124;232;9696;17699;9307;17045;184;14329;909;5551;237;12986;13434;12010;3182;34;11272;827;14327;8884;14596;3528;316;2451;918,13.492737530718166
2,1481;9982;18096;837;3236;7438;5358;1754;9994;18157;570;12466;5708;18157;5939;4710;2579;13804;18573;4116;1123;17163;5280;3217;5591;132;2733;7890;18260;3799;10157;16253;8591;12442;59;8167;2452;16114;622;42;9384;1879;9151;7069;13680;493;19036;600;4441;19181;2353;13959;248;3603;215;866;8413;18460;5907;5552;3249;54;1530;6874;165;15307,19.66730853467868
4,7630;9201;4788;19312;3738;8134;7115;18132;285;2946;280;1472;2023;202;15288;12443;891;1652;11461;19040;996;14269;12080;14323,16.468099269520426
5,5579;640;182;19340;31;12634;638;10605;2345;4810;4055;8381;13609;9999;13833;14453;1368;6552;1165;14351;10097;12859;20;51;14666;15707;2346;18402;381;924;18899;222;9136;2495;3140;1659;59;17097;12664;799;7403;8725;11251;0;4579,13.429701608330156
6,16068;11102;17634;10884;5352;5756;14330;7494;444;305;7336;16483;15860;1196;2434;850;7988;10771;1178;65;327;2388;18716;68;19311;1180;12968;1344;69;363;5856;206;281;241;3261;2081;5204;6922;1773;91;909;10293;14642;663;192;6066;13568;2022;107;63,12.094873723606206
9,474;222;2988;320;9213;441;15699;15902;2132;78;692;1978;467;474;8531;7550;293;1532;7220;4204;18200;16566;4654;2455;11093;438;8752;12862;92;19602;6682;5647;3546;2455;6814;222;11234;499;17905;4298;8380;5797;14117;5430;1302;3727;314;388;2402;380;2258;4215;1395;2143;13552;8812;142;8104;12232;2557;3692;19335;18161;3382;12403;16779;130;11025;18676;3579;8134;17610;9450;14232;1259;12038;2249;7833;184;351;9319;7945;81;5065;1545;10608;12;6363;19862;1010;1643;4899;17986;19436;10866;817;16113;2468;13661;1252;16354;1781;5963;14833;14981;7811;6007;12459;14687;6583;6190;8802;6924;16884,15.970751781432863
10,861;2433;2979;7156;14632;3332;12756;14930;3669;14716;12135;14651;12300;16853;2094;711;9125;5934;12125;1221;19353;723,16.778339158210763
11,109;18396;6572;177;5565;18841;10590;9850;17308;1960;15196;10185;19087;4866;10430;160;2095;6067;16197;7563;4957;10844;1042;6097;13314;5479;4600;3314,15.772497577649201
12,6878;1865;5320;172;1659;439;11035;814;6950;6769;4802;14246;1211;3308;760;8590;6415;9607;6467;8576;1374;2117;1150;136;9115;4469;19959;15004;11295;14121;4032;11655;4996;11825;400;478;13661;13509;109;2729;16931;1043;80;9639;9406;36;17916;3645;8910;1153;2218;2363;8151;18962;26;1433;8867;6003;55;1597,19.999120251410403
13,15429;231;1509;3265;1077;14514;8560;16867;680;18673;5651;3747;13196;19960;18528;11245;88;2785;18090;126;5067;8668;9286;6807;3571;282;13779;9676;201;9825;14648;7861;8797;2668;11428;266;3183;8937;973;3939;13562;6041;279;4160;1937;4489;964;4807;580;828;18410;6365;7196;6162;100;591,11.84393983079297
14,1869;312;15543;2507;12847;3985;5041;50;16482;19720;12889;3642;5591;419;2134;677;5690;2102;9432;803;9607;152;81;3233;4513;1438;5130;4258;12767;2574;2520;5686;2917;2305;94;12497;8773;6195;1457;4919;583;14529;6290;4021;6775;192;9727;11029;17902,17.87675193839202
15,13068;6560;9524;106;12214;16765;139;9701;3541;768;5955;9032;11854;15038;6598;975;2078;45;11820;2709;6028;19423;6296;8820;15850;12680;15065;2710,14.756838356147723
16,2010;5661;570;107;3701;8960;16840;84;325;1859;695;19221;6857;4132;58;56;401;12588;9902;347;11803;7325;7028;9852;9773;13462;716;6403;7075;359;1676;1365;4036;72;1932;914;2936;10107;7576;15658;12940;1791;10820;11557;14201,14.597326425938808
17,3485;18053;270;706;2540;14796;14617;4699;9917;17917;430;15177;194;6570;123;70;621;4193;7942;6634;11988;19351;2805;19673;1210;2398;5364;4461;2561;5632;17749;68;558;11426;12189,12.021781267845709
18,515;4149;8843;14721;1339;13;9973;16355;19339;13184;1014;3250;10717;800;18154;6335;384;12385;13525;6755;892;13829;61;16387;197;2012;6138;7192;19513;2441;15628;511;80;5023;12632;1938;2107;19916;884;262;25;12729;11981;12022;19642;17015;2219;7365;5763,12.852799959504031
19,16468;3732;179;4936;12104;33;4419;5610;38;89;5409;757;10142;9983;18482;11091;15448;134;1076;820;2561;16725;6609;19655;329;129;11348;1638;5803;198;4601;649;23;12695;1335;1986;3750;14710;4078;2391;17340;10141;120;67,11.876676800331792
20,1777;6694;7556;1619;2367;12510;35;5;278;5054;585;7530;1009;80;1008;18029;11864;10166;14443;4427;4687;2464;154;5099;3450;817;18430;3960;1863;118;2261;981;2405;527;14625;1386;3117;2506;6109;8771;13597;7911;6821;4355;11896;49;12453;13477;12322;961;19010;33;152;55;5239;13548;9774;11825;1526;7763;8082;6525;19503;6965;4803;128;4230;7657;13654;17593;7441;1496;3891;5055;586;8453;3407;10082,18.684744583938617
23,1321;3973;9136;309;2030;432;148;3469;1634;7888;1752;7649;11372;10467;94;4704;16113;9177;2341;103;10231;114;112;99;200;56;186;8561;19354;4031;6752;13007;6868;17540;2968;6787;11563;3558;6749;4841;140;18513;5371;653;11843;5368;4336;60;7787;5954;16029;5005;7129;62;5059;978;238;7491;1085;14317;2772;7275;150;3412;182;8482;4782;17650;12712;4350;9872;1589;8867;1411;14828;5765;1423;1058;90;1384;638;9704;17392;2196;72;5766;1532;16576;15593;19552;393;2271;864;574;5427;10241;2901;2956;104;1082;6327;28;15887;9669;3805;199;2360;18754;13353;7075;270;13728;11346;528;98;5296;12429;14394;15192;6086;10505;4610;105;6626;7062;167;12707;4118;3850;1241;235;69;14308;956;13066;12230;1561;9696;39;17868;4477;1345;189;2534;51;11719;1621;2059;10780;327;404;5435;17150,18.197624440734273
25,14639;16881;1500;7938;11895;373;6654;12600;10071;6350;2579;3479;11795;19372;19265;461;1962;4084;3373;8486;2193;289;118;8785;5272;6847;14174;151;11316;1251;8270;2285;9246;2468;1328;17666;4646;900;17899;5808;12432;2679;326;4223;9618;2058;1047;2807;13916;928;3908;994;2988;5672;17353;9064;39;5627;8017;33;1249;12857;14116;15057;8870;9922;2686;7292;6856;11554;12990;3810;13448;10657;14671;3469;402;6364;120;19286;4292;9981;17291;1814;1570;4614;15224;17081;1027;6631,10.202056310545542
26,6615;10763;4599;1636;232;2051;17781;1340;14692;454;8157;1091;2705;4486;1308;2243;8387;560;4076;16953;3783;2345;2980;4091;16563;8268;4889;5906;1220;210;7262;2098;15940;4107;11828;2412;11770;6082;331;7896;3201;11497;312;128;18401;16695;19639,19.473703462875406
27,479;4820;17171;8827;3941;2296;10745;18788;47;6846;11498;992;15812;79;297;5923;10677;8033;577;10169;1324;12305;13124;8847;15950;18862;15408;6447;510;1290;14601;4551;5262;1956;1826;9254;10343;9027;16103;231;8556;10867;4384;8219;6351;9470;8449;12422;12296;5398;1048;3852;1648;13119;5631;12273;66;14731;11677;1724;3011;7434;6340;10732;577;2599;5821;9331;13204;1186;19256;18412;14436;10191;3060;5890;19616;9696;131;2009;3578;852;15564;666;7989;12765;3388;14355;84;5;15951;2831;6278;7627;9910;2968;3304;4370;6912,10.65457751494603
31,684;262;9664;8457;7403;265;246;3623;12378;7164;143;5650;2599;17335;217;52;1861;10995;336;1982;14955;12294;13701;6079;422;15781;6964;261;19298;193;17930;165;212;5931;1177;11689;8691;825,14.831107738505414
32,2699;8922;1878;8812;270;894;9565;152;8118;905;8074;7116;17035;5432;232;9077;4504;15872;951;2445;57;4897;15084;4448;19462;7048;11621;241;13463;344;6060,10.84872261676309
33,1339;4062;568;3567;2381;14076;18105;74;3912;790;7256;11094;3811;8700;7211;63;13855;8660;6598;14780;5768;11436;131;1683;2657;2366;10313;14175;2539;17241;17392;5946;9482;581;901;11255;19780;9371;7121;662;12329;131;5218;6409;299;291,12.232323943891629
34,9802;4748;612;5326;10451;18616;11686;12231;4340;15367;8659;16822;81;504;12356;17295;3062;3940;237;4661;525;579;1790;15544;3941;12714;8738;11;3957;398;109;9338;2112;387;10772;5466;9113;5149;3197;16542;11516;18195;2489;17849;16626;101;1061;13855;11329;1842;411;18428;18971;19124;846;835;1139;4294;1049;7635;1675,11.467301679259991
35,407;291;3375;876;19798;589;16187;17654;16881;5010;8426;9183,12.311796024759586
36,12115;2088;11500;65;3299;2852;719;1301;17504;19655;10125;16221;7;916;14931;5053;7586;1392;2162;5879;2522;5788;19634;2664;2745;1667;17310;2527;405;10119;470;631;6194;2689;174;584;550;4131;684;2876;1655;105;13752;334;13520;5942;6824;4446;1063;349;8100;11948;61;57;12961;19245;88;1651;9165;2615;8054;1240;7096;729;17962;19570;12322;77;10469;1237;3484;5721;15673,10.509632333393322
37,13663;324;5054;867;4742;14108;1005;3907;153;5334;824;2514;11066;19319;15470;273;11859;1138;91;3155;18899;14979;1002;6020;4177;1086;6745;11408;19487;7442;10613;2217;1377;7302;4331;8904;3347;1292;6874;3277;17343;10521,12.924394649488987
38,4215;17323;5542;517;16710;5794;18667;16327;11344;3928;14603;59;1001;9624;13902;3617;8662;2774;4808;2354;9607;10947;1684;10068;1127;2436;6301;15204;623;6786;9500;3565;1593;3920;13633;4485;15895;2481;921;10643;2627;75;14543;5330;583;14745;185;16710;4269;1150;67;5541;5922;10183;5595;10691;18389;13953;518;17796;6737;179;19894;1118;11022;5085;2677;5489;4780;3334;12576;16962;14137;10615;42;130;10162;4549;11351;11585;5630;202;14864;3209;3108;2737;1249;5599;1115;19130;1746;19659;2601;574;348;2109;17293;7384;12294;160;18892,14.101418681931895
40,11399;6705;2652;15187;5042;1960;13421;3341;17681;459;1005;280;4615;19604;1007;2485;11222;17164;1702;848;319;7739;397;4358;3380;13812;1609;3090;2748;3394;4054;2659;3688;14116;8808;14028;9140;6055;178;182;3980;10966;1444;7510;7757;220;4323;893;4899;3101;4022;142,12.78356378917034
42,9116;10504;12320;862;4493;3642;270;9850;11684;15320;7119;15400;2548;3104;9632;226;15978;12959;6188;1776;3955;187;8891;19173;2187;11426;19008;2767;6755;128;18429;13399;480;71;30;1022;2434;863;5514;15400;9283;15747;7099;12990;7661;1639;13230;6600;5543;16775;1842;971;15142;4037;268;6574;985;17546;912;14349;14709;11387;56;17201;281;7793;6403;1879;18440;4264;207;450;254;36;9957;120;3025;16114;15470;19881;16354;231;151;10181;4342;1192;7865;29,15.476195334384322
44,10715;19013;13102;14137;19260;5070;16413;1383;6048;17346;1052;15539;15732;3343;10633;3867;5179;1610;8993;514;7846;5447;3572;7513;18210;14009;4111;10339;5903;11886;14217;2881;4891;4825;7916;2787;3608;7033;2807;1262;280;5663;1637;3348;15417;17363;2998;1691;2572;2547;16178;11353;18285;2546;2719;4304;4316;788;15376;16204;3901;2889;443;1496;8425;13616;12395;2283;13258;366;16843;4581;11054;1095;495;5118,10.945611419348358
48,84;2115;105;5051;180;4437;19364;1210;566;1711;5566;13092;2905;13800;8364;974;8295;87;7345;15637;12187;150;7640;16763;1820;16800;97;244;12968;17284;15316;10964;10102;5566;14173;12211;3795;17691,15.944057569781368
49,593;1398;11959;183;73;9827;13356;11012;819;12328;7833;352;5551;5234;2219;7877;329;4151;963;354;12691;2088;3627;7726;2835;500;637;941;137;3069;8620;4034;2908;17576;13291;7587;9372;3706;619;14074;16191;14865;6494;427;423;12402;7383;4864;3272;317;13972;10693;3740;452;481;993;12986;17584;3971;1089;1155;4135;51;4298;14094;10045;9990;899;8505;14351;19272;191;8617,14.299967446817698
50,509;14532;17002;168;1009;11833;12238;2519;7676;12814;1506;9527;7841;76;4386;3857;14156;663;11228;3464;2542;12835;7342;8464;1189;17544;7740;1254;15260;12641;19097;9496;7036;15685;697;1977;586;5247;14905;14250;13099;1560;19013;6973;16044;8123;15869;13322;56;1010;5278;14882;3164;6678;19047;2317;3360;5324;4153,15.656852194645124
51,5406;12469;16772;10351;19111;7590;6143;13878;2264;15181;18819;480;1122;13935;91;5295;11166;8611;13623;14499;15412;19421;338;7154;231;10231;5697;7894;1618;565;38;6896;13756;8133;14189;670;5619;16694;5139;2378;750;13231;144;5464;77;14846;585;769;2940;4263;2990;6067;5714;426;1193;58;0;4589;2885;2782;19440;18398;8874;17656,15.479375825245524
52,12194;10354;1582;15011;8480;5037;8943;17304;11282;3285;1058;11664;1314;5316;4396;18542;626;264;7197;14888;896;4120;18192;5245;5799;961;12930;5804;1681;2171;1346;334;1785;540;19981;16772;471;5381;1046;6068;2346;3287;1186;7698;1868;19589;5620;5620;126;16133;10846;6099;6153;1579;5791;17009;486;18030;2826;10339;19303;7274;3000;14240;140;553;235;5312;17281;16110;969;1028;8389;4360;5658;10052;2839;10315,14.556707404030876
53,1107;18869;2405;7609;3191;7542;5390;4993;2684;5417;11643;14736;10923;6452;18336;8721;232;8399;5064;5861;1898;10110;625;312;18725;3503;3498;6753;328;7973;4844;7317;19910;14041;1456;1978;9100;13909;0,16.93502685359953
54,14783;19466;4553;379;13755;14198;10204;10991;2397;1235;287;4535;15255;3639;15719;6559;2252;1043;3164;2675;1681;14362;12780;8255;12877;19964;3282;6868;10076;5195;8659;3145;7857;10934;15078;4664;16481;19904;8769;1783;16689;3360;7062;12716;5723;15881;12269;16817;18839;13813;7569;1948;2970;16105;11247;11023;66;598;9010;4645;794;5;2312;1;4006;2204;5429;2188;11306;14762;681;13450;16040;4115;340;14911;9683;2462;9452;17341;154;16180;196;9263;14188;2556;11472;16515;17130;7759;1430;4706;12357;1030;5822;5838;3642;1292;16949;12479;3465;1655;399;39;3443;15460;10385;6278;7065;10814;342;1163;6912;10613;1751;6548;13770;1293;8632;79;18541;353;1106;248;992;11332;3774;16434;14210;4248;7660;8398;4359;11433;159;457;3100;3922;3804;3078;97;763;7122;7197;1719;2504;9982;1601;3699;8463;8854;16143;9011;3222;3670;8109;1336;12980;2338;12604;1588;528;7738;1292;6155;223;16169;12920;7034;12310;8248;13316;605;4245;1144;458;1637;11944;15436;1219;860;2725;13903;582;5258;3207;3606;10596;9372;6228;9171;13253;5166;2890;1873;959;8213;10481;323;66;241;4810;13734;11219;19522;397;13620;2798,11.174976165120164
55,7720;4109;5477;6318;4518;7508;11413;2026;1470;17089;2255;1727;2543;9871;6552;14648;13332;8928;4382;16470;7774;1334;7615;412;1584;8752;10481;16106;2228;6126;15334;16416;8403;15373;163;7339;19835;5394;6610;2679;4270;1095;6681;1345;8474;11596;13647;268,16.298038560351852
56,10598;204;10273;2185;6961;602;64;847;3337;1903;15153;0;3193;148;3232;2254;18254;2612;186;7449;5533;888;8708;16905;11812;217;2095;642;12468;17320;58;16385;13051;7973;13019;6488;166;18547;7269;12236;7083;1237;19339;15642;2211;13974;4594;1771;4898;12084;2930;10721;10541;14558;1043;15459;6;8468;666;4608;2440;53;4551;9638;4260;11667;1899;1514;2202;51;10073;15661;2340;10746;10332;226;4678;19262;18012;5058;12346,18.04165822544136
58,13752;10649;1743;3903;11433;235;1870;5269;816;2596;4344;3337;5374;11687;210;11423;1910;7597;18979;1648;19493;4812;19555;11402;5526;17861;512;289;2083;845;17138;1261;7524;12947;4591;10197;9497;1315;4689;337;9427;18227;8782;6039;682;14542;13777;18014;4561;3727;1833;18338;656;17416;11874;13754;830;743;5319;4615;2866;6874;5801;3641;1177;17392;15494;2091;19232;1389,18.75958186613564
59,17444;16501;1310;611;63;928;19696;729;297;1997;5780;1354;455;9385;8050;8184;16317;19301;9738;5001;1724;16374;17750;2676,15.322068536105942
60,16740;1554;8645;550;148;7708;9225;10370;13833;35;6145;9273;8298;17043;7930;19802;17445;5464;18024;5153;678;2704;9546;15588;4309;2476;1958;187;14662;113;3201;259;6511;13998;2581;12106;3463;4677;11029;18680;2484;8453;7965;408;1003;6175;435;14455;6022;11021;13212;7015;332;68;6761;18202;11453;3932;14311;1797;9007;1185;3093;4305;11594;13731;2034,15.462345520664151
61,12132;1009;128;13398;826;290;5291;367;982;8095;9676;19739;582;639;10109;15329;16885;5480;13915;8911;4180;1296;15386;12827;1991;11294;994;4920;7539;13995;1994;815;10822;459;4148;189,15.698436829114371
62,15131;1286;11879;10369;237;1692;9401;693;2737;18239;14969;722;12708;1291;8089;4023;15195;12825;7268;1066;15556;6409;1143;667;10358;5005;657;900;14080;180;19844;13940;2434,12.72448966138953
63,1869;10004;784;4764;1498;2376;11397;19508;18256;742;878;64;10079;9810;19727;522;19689;1109;2258;119;282;7100;12643;14940;6080;17766;3235;6263;1310;12196;87;1270;2420;443;1848;4312;9329;8381;10547;18696;5583;948;3001;81;385;116;5326;14301;307;7075;2150;4992;342;19279;6599;854;780;15369;449;373;16981;8970;6054;551;10018;15450;5748;18;5837;6304;4350;17619;5491,12.443034988512125
64,15773;17002;11484;18305;5353;16452;2008;16786;17883;2931;10859;7859;12265;10085;4975;13920;18544;654;633;7497;818;5422;449;2348;5606;10112;17526;626;3537;712;19169;8062;4638;9924;8341;293;18938;3056;193;2454;16827;10212;19162;2642;18712;1734;79;19545;8772;2761;10093;2975;2573;14347;488;1756;3576;605;276;1835;11012;14696;13489;3580;1129;17015;253;854;887;513;16648;10630;2592;8256;2659;2950,14.91279661869133
65,1978;18583;11298;14386;18539;1045;17455;95;13582;5441;5243;39;17650;19952;4894;114;7770;12218;3285;5188;13473;12870;4467;16285;6008;401;199;673;11991;19096;4231;6181;16964;1216;7831;18529;39;9808;1380;6540;19028;874;13467;1923;7938;13432;40;921;295;7012;14967;15308;18134;19681;3509;1432;12261;18323;431;4061;1059;153;18240;14007;11455;17873,15.571345280316251
66,14861;330;1759;16828;19092;412;2262;930;2966;89;85;17273;11789;791;5;3632;8237;18483;10255;635;4082;146;6172;990;16389;47;10493;598;87;9195;19513;1621;3198,18.883985131926178
67,2121;2319;14988;759;4882;2981;19697;8882;18914;4165;9974;15977;108;2043;6117;1761;11454;569;16397;18159;11613;16530;78;6126;8468;4304,12.754825969649765
68,5142;3662;475;4097;11562;893;9001;1816;6934;1048;18460;10485;12198;19323;7670;7484;1460;18738;16260;13424;8070;3182;788;68;2898;15625;2113;9208;5623;3619;12512,16.51105392213041
70,1359;3652;18553;68;759;6812;83;7491;13053;708;383;8616;6842;3387;12893;12660;967;2243;1597;1111;7503;13152;118;18096;17301;251;1099;8366;3233;12915;6363;890;400;8587;11843;185;9809;4177;19564;12588;764;5597;11155;311;12260;4627;5928;3162;414;2429;11296;4706;9517;356;14369;6626;989;275;9742;5034;14549;16151;18572;3857;3306;11203;371;9341;1000;10752;3386;8592;1906;200;475;105;7418;597;16518;2914;282;17295;1082;2257;15118;15836;4293;16541;3819;2853;13556,13.031431149789869
72,19904;70;14562;92;8279;118;51;535;10734;4169;1881;8857;1141;19372;910;14632;366;2445;107;7185;650;7577;888;108;6815;693,18.79019791665722
73,170;8751;9215;9797;325;14332;10058;233;0;510;214;5378;255;2318;7954;11936;2234;5170;563;648;80;17675;16858;14295;17353;19949;7722;13208;9945;521,10.401034790355794
75,5680;9522;3689;6187;19988;1331;9094;15047;14777;10775;7632;782;2154;1706;11279;15214;18282;3003;1411;46;1615;58;323;1310;6581;15692;904;404;17328;2490;3176;19067;19415;823;5101;17497;2910;51;1682;6094;5523;1221;15877;751;9605;1319;283;407;3891;2822;10032;11544;16187;779;2023;3663;1206;4023;3013;2062;570;19494;14397;8258;601;16689;19361;5286;10124;3812;2388,14.2168062337162
76,8962;641;6514;4951;13785;67;2859;1299;1440;792;6009;9471;960;2442;11419;582;4695;10865;70;386;1990;98;19999;13429;55;17365;858;4866;4232;9348;5895;1277;17017;15592;14850;14636;3257;2625;1247;124;1520;13037;14232;649;845;16641;516;3311;8123;14730;991;1404;10191;11587;4633;5508;11828;996;16519;93;17415;3578;5430;16182;5137;5752;1392;4609;7427;4354;1223;716;4157;1216;399;1419;15981;16189;15991;4024;2008;1024;109;3269;6712,14.806801444790132
77,914;6585;393;9347;19371;9788;18045;9463;11173;349;13520;6193;1548;1250;1312;2968;9146;1752;10366;2238;4480;1721;678;69;28;940;2917;17407;4074;269;10773;14481;17769;17877;57;3442;254;7887;9379;10748;99;11191;13879;1371;8979;0;19618;18124;87;16201;14035;2250;544;7977;7382;3777;4678;605;414;11473;1350;220;4479;11310;6479;6512;15067;335;19537;167;101;19620;9605;2900;8897;15660;4;1323;273;134;695;78;15750;8728;17266;829;4815;51;7363;13;14584;17673;11778;1221;4484;257;4949;1680;8085;4432;1949;174;377;7755;13354;6447;6432;3107;27;12818,12.73311823965415
78,134;2251;2128;17509;7668;674;13419;321;126;14624;59;106;110;2396;2012;1627;4546;9887;1887;19081;7421;920;625;16923;8550;260;10227;619;1540;13988;6953;14862;19839;12777;2730,11.54938740923443
79,6577;10847;255;5076;13029;6585;15403;645;2484;217;5219;6477;13068;14820;5408;3227;161;26;4502;3760;3330;277;19607;219;2035;19751;8672;2466;6686;15575;1261;6170;12111;9515;10789;106;1601;7131;14089;14365;5354;15861;254;9161,17.67575765991851
80,201;1060;4673;2385;18212;111;3409;8062;10940;12605;15871;7213;3937;1090;17492;9248;7096;4601;310;179;4758;401;921;1134;18193;16359;8868;1354;5111;151;1005;3885;5678;17455;122;54;106;19545;463;1761;450;942;4553;1561;10322;13320;1383;16386;12828;4550;11127,17.561433364689048
81,2750;8141;8349;1089;704;904;242;8918;238;15937;197;11845;19600;618;3538;12315;5724;235;368;6633;329;9784;8312;1276;10175;7957;3977;7611;8721;2210;1220;873;2954;6596;11335;13577;19698;11076;18156;6417;16781;2133;304;13505;492;280;1541;8739;5929;369;8774,10.845856812986831
84,7731;16333;5673;4482;10365;4878;5949;19794;13295;8126;3734;4993;790;16505;11661;18022;464;2288;2846;13687;6354;897;3606;10436;797,15.724347833026075
85,15158;659;8399;7059;2270;17089;3507;18881;3635;172;8645;1788;8772;18897;203;3194;12545;10349;5477;14152;605;3981;662;8150;19523;8169;461;896;2835;7512;62;590;1070;1889;14684;1745;6365,16.110277804358176
86,14230;475;1447;19335;3802;17763;2570;6697;19260;18221;18907;474;17917;17093;1847;3420;10065;17511;3410;16748;19928;464;11150;7322;6179;19593;19108;8213;2909;10018;2411;927;14728;5429;4785;17061;6315;4481;5109;7341;3033;13619;1398;11724;10932;11178;2395;6445;5661;3098;4651;19111;6183;10159;10439;14426,12.680905666839182
87,269;10739;2995;68;9706;7806;3520;19510;1438;9249;460;296;766;3721;8882;322;4990;4900;1400;8007;5118;3443;2631;1950;2700;16015;201;47;18816;16873;4424;19746;10588;70;2738;5668;12484;15767;19011;4861;259;17378;2515;6006;312;17546;7730;1672;168;4455;18806;11300;8718;3684;11523;1033;9166;10758;10640;6773;15935;10828;13449;1036;983;478;1225;250;4461;1944;2304;14714;16657;19393;4903;80;5199;2261;1222;16092;17623;8427;10408;5208;9020;117;3761;153;5036;1150;4630;3193;10532;4716;4039;266;607;11161;63;186;1758;5696;6277;16;18271;14986;199;14235;2627;4665;926,14.23860376005059
88,688;7799;87;1516;5004;4146;6352;14082;1817;1348;280;1293;9110;2722;7973;5058;5323;413;3325;1649;2689;1315;6424;139;402;6705;16237;17892;2318;1257;13030;4314;9142;7032;1311;3527;3395;19810;9432;9945;10374;286;3457;5324;545;6132,13.74147613683669
90,8594;9836;4158;10063;1735;8754;6927;656;3876;8679;321;3886;982;4292;4471;412;1935;12977;11906;7940;3301;15231;9242;1439;4419;8838;8231;1113;7495;803;11360;2207;1947;472;15750;10175;333;14116;7917;5886;7991;12184;1627;687;4195;121;4680;1035;5898;1153;19707;15033;2506;408;3085;14355;5434;4625;14198;112;3444;659;129;15458;6732;10226;18093;4404;15535;1065;9057;17715;1471;2379;4040;141;5882;4491;5432;16353;10588;2745;2593;15898;19158;19840;57;6246;1537;5871;1913;136;90;16140;123;13217;4855;761;11095;1128;1895;3506;1599;6214;14570;2605;12271;1316;2243;2927;564;12700;16866;17819;765;5241;4391;3887;3009,19.687657879099078
91,6974;1244;7481;4643;8253;1234;2895;3612;1373;999;56;3725;168;11661;6873;8727;10078;668;1046;15301;4050;7228;5897;8801;8583;1374;2929;12030;4010;5554;0;19713;4296;64;4387;7362;2081;62;16750;109;8671;86;19107;15116;18257;1831,11.942554505445058
94,4436;17701;85;817;11797;3810;1351;6606;607;34;10979;703;199;1181;3764;10707;1633;1427;51;12;14141;13241;4147;14778;4560;12740;12226;1849;12421;12116;505;15074;5326;8239;326;969;1411;17242;842;122;68;3588;3723;486;17017;268;9291;3962;8863;437;13349;8559;206;7332;3329;19636;4062;818;631;164,10.172217579971967
95,512;18508;3803;650;5893;1432;1053;4097;362;8681;512;15898;13445;343;140;1902;15478;15357;348;1173;12912;11267;6564;12650;1814;6958;1399;785;12960;57;179;4502;417;1399;11617;5016;2689;12189;2956;8838;1684;4882;29;4086;165;134;15460;19413;6626;8424;15993;2281;9576;5899;3929;17347;380;7319;8742;2745;12950;1953;14428;5355;3760;5501;7373;12059;8225;515;2521;6266;320;1277;744;3;7016;11388;3130,11.607870182505712
98,13106;1284;1383;480;19195;5966;586;381;10532;19781;18997;4907;2067;596;3056;6654;5471;2148;8098;536;165;1023;1548;9980;162;4953;17566;10142;13403;2029;9958;16572;9671;64;447;5006;1562;2950;5415;229;304;4744;9784;5122;365;5944;11674;5140;610;319;1655;2100;1207;5490;13581;134;1081,14.84885477711064
99,5139;428;7597;1011;10738;1519;3089;6272;12605;3993;16312;15566;130;3377;1194;2332;533;7505;15914;1895;694;4888;14892;15627;15884;4850;13717;6328;292;5632;16905;1262;1227;7502;1212;4513;17873;19991,10.308244502730933
