edge_nodes,edge_id,random_value
64;2;7;616;71;13;46;15;81;563;500;19;22;1075;56;957;63,1030,3.3355930130131837
65;4;69;5;7;135;138;109;18062;19;275;51;53;254,18017,5.323464183038359
2;2818;4;8;9;14;18;21;2087;50;51;52;60;80;4329;106;490;8305;1141,8260,5.157642183563276
130;9;12;13;272;16;21;22;2862;47;48;50;53;827;64;65;74;84;86;236;2797,2817,2.72456056982655
132;71;8;10;11;13;46;16399;16;17;50;722;49;2895;17653;61;158,17608,1.3981723252959766
10016;1;130;3;185;70;263;200;10;11;843;5876;21;22;6903;8665;1818,9971,3.6971848201867985
0;192;69;1349;7;8;10;138;47;48;18;146;1650;21;22;566;60,1605,0.6724111446406333
5;8;11;14;22;278;288;1699;6692;11046;46;1710;50;55;63;8258;86;742;119,11001,1.7419712378430419
1;5;10;12;17;19;21;280;1948;2335;425;5168;55;56;66;72;88;365;114;115;2932;1017,5123,7.38528447332372
1;2;3;14;21;22;3623;181;59;64;457;7628;79;81;82;86;96;627;119,7583,8.371148171901451
66;6947;3;5;6;20901;13;46;461;60;50;18;20;55;568;9176;11005,20856,0.13112692130450854
0;130;6;7;11;14;18;2972;797;801;47;48;49;190;69;72;12365;465;744,12320,1.3318338235182414
1;2;3;13572;6;138;11;8844;13;141;58;65;75;338;5207;100;614;108;892,13527,3.283341179680457
1;2;3;5;72;9;14348;18412;14;1807;241;19;84;1332;8695;94,18367,0.15938150569766552
1;3;131;4;8;522;12;13;19;19477;1306;294;46;4274;823;65;76;2253;348;491,19432,5.459967136130311
2;4;6;7;137;12;13;15;20;162;1442;46;70;210;85;16472;2908;99;490;110;11762,16427,8.081104788663994
1;2;5;10;12;400;18;21;279;26018;48;49;55;311;61;319;64;73;5090;228;7016,25973,5.086216499663587
129;1;8;16;19;285;418;8108;1582;46;55;56;706;12613;84;88;5980;5600;247;10874,12568,2.5587768730731986
2946;3;7;11;15;144;17;281;285;46;687;49;52;58;76;6480;1886;109;379,6435,1.742936317871313
2;100;69;646;487;17385;46;49;1106;179;244;52;1585;15228;5981;62;191,17340,5.00782206992496
3;4;5;10;12;15;22031;19;2844;3746;558;50;1332;58;66;70;73;365;114,21986,9.334855767623953
2;5;1353;76;13;14;176;2064;80;19;51;85;22;14229;24764;126;2207,24719,3.2078288781706323
9570;6211;20579;12;397;76;15;17;83;52;21;149;215;25976;90;3324;510,25931,8.564653232582089
0;2;4;6;9;22;287;46;51;820;56;60;70;11078;842;214;381;1141;253,11033,2.6181377232682177
0;3;4;5;11;19;285;2334;4011;46;48;50;55;843;986;474;231;106;17012,16967,8.326216770972106
1;2;3;5;7;2794;812;109;3761;17;19;20;213;85;51;24538;125;190,24493,8.406103916983467
0;5;7;10;155;294;50;62;63;69;6090;216;6617;1115;94;3812;1650;501;10105,10060,7.016649116575797
0;1;3;6;11;12;14;15;16;406;4766;1447;46;47;48;5851;349;14563;5245,14518,9.821458397743637
100;6;6824;9;8;14;16;49;18;81;20;85;22;692;21;94;189;18366,18321,6.055394971695432
1;3;1414;13;14;15;16;21;22;153;3241;49;50;51;437;60;70;6102;17250;3065;511,17205,6.393322768118591
0;1153;2049;4;14596;9;10;16;20;21;553;180;64;65;82;596;86;4825;114;118;3709,14551,1.557302238059548
1;129;69;5;6;154;11;14;25262;18;83;147;85;19094;4441;13050,25217,4.0232112140542595
0;4;6;7;8;138;16;17;785;19;162;46;48;50;65;6473;23649;354;614;743;108;371,23604,6.733472747106644
0;1;2;64;353;6;8;872;11;16;50;119;184;569;58;379;5246,5201,2.7312833984142015
3;13;17;18;19;22;6297;46;8369;62;15552;969;725;91;100;239;760;1145;126,15507,5.636596543955457
2;132;5;6;7;15;17;146;21;153;173;49;50;10163;55;58;3003;60;66;72;1489;84,10118,9.442418541697652
2;3;8359;1192;9;618;2218;8109;750;14;16;211;21;150;2811;124;63,8314,6.460742785859842
1;3;12;15;17;19;1699;8743;173;174;46;49;5177;58;70;72;2509;89;11873;5861;117,11828,3.342892851041931
0;261;9;12;14;400;17;15510;280;51;53;1718;567;67;1869;11492;110;883;24698;8572,24653,0.19374908108562683
416;2177;3;4;69;9;12972;13;47;303;18;83;84;1748;22;60;190;191,12927,5.683676659220698
0;3;9;10;11;13;19;802;8872;174;50;51;52;9397;4032;209;85;7786;109;249;1406,9352,7.5870182594877855
3;5;10;17;22;280;160;422;46;48;563;69;71;591;82;852;5846;111;882,5801,8.296200738062092
0;2;29730;13;141;11695;16;15;18;19;51;49;11184;248;319,29685,2.3397739460562406
1217;2;99;4;9;12;173;46;14;18;51;210;52;55;58,1172,6.16729159762021
0;1;7;13;16;4882;22;17827;164;48;49;51;53;70;85;99;12007;109;4209;126,17782,2.1972910204440588
3;6;8;520;12;14;2960;19;20;22;4390;48;51;53;10937;61;190;65;1636;113;114,10892,1.3583514736878344
1504;0;8704;153;4;644;105;682;1611;10;13;16;50;52;53;214;313;158,8659,9.381476728477583
834;99;4;5;6;11;268;13;3499;47;18;50;52;21;20;22,3454,6.6330945451696275
64;1;3;9;138;106;12;13;10;16;722;51;20;18;244;216;62;10367,10322,9.465765006732404
2;162;1507;1826;69;72;11;13;47;1072;52;58;17435;125;19742;3711,19697,6.152339078670783
1;9378;5;8;9;104;30024;79;50;114;53;246;153;10330;18204,29979,7.2662134187915
384;12;13;14;20;22;14873;3100;9245;164;563;59;198;842;8396;81;5973;483;751;14064,14828,9.670978450189791
0;1;2;11;13;397;655;656;17311;48;49;55;60;66;4932;591;19025;985;102;2039,18980,0.24025281894453632
1;2;6;10;11;12;14;17;537;1566;3886;47;51;1102;81;85;725;93;1630;480;3058,3841,2.5373325226280183
0;1;128;6;13;14;142;144;401;18;15633;22;3352;1309;49;50;53;10689;71;728;228;6246;2682;126,15588,5.419211972571967
0;1;2;4;11;12;16;144;21;2200;160;46;558;49;2738;53;55;60;65;84;483,2693,7.0860138375023745
0;1;642;290;1285;510;7;3015;75;12;908;16;18;22;2715;60;126,2970,3.0377538658507266
64;2;5;9;490;843;23338;141;781;13;82;51;50;3006;86;56;94,23293,1.093272160282599
385;3;4;13;144;18;20;22;50;51;53;60;64;2631;82;91;1766;15724;239,15679,1.622264533520953
23748;4;169;138;9;12;10;2845;16;49;17;20;21;409;91;2877,23703,1.545728587063222
0;99;5;9;15882;12;110;3279;15;49;18;19;46;85;374;52;16600;63,16555,9.990446721887311
547;422;198;10;14;78;47;16;17;18;19;50;2357;12335;436;3609;190;14142,14097,3.1683068617016232
0;96;9378;6499;20229;90;7;72;75;46;110;16;20;53;58;94,20184,9.851007087616505
0;65;2;483;229;8;105;109;16;18;84;52;55;280;89;94,438,9.125518314845085
64;3;6;647;7;138;46;144;16;50;18;51;146;21;20;1238;60,1193,9.52785467925127
0;66;58;6;7;8;10;12;18;181;21;1974;14613;154,14568,9.1177892778881
2819;11;12;13;403;536;409;539;6688;161;173;48;49;50;178;64;1226;82;4591,6643,4.032291661489095
1664;65;153;262;2792;9;8;10;5704;77;46;8782;1013;149;53;6489;60;94,8737,9.84722088838771
160;66;10307;132;5;6;1733;46;27054;16;49;80;915;21;12441;58;123;637,27009,0.27527357398999697
160;5857;2;153;12070;263;7;12;46;47;1392;49;18;50;18162;55;345;158,18117,4.056793709193118
1;3;11;12;13;47;48;49;50;51;16;309;53;4791;22;1369;62;959,4746,5.886990853516233
5;6;9;11;14;15;19;20;21;417;169;563;951;5943;55;62;69;71;212,5898,3.18369358457106
418;5;70;2087;8;6;10;973;46;49;19;20;18324;920;508;223,18279,1.2750883561522786
9;12;15;19;7577;681;1066;52;53;64;65;67;198;76;94;991;3824;113;369;115;122,7532,1.3208024211301805
259;772;69;6;59;6413;6190;175;3375;47;50;51;339;21;314;91;125;126,6368,1.365357976614775
99;867;21892;11621;12;109;13;48;49;18;51;20;277;52;55;58;379,21847,8.323766711659381
0;2;26755;12;9741;15;19;920;3250;51;211;83;5974;92;226;486;10087;109;9982,26710,3.1606954752328917
0;1;65;99;4;69;3;322;1286;9;2084;12;46;16;50;52;21;190,2039,4.813498895601727
160;2;3;7;9;10;12;13;334;16;49;48;83;116;50;58;413,368,7.974602794618053
129;3;7;9;13;15;27158;3231;4009;1834;47;50;4277;2485;64;70;84;86;101,27113,0.8093850169899475
6880;160;2;130;5;69;19975;2825;139;109;16;82;114;21;214;55;85;53,19930,4.251470093946858
2;130;2306;4;2697;11;1676;14;15;22;162;19754;47;53;1079;69;214;350;3561;114,19709,7.068044481240281
0;1;3;6;12;2335;9760;47;4272;563;55;56;9147;62;64;65;81;1500;9822;232;616;500,9777,8.284070135048566
448;0;58;5;1382;6;263;110;526;47;17584;21;85;152;94;122;60;62,17539,9.784654076941576
3;7687;8;9;1929;3726;1422;16;17;18;14;20;51;28084;6326;62;69;72;75;2150,28039,1.2350203788807168
0;1;2;3;69;3493;13;9166;15;47;17;20;53;22;55;542;63,9121,3.7270723435324395
64;4;5;1484;17805;46;12;14;17;60;18067;21;150;2331;2364;9087,18022,7.493720881367155
8;12;15;16;273;18;17;150;1069;46;49;50;69;5830;597;9563;224;228;105;23277;121;126,23232,5.852338797412099
0;65;2;3;1051;10;907;11;47;16;18;6034;372;343;3163;60;94,5989,4.5165797009013895
132;5;6;9;10;148;21;162;46;51;58;62;69;73;83;5478;7665;23285;247;1407,23240,7.115400200773587
132;4;6;7;13;17;2339;23462;56;60;702;72;7497;10579;340;85;4076;1261;3697,23417,5.326027779547415
64;6;8;713;1033;14;24750;16;117;789;12311;3157;153;474;123;2938;63,24705,0.37095979424452197
65;3;4;6;73;10;12;27632;17;18;2194;84;3860;62;29982,29937,5.813084725898417
261;6;15;16;19;21;151;161;299;51;309;2119;81;82;27125;7417;6522;381;4351,27080,7.0505669539630595
2;10;911;2194;19;22;547;295;7093;2231;60;63;65;73;80;84;5990;113;1909;1401;1791,7048,5.267659167017222
6;7;393;11;139;13;16;169;7850;2219;46;8623;50;2110;345;94;5090;354;7148;125,8578,3.490750088953667
0;2;3;69;1449;10;76;3885;50;19;114;21;22;55;88;94;2431,3840,1.0308144366628824
0;1;66;3;228;421;233;13676;13;15;48;49;18;2745;58;892;1754,13631,8.622699161402144
194;132;292;101;72;6473;11;16;17;18;48;84;21011;2236;56;126;60;6716,20966,0.7946477814298469
1;4;6;8;10;15;16;17;22;280;154;49;50;55;69;209;15710;494;249,15665,5.897252605672085
64;1;3;100;325;1446;6695;198;554;12;141;14;13;7886;49;82;21;58,7841,1.6549731963157266
385;6;10;14;19;17304;152;47;48;9011;437;1079;55;60;63;1000;874;23795;2679,23750,0.8607189468093979
0;2;10;780;2959;21;13988;294;46;50;7090;62;14415;81;83;23776;4333;239;1146,23731,8.463269711627683
226;70;6;7;521;941;110;16;48;50;51;1205;21;87;20861;63,20816,0.16504799891272182
4;11270;10;20;288;6440;48;52;53;12860;190;63;2496;1219;80;10336;619;7022;247,12815,9.642141531050255
129;3;131;4;11;13;47;16;82;19;52;21;534;86;22;7484;703,7439,3.868276601846654
0;129;128;4;5;69;104;14;47;784;16;18;142;84;15;6462,6417,1.0893386208165812
0;2;9092;5;7;13;15;21;174;47;48;50;52;8756;69;72;86;3309;1521;114;247,9047,3.9990405914207585
2436;5;6;12;13;268;79;2831;50;51;20;437;22;52;117;21;282;15388,15343,1.5655951848789917
13;14;15;146;661;21;150;16412;555;172;173;954;190;319;1224;76;1624;15203;238;125,16367,3.0906539649988596
2;3;515;4;6;8;10;11;15;18;20;22;1071;49;50;52;69;73;91;14453,14408,4.01833868687671
65;2;3;1;5;26309;359;69;10;11;75;77;111;27056;18;84;6709;56,27011,4.586046693646014
