tree_edge_id,graph_id,start_clique,end_clique
0,0,0,1
1,0,0,5
2,0,1,0
3,0,1,6
4,0,1,7
5,0,2,8
6,0,2,9
7,0,3,12
8,0,3,13
9,0,4,5
10,0,5,0
11,0,5,4
12,0,6,1
13,0,7,1
14,0,7,8
15,0,8,2
16,0,8,7
17,0,9,2
18,0,9,14
19,0,10,14
20,0,11,14
21,0,12,3
22,0,12,14
23,0,13,3
24,0,14,9
25,0,14,10
26,0,14,11
27,0,14,12
0,1,0,12
1,1,0,13
2,1,1,15
3,1,2,7
4,1,3,16
5,1,4,16
6,1,5,16
7,1,5,17
8,1,6,8
9,1,6,17
10,1,7,2
11,1,7,17
12,1,8,6
13,1,8,9
14,1,9,8
15,1,9,10
16,1,10,9
17,1,10,18
18,1,11,18
19,1,12,0
20,1,12,18
21,1,13,0
22,1,13,19
23,1,14,19
24,1,15,1
25,1,15,19
26,1,16,3
27,1,16,4
28,1,16,5
29,1,17,5
30,1,17,6
31,1,17,7
32,1,18,10
33,1,18,11
34,1,18,12
35,1,19,13
36,1,19,14
37,1,19,15
0,2,0,5
1,2,0,6
2,2,1,9
3,2,2,10
4,2,3,5
5,2,3,10
6,2,4,10
7,2,4,11
8,2,5,0
9,2,5,3
10,2,6,0
11,2,7,11
12,2,8,9
13,2,8,11
14,2,9,1
15,2,9,8
16,2,10,2
17,2,10,3
18,2,10,4
19,2,11,4
20,2,11,7
21,2,11,8
0,3,0,4
1,3,0,5
2,3,0,6
3,3,0,7
4,3,1,6
5,3,2,3
6,3,2,9
7,3,2,12
8,3,3,2
9,3,3,10
10,3,4,0
11,3,5,0
12,3,6,0
13,3,6,1
14,3,7,0
15,3,7,8
16,3,8,7
17,3,8,9
18,3,9,2
19,3,9,8
20,3,10,3
21,3,10,11
22,3,11,10
23,3,12,2
0,4,0,1
1,4,0,10
2,4,1,0
3,4,2,3
4,4,3,2
5,4,3,13
6,4,4,7
7,4,4,13
8,4,5,13
9,4,5,14
10,4,6,13
11,4,6,15
12,4,7,4
13,4,8,14
14,4,9,10
15,4,9,14
16,4,10,0
17,4,10,9
18,4,11,15
19,4,12,15
20,4,13,3
21,4,13,4
22,4,13,5
23,4,13,6
24,4,14,5
25,4,14,8
26,4,14,9
27,4,15,6
28,4,15,11
29,4,15,12
0,5,0,10
1,5,0,11
2,5,1,11
3,5,2,5
4,5,2,12
5,5,3,16
6,5,4,6
7,5,4,16
8,5,5,2
9,5,5,16
10,5,6,4
11,5,6,17
12,5,7,17
13,5,8,9
14,5,8,17
15,5,9,8
16,5,9,10
17,5,10,0
18,5,10,9
19,5,11,0
20,5,11,1
21,5,12,2
22,5,12,18
23,5,13,18
24,5,14,18
25,5,15,18
26,5,16,3
27,5,16,4
28,5,16,5
29,5,17,6
30,5,17,7
31,5,17,8
32,5,18,12
33,5,18,13
34,5,18,14
35,5,18,15
0,6,0,1
1,6,0,2
2,6,0,3
3,6,0,4
4,6,1,0
5,6,2,0
6,6,3,0
7,6,4,0
8,6,4,5
9,6,5,4
10,6,5,6
11,6,6,5
12,6,6,7
13,6,7,6
14,6,7,15
15,6,8,15
16,6,9,15
17,6,10,11
18,6,10,15
19,6,11,10
20,6,11,12
21,6,12,11
