tree_edge_id,start_clique,end_clique
538,289,292
539,289,293
540,289,297
541,290,291
542,290,302
543,290,303
544,291,290
545,292,289
546,293,289
547,293,305
548,294,305
549,295,305
550,296,305
551,297,289
552,297,298
553,298,297
554,298,306
555,299,306
556,300,301
557,300,306
558,301,300
559,301,302
560,302,290
561,302,301
562,303,290
563,303,304
564,304,303
565,305,293
566,305,294
567,305,295
568,305,296
569,306,298
570,306,299
571,306,300
572,307,310
573,307,311
574,308,314
575,308,315
576,309,317
577,310,307
578,311,307
579,311,312
580,312,311
581,312,318
582,313,318
583,314,308
584,314,318
585,315,308
586,315,319
587,316,319
588,317,309
589,317,319
590,318,312
591,318,313
592,318,314
593,319,315
594,319,316
595,319,317
596,320,321
597,320,324
598,321,320
599,321,325
600,322,326
601,322,327
602,323,327
603,324,320
604,325,321
605,325,326
606,326,322
607,326,325
608,327,322
609,327,323
610,328,334
611,328,335
612,328,339
613,329,335
614,329,336
615,330,337
616,330,338
617,331,338
618,332,333
619,333,332
620,333,334
621,334,328
622,334,333
623,335,328
624,335,329
625,336,329
626,336,337
627,337,330
628,337,336
629,338,330
630,338,331
631,339,328
632,339,340
633,340,339
634,341,347
635,342,344
636,342,348
637,342,349
638,343,349
639,344,342
640,344,350
641,344,351
642,344,353
643,345,351
644,345,352
645,346,354
646,347,341
647,347,354
648,348,342
649,348,354
650,349,342
651,349,343
652,350,344
653,351,344
654,351,345
655,352,345
656,353,344
657,354,346
658,354,347
659,354,348
660,355,356
661,356,355
662,356,372
663,357,372
664,358,359
665,358,372
666,359,358
667,359,373
668,360,373
669,361,362
670,361,373
671,362,361
672,362,363
673,363,362
674,363,364
675,364,363
676,364,374
677,365,374
678,366,367
679,366,374
680,367,366
681,367,375
682,368,375
683,369,375
684,369,376
685,370,376
686,371,376
687,372,356
688,372,357
689,372,358
690,373,359
691,373,360
692,373,361
693,374,364
694,374,365
695,374,366
696,375,367
697,375,368
698,375,369
699,376,369
700,376,370
701,376,371
702,377,387
703,377,388
704,378,390
705,378,391
706,378,392
707,379,380
708,380,379
709,380,381
710,381,380
711,381,393
712,382,393
713,383,384
714,383,393
715,384,383
716,384,385
717,385,384
718,385,394
719,386,394
720,387,377
721,387,394
722,388,377
723,388,389
724,389,388
725,389,390
726,390,378
727,390,389
728,391,378
729,392,378
730,393,381
731,393,382
732,393,383
733,394,385
734,394,386
735,394,387
736,395,405
737,395,406
738,396,410
739,397,410
740,398,399
741,398,410
742,399,398
743,399,400
744,400,399
745,400,401
746,401,400
747,401,402
748,402,401
749,402,411
750,403,411
751,404,405
752,404,411
753,405,395
754,405,404
755,406,395
756,406,412
757,407,412
758,408,412
759,409,412
760,410,396
761,410,397
762,410,398
763,411,402
764,411,403
765,411,404
766,412,406
767,412,407
768,412,408
769,412,409
770,413,416
771,413,417
772,414,420
773,415,416
774,416,413
775,416,415
776,417,413
777,417,418
778,418,417
779,418,419
780,419,418
781,419,420
782,420,414
783,420,419
784,421,428
785,421,429
786,422,423
787,422,429
788,423,422
789,423,430
790,424,435
791,424,436
792,425,437
793,426,437
794,427,437
795,428,421
796,428,437
797,429,421
798,429,422
799,430,423
800,430,431
801,431,430
802,431,432
803,432,431
804,432,438
805,433,438
806,434,435
807,434,438
808,435,424
809,435,434
810,436,424
811,437,425
812,437,426
813,437,427
814,437,428
815,438,432
816,438,433
817,438,434
818,439,445
819,439,446
820,439,447
821,440,454
822,440,455
823,441,442
824,442,441
825,442,456
826,443,456
827,444,445
828,444,456
829,445,439
830,445,444
831,446,439
832,447,439
833,447,448
834,448,447
835,448,449
836,449,448
837,449,457
838,450,457
839,451,452
840,451,457
841,452,451
842,452,458
843,453,458
844,454,440
845,454,458
846,455,440
847,456,442
848,456,443
849,456,444
850,457,449
851,457,450
852,457,451
853,458,452
854,458,453
855,458,454
856,459,464
857,459,465
858,460,463
859,460,470
860,460,471
861,460,478
862,461,471
863,462,476
864,463,460
865,463,469
866,464,459
867,465,459
868,465,466
869,466,465
870,466,467
871,467,466
872,467,477
873,468,477
874,469,463
875,469,477
876,470,460
877,471,460
878,471,461
879,472,478
880,473,478
881,473,479
882,474,479
883,475,476
884,475,479
885,476,462
886,476,475
887,477,467
888,477,468
889,477,469
890,478,460
891,478,472
892,478,473
893,479,473
894,479,474
895,479,475
896,480,483
897,480,484
898,481,487
899,481,488
900,482,490
901,483,480
902,484,480
903,484,491
904,485,491
905,486,491
906,487,481
907,487,491
908,488,481
909,488,492
910,489,492
911,490,482
912,490,492
913,491,484
914,491,485
915,491,486
916,491,487
917,492,488
918,492,489
919,492,490
920,493,496
921,493,497
922,494,500
923,494,501
924,495,501
925,496,493
926,497,493
927,497,502
928,498,502
929,499,500
930,499,502
931,500,494
932,500,499
933,501,494
934,501,495
935,502,497
936,502,498
937,502,499
938,503,506
939,503,507
940,503,508
941,504,508
942,504,509
943,504,510
944,505,515
945,505,516
946,505,517
947,505,518
948,506,503
949,507,503
950,508,503
951,508,504
952,509,504
953,510,504
954,510,519
955,511,519
956,512,513
957,512,519
958,513,512
959,513,514
960,514,513
961,514,515
962,515,505
963,515,514
964,516,505
965,517,505
966,518,505
967,519,510
968,519,511
969,519,512
970,520,521
971,520,523
972,520,524
973,521,520
974,522,532
975,522,533
976,522,534
977,523,520
978,524,520
979,524,535
980,525,535
981,526,535
982,527,528
983,527,535
984,528,527
985,528,529
986,529,528
987,529,530
988,530,529
989,530,536
990,531,536
991,532,522
992,532,536
993,533,522
994,534,522
995,535,524
996,535,525
997,535,526
998,535,527
999,536,530
1000,536,531
1001,536,532
1002,537,548
1003,537,549
1004,538,549
1005,538,550
1006,539,540
1007,540,539
1008,540,541
1009,541,540
1010,541,551
1011,542,551
1012,543,544
1013,543,551
1014,544,543
1015,544,545
1016,545,544
1017,545,552
1018,546,552
1019,547,548
1020,547,552
1021,548,537
1022,548,547
1023,549,537
1024,549,538
1025,550,538
1026,551,541
1027,551,542
1028,551,543
1029,552,545
1030,552,546
1031,552,547
1032,553,560
1033,553,561
1034,554,563
1035,554,564
1036,555,556
1037,556,555
1038,556,557
1039,557,556
1040,557,569
1041,558,569
1042,559,560
1043,559,569
1044,560,553
1045,560,559
1046,561,553
1047,561,570
1048,562,570
1049,563,554
1050,563,570
1051,564,554
1052,564,571
1053,565,571
1054,566,567
1055,566,571
1056,567,566
1057,567,568
1058,568,567
1059,569,557
1060,569,558
1061,569,559
1062,570,561
1063,570,562
1064,570,563
1065,571,564
1066,571,565
1067,571,566
1068,572,573
1069,572,574
1070,572,583
1071,573,572
1072,574,572
1073,574,586
1074,575,586
1075,576,577
1076,576,586
1077,577,576
1078,577,578
1079,578,577
1080,578,579
1081,579,578
1082,579,580
1083,580,579
1084,580,587
1085,581,587
1086,582,587
1087,583,572
1088,583,588
1089,584,588
1090,585,588
1091,586,574
1092,586,575
1093,586,576
1094,587,580
1095,587,581
1096,587,582
1097,588,583
1098,588,584
1099,588,585
1100,589,592
1101,589,593
1102,589,594
1103,589,600
1104,590,597
1105,590,598
1106,591,592
1107,592,589
1108,592,591
1109,593,589
1110,594,589
1111,594,602
1112,595,602
1113,596,597
1114,596,602
1115,597,590
1116,597,596
1117,598,590
1118,598,599
1119,599,598
1120,600,589
1121,600,601
1122,601,600
1123,602,594
1124,602,595
1125,602,596
