tree_edge_id,graph_id,start_clique,end_clique
0,20,0,3
1,20,0,4
2,20,1,10
3,20,1,11
4,20,1,12
5,20,2,3
6,20,3,0
7,20,3,2
8,20,4,0
9,20,4,5
10,20,5,4
11,20,5,6
12,20,6,5
13,20,6,7
14,20,7,6
15,20,7,13
16,20,8,13
17,20,9,10
18,20,9,13
19,20,10,1
20,20,10,9
21,20,11,1
22,20,12,1
23,20,13,7
24,20,13,8
25,20,13,9
0,21,0,4
1,21,0,5
2,21,0,13
3,21,0,15
4,21,1,5
5,21,1,6
6,21,1,12
7,21,2,7
8,21,2,8
9,21,3,4
10,21,4,0
11,21,4,3
12,21,5,0
13,21,5,1
14,21,6,1
15,21,6,7
16,21,7,2
17,21,7,6
18,21,8,2
19,21,8,17
20,21,9,17
21,21,10,17
22,21,11,17
23,21,12,1
24,21,13,0
25,21,13,14
26,21,14,13
27,21,15,0
28,21,15,16
29,21,16,15
30,21,17,8
31,21,17,9
32,21,17,10
33,21,17,11
0,22,0,1
1,22,1,0
2,22,1,11
3,22,2,4
4,22,2,11
5,22,3,11
6,22,3,12
7,22,4,2
8,22,5,12
9,22,6,8
10,22,6,12
11,22,7,12
12,22,7,13
13,22,8,6
14,22,9,13
15,22,10,13
16,22,11,1
17,22,11,2
18,22,11,3
19,22,12,3
20,22,12,5
21,22,12,6
22,22,12,7
23,22,13,7
24,22,13,9
25,22,13,10
0,23,0,3
1,23,0,4
2,23,0,5
3,23,1,2
4,23,1,7
5,23,2,1
6,23,3,0
7,23,4,0
8,23,5,0
9,23,5,8
10,23,6,8
11,23,7,1
12,23,7,8
13,23,8,5
14,23,8,6
15,23,8,7
0,24,0,4
1,24,0,5
2,24,0,10
3,24,0,12
4,24,1,5
5,24,1,6
6,24,2,8
7,24,2,9
8,24,3,4
9,24,4,0
10,24,4,3
11,24,5,0
12,24,5,1
13,24,6,1
14,24,6,7
15,24,7,6
16,24,7,8
17,24,8,2
18,24,8,7
19,24,9,2
20,24,10,0
21,24,10,11
22,24,11,10
23,24,12,0
24,24,12,13
25,24,13,12
0,25,0,2
1,25,0,3
2,25,0,14
3,25,1,13
4,25,2,0
5,25,3,0
6,25,3,4
7,25,4,3
8,25,4,15
9,25,5,15
10,25,6,7
11,25,6,15
12,25,7,6
13,25,7,16
14,25,8,16
15,25,9,10
16,25,9,16
17,25,10,9
18,25,10,17
19,25,11,17
20,25,12,13
21,25,12,17
22,25,13,1
23,25,13,12
24,25,14,0
25,25,15,4
26,25,15,5
27,25,15,6
28,25,16,7
29,25,16,8
30,25,16,9
31,25,17,10
32,25,17,11
33,25,17,12
0,26,0,6
1,26,0,7
2,26,1,2
3,26,1,10
4,26,2,1
5,26,3,16
6,26,4,6
7,26,4,16
8,26,5,11
9,26,5,16
10,26,6,0
11,26,6,4
12,26,7,0
13,26,7,8
14,26,8,7
15,26,8,17
16,26,9,17
17,26,10,1
18,26,10,17
19,26,11,5
20,26,11,12
21,26,12,11
22,26,12,18
23,26,13,18
24,26,14,18
25,26,15,18
26,26,16,3
27,26,16,4
28,26,16,5
29,26,17,8
30,26,17,9
31,26,17,10
32,26,18,12
33,26,18,13
34,26,18,14
35,26,18,15
0,27,0,4
1,27,0,5
2,27,1,5
3,27,1,6
4,27,1,11
5,27,2,9
6,27,2,10
7,27,3,10
8,27,4,0
9,27,5,0
10,27,5,1
11,27,6,1
12,27,6,14
13,27,7,14
