bond_id,graph_id,start_atom,end_atom,bond_features
0,0,0,1,1
1,0,1,0,1
2,0,1,2,2
3,0,1,15,1
4,0,2,1,2
5,0,2,3,1
6,0,3,2,1
7,0,3,4,2
8,0,4,3,2
9,0,4,5,1
10,0,4,14,1
11,0,5,4,1
12,0,5,6,1
13,0,6,5,1
14,0,6,7,1
15,0,7,6,1
16,0,7,8,2
17,0,7,12,1
18,0,8,7,2
19,0,8,9,1
20,0,9,8,1
21,0,9,10,2
22,0,10,9,2
23,0,10,11,1
24,0,11,10,1
25,0,11,12,2
26,0,12,7,1
27,0,12,11,2
28,0,12,13,1
29,0,13,12,1
30,0,14,4,1
31,0,14,15,2
32,0,15,1,1
33,0,15,14,2
0,1,0,1,2
1,1,1,0,2
2,1,1,2,1
3,1,1,17,1
4,1,2,1,1
5,1,2,3,1
6,1,3,2,1
7,1,3,4,1
8,1,4,3,1
9,1,4,5,1
10,1,5,4,1
11,1,5,6,1
12,1,6,5,1
13,1,6,7,2
14,1,6,8,2
15,1,6,9,1
16,1,7,6,2
17,1,8,6,2
18,1,9,6,1
19,1,9,10,2
20,1,9,15,1
21,1,10,9,2
22,1,10,11,1
23,1,11,10,1
24,1,11,12,2
25,1,12,11,2
26,1,12,13,1
27,1,13,12,1
28,1,13,14,1
29,1,13,15,2
30,1,14,13,1
31,1,15,9,1
32,1,15,13,2
33,1,15,16,1
34,1,16,15,1
35,1,17,1,1
36,1,17,18,2
37,1,17,22,1
38,1,18,17,2
39,1,18,19,1
40,1,19,18,1
41,1,19,20,2
42,1,20,19,2
43,1,20,21,1
44,1,21,20,1
45,1,21,22,2
46,1,22,17,1
47,1,22,21,2
0,2,0,1,1
1,2,1,0,1
2,2,1,2,2
3,2,1,23,1
4,2,2,1,2
5,2,2,3,1
6,2,2,17,1
7,2,3,2,1
8,2,3,4,1
9,2,4,3,1
10,2,4,5,2
11,2,4,6,1
12,2,5,4,2
13,2,6,4,1
14,2,6,7,1
15,2,7,6,1
16,2,7,8,1
17,2,7,11,1
18,2,8,7,1
19,2,8,9,1
20,2,8,10,2
21,2,9,8,1
22,2,10,8,2
23,2,11,7,1
24,2,11,12,2
25,2,11,16,1
26,2,12,11,2
27,2,12,13,1
28,2,13,12,1
29,2,13,14,2
30,2,14,13,2
31,2,14,15,1
32,2,15,14,1
33,2,15,16,2
34,2,16,11,1
35,2,16,15,2
36,2,17,2,1
37,2,17,18,2
38,2,17,22,1
39,2,18,17,2
40,2,18,19,1
41,2,19,18,1
42,2,19,20,2
43,2,20,19,2
44,2,20,21,1
45,2,21,20,1
46,2,21,22,2
47,2,22,17,1
48,2,22,21,2
49,2,22,23,1
50,2,23,1,1
51,2,23,22,1
0,3,0,1,1
1,3,1,0,1
