clique_id,graph_id,clique_features
0,0,0
0,1,0
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
1,0,0
1,1,0
1,2,1
1,3,1
1,4,1
1,5,1
1,6,1
1,7,1
1,8,1
1,9,1
1,10,1
1,11,1
1,12,1
1,13,1
1,14,3
1,15,3
2,0,0
2,1,0
2,2,0
2,3,1
2,4,1
2,5,1
2,6,1
2,7,1
2,8,1
2,9,1
2,10,1
2,11,1
2,12,1
2,13,3
2,14,3
2,15,3
3,0,0
3,1,1
3,2,1
3,3,1
3,4,1
3,5,1
3,6,1
3,7,1
3,8,1
3,9,1
3,10,1
3,11,1
3,12,1
3,13,1
3,14,1
3,15,1
3,16,1
3,17,3
3,18,3
3,19,3
3,20,3
4,0,0
4,1,0
4,2,0
4,3,1
4,4,1
4,5,1
4,6,1
4,7,1
4,8,1
4,9,3
5,0,0
5,1,0
5,2,0
5,3,1
5,4,1
5,5,1
5,6,1
5,7,1
5,8,1
5,9,1
5,10,1
5,11,1
5,12,1
5,13,3
6,0,0
6,1,0
6,2,0
6,3,1
6,4,1
6,5,1
7,0,0
7,1,0
7,2,0
7,3,1
7,4,1
7,5,1
7,6,1
7,7,1
7,8,1
7,9,1
7,10,1
7,11,3
7,12,3
8,0,0
8,1,0
8,2,0
8,3,1
8,4,1
8,5,1
8,6,1
9,0,0
9,1,0
9,2,1
9,3,1
9,4,1
9,5,1
9,6,1
9,7,1
9,8,1
9,9,1
9,10,1
9,11,1
9,12,3
9,13,3
