tree_edge_id,graph_id,start_clique,end_clique
0,0,0,2
1,0,0,3
2,0,1,5
3,0,1,6
4,0,2,0
5,0,3,0
6,0,3,4
7,0,4,3
8,0,4,5
9,0,5,1
10,0,5,4
11,0,6,1
0,1,0,11
1,1,0,12
2,1,0,13
3,1,1,4
4,1,2,14
5,1,3,5
6,1,3,14
7,1,4,1
8,1,4,14
9,1,5,3
10,1,5,6
11,1,6,5
12,1,6,7
13,1,7,6
14,1,7,8
15,1,8,7
16,1,8,15
17,1,9,15
18,1,10,15
19,1,11,0
20,1,11,15
21,1,12,0
22,1,13,0
23,1,14,2
24,1,14,3
25,1,14,4
26,1,15,8
27,1,15,9
28,1,15,10
29,1,15,11
0,2,0,2
1,2,0,3
2,2,0,4
3,2,1,10
4,2,2,0
5,2,3,0
6,2,4,0
7,2,4,5
8,2,5,4
9,2,5,13
10,2,6,13
11,2,7,8
12,2,7,13
13,2,8,7
14,2,8,14
15,2,9,14
16,2,9,15
17,2,10,1
18,2,10,14
19,2,11,15
20,2,12,15
21,2,13,5
22,2,13,6
23,2,13,7
24,2,14,8
25,2,14,9
26,2,14,10
27,2,15,9
28,2,15,11
29,2,15,12
0,3,0,4
1,3,0,5
2,3,0,6
3,3,0,16
4,3,1,17
5,3,2,17
6,3,3,4
7,3,3,17
8,3,4,0
9,3,4,3
10,3,5,0
11,3,6,0
12,3,6,7
13,3,7,6
14,3,7,18
15,3,8,18
16,3,9,10
17,3,9,18
18,3,10,9
19,3,10,19
20,3,11,19
21,3,12,19
22,3,12,20
23,3,13,20
24,3,14,15
25,3,14,20
26,3,15,14
27,3,16,0
28,3,17,1
29,3,17,2
30,3,17,3
31,3,18,7
32,3,18,8
33,3,18,9
34,3,19,10
35,3,19,11
36,3,19,12
37,3,20,12
38,3,20,13
39,3,20,14
0,4,0,1
1,4,0,8
2,4,1,0
3,4,2,7
4,4,3,4
5,4,4,3
6,4,4,5
7,4,5,4
8,4,5,9
9,4,6,8
10,4,6,9
11,4,7,2
12,4,7,9
13,4,8,0
14,4,8,6
15,4,9,5
16,4,9,6
17,4,9,7
0,5,0,1
1,5,0,4
2,5,1,0
3,5,1,5
4,5,1,6
5,5,2,10
6,5,2,11
7,5,3,4
8,5,4,0
9,5,4,3
10,5,5,1
11,5,6,1
12,5,6,7
13,5,7,6
14,5,7,13
15,5,8,13
16,5,9,10
17,5,9,13
18,5,10,2
19,5,10,9
20,5,11,2
21,5,11,12
22,5,12,11
23,5,13,7
24,5,13,8
25,5,13,9
0,6,0,1
1,6,0,4
2,6,1,0
3,6,1,5
4,6,2,5
5,6,3,4
6,6,4,0
7,6,4,3
8,6,5,1
9,6,5,2
0,7,0,1
1,7,0,6
2,7,0,7
3,7,1,0
4,7,2,10
5,7,3,4
6,7,4,3
7,7,4,11
8,7,5,11
9,7,6,0
10,7,6,11
11,7,7,0
12,7,7,12
13,7,8,12
14,7,9,12
15,7,10,2
16,7,10,12
17,7,11,4
18,7,11,5
19,7,11,6
20,7,12,7
21,7,12,8
22,7,12,9
23,7,12,10
0,8,0,4
1,8,0,5
2,8,1,2
3,8,1,5
4,8,2,1
5,8,2,6
6,8,3,4
7,8,4,0
8,8,4,3
9,8,5,0
10,8,5,1
11,8,6,2
0,9,0,6
1,9,0,7
2,9,0,10
3,9,1,11
4,9,2,12
5,9,3,5
6,9,3,12
7,9,4,11
8,9,4,12
9,9,5,3
10,9,5,6
11,9,6,0
12,9,6,5
13,9,7,0
14,9,7,13
15,9,8,13
16,9,9,13
17,9,10,0
18,9,11,1
19,9,11,4
20,9,12,2
21,9,12,3
22,9,12,4
23,9,13,7
24,9,13,8
25,9,13,9
